experiment,error_rule,theta_p,theta_n,act,error_action,write_width_u,write_mode,write_state_gate_mode,pre_gate_mode,pre_boost_v,pre_boost_width_u,dp0_probe,dn0_probe,dp1_probe,dn1_probe,pre_probe,row0_initial_pos,row0_initial_neg_score,row0_initial_neg,row0_final_pos,row0_final_neg_score,row0_final_neg,row0_initial_signed,row0_final_signed,row0_signed_read_delta,row0_desired_signed_read_delta,row1_initial_pos,row1_initial_neg_score,row1_initial_neg,row1_final_pos,row1_final_neg_score,row1_final_neg,row1_initial_signed,row1_final_signed,row1_signed_read_delta,row1_desired_signed_read_delta,row0_action_sign_aligned,row1_action_sign_aligned,both_rows_action_sign_aligned
error_rule_action_label0_mistake,competitive,0.34,0.13,0.75,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,1.2,4.0,0.184065,0.0,0.0,0.184065,0.974615,0.207398,7.61271e-15,0.3,0.206687,2.42666e-12,0.3,-0.0926023,-0.0933133,-0.000710922,-0.000710922,0.207398,7.61271e-15,0.3,0.206703,4.22011e-13,0.3,-0.0926023,-0.0932966,-0.000694276,0.000694276,False,True,False
error_rule_action_label1_mistake,competitive,0.34,0.13,0.75,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,1.2,4.0,0.0,0.184065,0.184065,0.0,0.974615,0.207398,7.61271e-15,0.3,0.206703,4.22011e-13,0.3,-0.0926023,-0.0932966,-0.000694276,0.000694276,0.207398,7.61271e-15,0.3,0.206687,2.42666e-12,0.3,-0.0926023,-0.0933133,-0.000710922,-0.000710922,True,False,False
error_rule_action_label0_mistake,margin,0.34,0.13,0.25,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,1.2,4.0,0.0831013,0.0,0.0,0.0831013,0.724803,0.20739,2.16628e-14,0.3,0.206687,1.34678e-12,0.3,-0.0926097,-0.0933129,-0.000703222,-0.000703222,0.20739,2.16628e-14,0.3,0.206689,1.41238e-12,0.3,-0.0926097,-0.0933108,-0.000701091,0.000701091,False,True,False
error_rule_action_label1_mistake,margin,0.34,0.13,0.25,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,1.2,4.0,0.0,0.0831013,0.0831013,0.0,0.724803,0.20739,2.16628e-14,0.3,0.206689,1.41238e-12,0.3,-0.0926097,-0.0933108,-0.000701091,0.000701091,0.20739,2.16628e-14,0.3,0.206687,1.34678e-12,0.3,-0.0926097,-0.0933129,-0.000703222,-0.000703222,True,False,False
error_rule_action_label0_mistake,margin,0.34,0.13,0.5,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,1.2,4.0,0.0831013,0.0,0.0,0.0831013,0.849709,0.207395,1.30135e-14,0.3,0.206691,9.2552e-13,0.3,-0.0926049,-0.093309,-0.000704174,-0.000704174,0.207395,1.30135e-14,0.3,0.206693,9.68587e-13,0.3,-0.0926049,-0.0933071,-0.00070221,0.00070221,False,True,False
error_rule_action_label1_mistake,margin,0.34,0.13,0.5,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,1.2,4.0,0.0,0.0831013,0.0831013,0.0,0.849709,0.207395,1.30135e-14,0.3,0.206693,9.68587e-13,0.3,-0.0926049,-0.0933071,-0.00070221,0.00070221,0.207395,1.30135e-14,0.3,0.206691,9.2552e-13,0.3,-0.0926049,-0.093309,-0.000704174,-0.000704174,True,False,False
error_rule_action_label0_mistake,margin,0.34,0.13,0.75,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,1.2,4.0,0.0831013,0.0,0.0,0.0831013,0.974615,0.207398,7.61274e-15,0.3,0.206693,5.72359e-13,0.3,-0.0926023,-0.0933068,-0.000704433,-0.000704433,0.207398,7.61274e-15,0.3,0.206695,5.97725e-13,0.3,-0.0926023,-0.0933049,-0.000702596,0.000702596,False,True,False
error_rule_action_label1_mistake,margin,0.34,0.13,0.75,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,1.2,4.0,0.0,0.0831013,0.0831013,0.0,0.974615,0.207398,7.61274e-15,0.3,0.206695,5.97725e-13,0.3,-0.0926023,-0.0933049,-0.000702596,0.000702596,0.207398,7.61274e-15,0.3,0.206693,5.72359e-13,0.3,-0.0926023,-0.0933068,-0.000704433,-0.000704433,True,False,False
error_rule_action_label0_mistake,out_residual,0.34,0.13,0.25,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,1.2,4.0,1.13116,0.000128181,0.0,0.0480914,0.724803,0.20739,2.16629e-14,0.3,0.208835,4.32306e-08,0.3,-0.0926097,-0.0911653,0.00144444,0.00144444,0.20739,2.16629e-14,0.3,0.206688,1.39373e-12,0.3,-0.0926097,-0.093312,-0.000702307,0.000702307,True,True,True
error_rule_action_label1_mistake,out_residual,0.34,0.13,0.25,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,1.2,4.0,0.0,0.0480914,1.13116,0.000128181,0.724803,0.20739,2.16629e-14,0.3,0.206688,1.39373e-12,0.3,-0.0926097,-0.093312,-0.000702307,0.000702307,0.20739,2.16629e-14,0.3,0.208835,4.32306e-08,0.3,-0.0926097,-0.0911653,0.00144444,0.00144444,True,True,True
error_rule_action_label0_mistake,out_residual,0.34,0.13,0.5,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,1.2,4.0,1.13116,0.000128181,0.0,0.0480914,0.849709,0.207395,1.30135e-14,0.3,0.210866,1.75282e-07,0.3,-0.0926049,-0.0891335,0.00347139,0.00347139,0.207395,1.30135e-14,0.3,0.206692,9.47772e-13,0.3,-0.0926049,-0.0933081,-0.000703253,0.000703253,True,True,True
error_rule_action_label1_mistake,out_residual,0.34,0.13,0.5,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,1.2,4.0,0.0,0.0480914,1.13116,0.000128181,0.849709,0.207395,1.30135e-14,0.3,0.206692,9.47772e-13,0.3,-0.0926049,-0.0933081,-0.000703253,0.000703253,0.207395,1.30135e-14,0.3,0.210866,1.75282e-07,0.3,-0.0926049,-0.0891335,0.00347139,0.00347139,True,True,True
error_rule_action_label0_mistake,out_residual,0.34,0.13,0.75,label0_mistake,0.0008,bounded_charge_discharge,none,boosted,1.2,4.0,1.13116,0.000128181,0.0,0.0480914,0.974615,0.207398,7.61271e-15,0.3,0.212096,4.14459e-07,0.3,-0.0926023,-0.087904,0.00469832,0.00469832,0.207398,7.61271e-15,0.3,0.206694,5.85466e-13,0.3,-0.0926023,-0.0933059,-0.000703574,0.000703574,True,True,True
error_rule_action_label1_mistake,out_residual,0.34,0.13,0.75,label1_mistake,0.0008,bounded_charge_discharge,none,boosted,1.2,4.0,0.0,0.0480914,1.13116,0.000128181,0.974615,0.207398,7.61271e-15,0.3,0.206694,5.85466e-13,0.3,-0.0926023,-0.0933059,-0.000703574,0.000703574,0.207398,7.61271e-15,0.3,0.212096,4.14459e-07,0.3,-0.0926023,-0.087904,0.00469832,0.00469832,True,True,True
