cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,max_abs_hidden_grad_signal,max_hidden_grad_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
27,train,5,1,True,True,0.102592,0.10254,5.13541e-05,0.0917638,0.10226,0.00713106,0.00581912,0.102535,0.102586,True,0.255227,0.266955,0.262355,0.21667,0.287748,0.24183,0.236949,0.266955,0.262354,0.337954,0.337163,0.895976,0.904822,0.0,0.0,0.0,0.000502064,0.00045071,0.0162468,0.000312244,0.0162468,2.68075e-07
28,train,2,0,True,True,0.142046,0.142665,-0.000619545,0.174459,0.175613,0.00211724,0.00228789,0.142038,0.142658,False,0.0643459375,0.0739276,0.0416263,0.103901,0.0341477,0.0514084,0.056496,0.0828931,0.0703674,0.33735,0.337342,0.90007,0.903427,0.0,0.0,0.0,0.000235691,0.000855236,0.000217188,0.00137417,0.00137417,2.68075e-07
29,train,6,1,True,True,0.106295,0.106584,-0.000288451,0.090848,0.102806,0.00731899,0.00577305,0.106578,0.10629,False,0.2552265,0.266954,0.262354,0.21667,0.287748,0.24183,0.236948,0.266954,0.262354,0.338052,0.337115,0.907492,0.89397,0.0,0.0,0.0,1.0502e-05,0.000298953,0.0195389,0.000414238,0.0195389,2.68075e-07
30,train,3,0,True,True,0.150359,0.150352,7.67451e-06,0.18507,0.185136,0.000756354,0.00124561,0.150352,0.150345,True,0.048474025000000004,0.0412251,0.0753336,0.0363435,0.0705238,0.0147843,0.0608176,0.0402398,0.0485245,0.336072,0.336078,0.901941,0.901912,0.0,0.0,0.0,0.00104099,0.00103332,0.000194304,0.00162052,0.00162052,2.68074e-07
31,train,7,1,True,True,0.115457,0.115402,5.484e-05,0.103985,0.117791,0.0125159,0.0114836,0.115395,0.11545,True,0.1310297,0.110391,0.158191,0.0788636,0.25836,0.108566,0.080507,0.151572,0.101787,0.342021,0.340051,0.900849,0.901804,0.0,0.0,0.0,0.000959348,0.000904508,0.0276248,0.000666778,0.0276248,2.68074e-07
32,train,0,0,True,True,0.125963,0.125219,0.000743716,0.117671,0.123352,0.0142396,0.0142943,0.125956,0.125212,True,0.1117198625,0.160011,0.0986584,0.11966,0.115441,0.0692462,0.0968083,0.101427,0.132507,0.343841,0.342745,0.905075,0.897777,0.0,0.0,0.0,0.00117051,0.000426796,0.0101081,0.000891322,0.0101081,2.68074e-07
33,train,4,1,True,True,0.103985,0.104694,-0.000708227,0.0848434,0.0959642,0.0458011,0.0468397,0.104688,0.10398,False,0.22176162500000002,0.238231,0.219277,0.202984,0.246568,0.202818,0.200835,0.228688,0.234692,0.218208,0.200581,0.928466,0.876484,0.0,0.0,0.0,-0.000522921,0.000185306,0.0178715,0.000369052,0.0178715,2.68074e-07
34,train,1,0,True,True,0.136451,0.136041,0.000409773,0.16744,0.168579,0.00700602,0.00786038,0.136443,0.136033,True,0.0629609125,0.126532,0.0524822,0.0329444,0.100643,0.0224296,0.0752079,0.0452462,0.048202,0.33809,0.337975,0.903034,0.900355,0.0,0.0,0.0,0.00109462,0.00068485,0.000511137,0.00117523,0.00117523,2.68073e-07
35,train,5,1,True,True,0.100191,0.101707,-0.00151591,0.0869449,0.104811,0.0082062,0.005621,0.101702,0.100186,False,0.25522525,0.266953,0.262353,0.216668,0.287746,0.241829,0.236947,0.266953,0.262353,0.338566,0.336957,1.2,-0.00830796,0.0,0.0,0.0,-0.000996283,0.000519628,0.0155555,0.000298756,0.0155555,2.68073e-07
36,train,2,0,True,True,0.140049,0.138515,0.00153441,0.172264,0.171406,0.00211415,0.00247958,0.140042,0.138507,True,0.064344875,0.0739271,0.0416246,0.1039,0.0341465,0.0514073,0.056495,0.0828921,0.0703664,0.337345,0.337313,0.906155,0.897068,0.0,0.0,0.0,0.00229643,0.000762021,0.000154818,0.00124503,0.00124503,2.68073e-07
37,train,6,1,True,True,0.10293,0.104804,-0.00187346,0.0852343,0.10571,0.00861785,0.00555554,0.104798,0.102925,False,0.2552245,0.266952,0.262352,0.216668,0.287745,0.241828,0.236947,0.266952,0.262352,0.338838,0.336892,1.19999,0.837917,0.0,0.0,0.0,-0.00154694,0.000326521,0.0180154,0.000374805,0.0180154,2.68073e-07
38,train,3,0,True,True,0.148381,0.14633,0.00205051,0.183024,0.181016,0.000823215,0.00177413,0.148373,0.146324,True,0.0484731375,0.0412245,0.0753328,0.0363428,0.0705224,0.0147835,0.0608163,0.0402392,0.0485236,0.336064,0.336058,0.906521,0.896862,0.0,0.0,0.0,0.00299135,0.000940841,0.000153769,0.00148349,0.00148349,2.68073e-07
39,train,7,1,True,True,0.11294,0.113731,-0.000790606,0.0966134,0.12092,0.0136363,0.0113389,0.113724,0.112934,False,0.13102785,0.110388,0.15819,0.0788617,0.258359,0.108564,0.0805051,0.15157,0.101785,0.344218,0.339579,0.909127,0.893019,0.0,0.0,0.0,0.000703318,0.00149392,0.0258926,0.00062216,0.0258926,2.68072e-07
40,final_eval,0,0,False,False,0.124073,0.121419,0.00265448,0.115224,0.121866,0.0141644,0.0143816,0.124066,0.121412,True,0.11171773749999998,0.16001,0.0986562,0.119658,0.115438,0.0692441,0.0968066,0.101424,0.132505,0.344043,0.342285,1.15276,1.15276,,,,,,,,,
41,final_eval,1,0,False,False,0.134878,0.133192,0.00168568,0.165793,0.16608,0.00676331,0.00822423,0.13487,0.133184,True,0.0629598375,0.12653,0.0524811,0.0329434,0.100643,0.0224283,0.0752068,0.0452451,0.048201,0.338043,0.33786,1.14269,1.1427,,,,,,,,,
42,final_eval,2,0,False,False,0.139109,0.13641,0.00269868,0.171145,0.169207,0.00211061,0.00258065,0.139101,0.136403,True,0.06434406250000001,0.0739266,0.0416234,0.103899,0.0341456,0.0514065,0.0564943,0.0828914,0.0703657,0.3373,0.33726,1.13963,1.13964,,,,,,,,,
43,final_eval,3,0,False,False,0.147832,0.145259,0.00257328,0.182458,0.179921,0.000830042,0.00195264,0.147825,0.145253,True,0.0484726625,0.0412242,0.0753324,0.0363425,0.0705216,0.014783,0.0608156,0.0402389,0.0485231,0.33602,0.336008,1.13956,1.13957,,,,,,,,,
44,final_eval,4,1,False,False,0.106015,0.108317,-0.00230201,0.07995,0.0989515,0.04373,0.0476999,0.108311,0.106009,False,0.22175837499999995,0.238228,0.219273,0.202982,0.246564,0.202815,0.200832,0.228684,0.234689,0.248874,0.186131,1.13993,1.13993,,,,,,,,,
45,final_eval,5,1,False,False,0.104281,0.106395,-0.00211386,0.0821462,0.107814,0.00945107,0.00541738,0.106389,0.104275,False,0.2552225,0.26695,0.26235,0.216666,0.287743,0.241826,0.236945,0.26695,0.26235,0.339425,0.336718,1.13976,1.13977,,,,,,,,,
46,final_eval,6,1,False,False,0.103328,0.105214,-0.00188606,0.0821461,0.107813,0.0094511,0.00541741,0.105208,0.103322,False,0.25522237500000006,0.26695,0.26235,0.216666,0.287743,0.241826,0.236944,0.26695,0.26235,0.339425,0.336718,1.13976,1.13976,,,,,,,,,
47,final_eval,7,1,False,False,0.111104,0.110401,0.000703569,0.0948317,0.12343,0.0141673,0.0112519,0.110395,0.111098,True,0.131026125,0.110386,0.158189,0.0788598,0.258358,0.108562,0.0805032,0.151569,0.101782,0.345554,0.339372,1.13969,1.13966,,,,,,,,,
