cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,merr0,merr1
10,train,1,0,True,True,0.0341751,0.0360504,-0.00187528,0.14804,0.150869,0.000733915,0.00069647,0.018856,0.0188325,False,0.388285,0.0341751,0.0360504,-0.00187528,False,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.335989,0.335986,1.12713,1.12703,-2.70459e-17,3.31628e-05,1.1872e-05
11,train,5,1,True,True,0.0417417,0.0342318,0.0075099,0.153075,0.164431,0.00503746,0.00484003,0.0142148,0.0146697,True,0.21034650000000002,0.0417417,0.0342318,0.0075099,True,0.093642,0.137216,0.08,0.254774,0.77022,0.08,0.18692,0.08,0.33742,0.33737,1.12712,1.12665,-1.09903e-18,1.17559e-05,3.30733e-05
12,train,2,0,True,True,0.0444209,0.0407586,0.00366231,0.177614,0.17203,-0.00132288,-0.00131451,0.0193373,0.0194745,True,0.582402375,0.0444209,0.0407586,0.00366231,True,0.505352,0.770219,0.77022,0.552175,0.224418,0.77022,0.31515,0.751465,0.335826,0.335826,1.12629,1.12704,-3.25572e-10,3.30439e-05,1.1753e-05
13,train,6,1,True,True,0.0253786,0.0225724,0.00280625,0.109379,0.113539,0.00629439,0.00618521,0.0141295,0.0143098,True,0.22852887500000002,0.0253786,0.0225724,0.00280625,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.337463,0.337421,1.12721,1.12719,-1.32299e-11,1.1751e-05,3.30435e-05
14,train,3,0,True,True,0.043645,0.0471181,-0.00347309,0.181675,0.186993,-0.00255641,-0.00264529,0.0199487,0.0199792,False,0.6228718750000001,0.043645,0.0471181,-0.00347309,False,0.77022,0.77022,0.77022,0.77022,0.418377,0.633498,0.08,0.77022,0.335712,0.335702,1.12632,1.12608,-1.90419e-10,3.3042e-05,1.17519e-05
15,train,7,1,True,True,0.0375488,0.0376935,-0.000144705,0.158135,0.157916,0.0017445,0.00168079,0.0178184,0.0180188,False,0.416372,0.0375488,0.0376935,-0.000144705,False,0.382294,0.132693,0.253017,0.607964,0.767895,0.77022,0.291115,0.125778,0.336196,0.336178,1.1272,1.12721,-1.56256e-10,1.17514e-05,3.30465e-05
16,final_eval,0,0,False,False,0.0349368,0.0362046,-0.00126775,0.150075,0.151989,-0.000282377,-0.000349935,0.0195281,0.0196054,False,0.3398395,0.0349368,0.0362046,-0.00126775,False,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.335798,0.335789,1.12718,1.12712,,,
17,final_eval,1,0,False,False,0.0332075,0.0359065,-0.00269899,0.14549,0.149558,0.000763127,0.000684507,0.0188748,0.0189344,False,0.388285,0.0332075,0.0359065,-0.00269899,False,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.335941,0.335929,1.12837,1.12812,,,
18,final_eval,2,0,False,False,0.0430544,0.0404637,0.0025907,0.174023,0.170076,-0.00129864,-0.00130339,0.0193826,0.0195551,True,0.582402375,0.0430544,0.0404637,0.0025907,True,0.505352,0.770219,0.77022,0.552175,0.224418,0.77022,0.31515,0.751465,0.33578,0.335773,1.12616,1.12651,,,
19,final_eval,3,0,False,False,0.0428715,0.0468426,-0.0039711,0.179483,0.185558,-0.00254451,-0.00264262,0.0199827,0.0200199,False,0.6228718750000001,0.0428715,0.0468426,-0.0039711,False,0.77022,0.77022,0.77022,0.77022,0.418377,0.633498,0.08,0.77022,0.335666,0.335654,1.12642,1.12595,,,
20,final_eval,4,1,False,False,0.034596,0.0320107,0.00258537,0.141316,0.145205,0.000204559,0.000227264,0.0188489,0.0185923,True,0.332219625,0.034596,0.0320107,0.00258537,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.77022,0.304066,0.335973,0.335989,1.12699,1.12703,,,
21,final_eval,5,1,False,False,0.0397416,0.0340871,0.00565456,0.151048,0.159591,0.0050517,0.00490818,0.0142581,0.0145642,True,0.21034650000000002,0.0397416,0.0340871,0.00565456,True,0.093642,0.137216,0.08,0.254774,0.77022,0.08,0.18692,0.08,0.337365,0.33733,1.12681,1.12639,,,
22,final_eval,6,1,False,False,0.0248492,0.022664,0.00218518,0.109139,0.112378,0.00629783,0.00620995,0.0141718,0.0142843,True,0.22852887500000002,0.0248492,0.022664,0.00218518,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.337412,0.337384,1.12684,1.12701,,,
23,final_eval,7,1,False,False,0.0365172,0.0383059,-0.00178869,0.158637,0.155929,0.00172302,0.00171227,0.017879,0.0179794,False,0.416372,0.0365172,0.0383059,-0.00178869,False,0.382294,0.132693,0.253017,0.607964,0.767895,0.77022,0.291115,0.125778,0.336146,0.336141,1.12797,1.12814,,,
