cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,lose0,lose1,lead01,lead10,bwd_signal
20,train,8,1,True,True,0.0424163,0.042097,0.000319275,0.0739144,0.0742437,0.0261297,0.0260434,0.0421058,0.0424251,True,0.07431929,0.0424163,0.042097,0.000319275,True,0.0741633,0.0749472,0.0742261,0.074074,0.0740748,0.0740755,0.0750969,0.0743765,0.0740752,0.0740834,0.339561,0.339495,1.2,4.82766e-07,0.00628235
21,train,9,1,True,True,0.0686154,0.0684637,0.000151695,0.101101,0.101257,0.0103631,0.0103418,0.068471,0.0686227,True,0.11566060000000003,0.0686154,0.0684637,0.000151695,True,0.119139,0.116029,0.108341,0.124867,0.113454,0.111264,0.117658,0.117823,0.109075,0.118956,0.337302,0.337291,1.2,4.82299e-07,0.00643975
22,train,10,1,True,True,0.0686023,0.0684507,0.000151658,0.101087,0.101243,0.0103575,0.0103362,0.068458,0.0686097,True,0.11564440000000001,0.0686023,0.0684507,0.000151658,True,0.119123,0.116013,0.108326,0.124849,0.113438,0.111248,0.117642,0.117806,0.10906,0.118939,0.337302,0.337291,1.2,4.82299e-07,0.00635489
23,train,11,1,True,True,0.0685891,0.0684375,0.000151621,0.101073,0.10123,0.0249109,0.0249427,0.0684448,0.0685964,True,0.1156282,0.0685891,0.0684375,0.000151621,True,0.119107,0.115996,0.108311,0.124832,0.113422,0.111232,0.117625,0.11779,0.109045,0.118922,0.333506,0.333516,1.2,4.82299e-07,0.00636604
24,train,0,0,True,True,0.0413782,0.041676,-0.000297834,0.0731729,0.0734801,0.0261294,0.0260431,0.0413871,0.0416849,False,0.07333664000000001,0.0413782,0.041676,-0.000297834,False,0.0733222,0.0733683,0.0733234,0.0733864,0.0733226,0.0733231,0.0733519,0.0733222,0.0733229,0.0733234,0.339566,0.3395,1.2,4.8281e-07,1.04498
25,train,1,0,True,True,0.0360906,0.0363217,-0.000231095,0.0677191,0.0679575,0.0291068,0.0290022,0.0360999,0.036331,False,0.06858097999999999,0.0360906,0.0363217,-0.000231095,False,0.0680626,0.0681837,0.0678356,0.0746714,0.0678349,0.0678559,0.0678603,0.0678346,0.0678352,0.0678356,0.34114,0.341029,1.2,4.83284e-07,1.04498
26,train,2,0,True,True,0.0404896,0.0406305,-0.000140956,0.0722578,0.0724031,0.030312,0.0302013,0.0404984,0.0406393,False,0.07628364,0.0404896,0.0406305,-0.000140956,False,0.0843937,0.0749301,0.075127,0.0786293,0.0733204,0.0751725,0.0758537,0.0777692,0.0727177,0.0749228,0.341779,0.341693,1.2,4.82882e-07,1.04498
27,train,3,0,True,True,0.0277859,0.0280129,-0.00022705,0.0591515,0.0593857,0.0316294,0.0315092,0.027796,0.0280231,False,0.05927564999999999,0.0277859,0.0280129,-0.00022705,False,0.0592645,0.0593421,0.0592657,0.0592659,0.0592649,0.0592655,0.0592925,0.0592645,0.0592652,0.0592657,0.34418,0.344057,1.19701,1.15087,0.0294589
28,train,4,0,True,True,0.0282031,0.0284311,-0.000227947,0.0595819,0.0598171,0.03163,0.0315099,0.028213,0.028441,False,0.05982936,0.0282031,0.0284311,-0.000227947,False,0.059878,0.059696,0.0605218,0.0596949,0.0596957,0.0596963,0.0599529,0.0597653,0.0596961,0.0596966,0.344064,0.343955,1.18744,1.14167,0.000784998
29,train,5,0,True,True,0.0278194,0.0280454,-0.00022604,0.0591858,0.0594191,0.031635,0.0315148,0.0278295,0.0280555,False,0.05932703,0.0278194,0.0280454,-0.00022604,False,0.0593692,0.059299,0.0593191,0.059298,0.0592987,0.0592993,0.0593346,0.0594537,0.0592991,0.0592996,0.344182,0.34406,1.17795,1.13993,2.65322e-05
30,train,6,1,True,True,0.0577342,0.0577902,-5.59429e-05,0.0900983,0.0900406,0.0114915,0.0115092,0.0577981,0.0577422,False,0.11330000000000003,0.0577342,0.0577902,-5.59429e-05,False,0.119619,0.113206,0.101433,0.130138,0.110009,0.105798,0.1161,0.117244,0.10298,0.116473,0.337834,0.337839,1.2,4.82386e-07,0.00697052
31,train,7,1,True,True,0.0577214,0.0577774,-5.59809e-05,0.0900851,0.0900274,0.0114891,0.0115068,0.0577853,0.0577294,False,0.1132838,0.0577214,0.0577774,-5.59809e-05,False,0.119603,0.113189,0.101418,0.130122,0.109993,0.105782,0.116083,0.117227,0.102965,0.116456,0.337833,0.337839,1.2,4.82386e-07,0.00574292
32,train,8,1,True,True,0.0298074,0.0295341,0.000273228,0.0609554,0.0612373,0.0316248,0.0315047,0.0295436,0.0298168,True,0.0616973,0.0298074,0.0295341,0.000273228,True,0.0616339,0.0627577,0.0616717,0.0610908,0.0610918,0.0610925,0.0631976,0.0621025,0.0610922,0.0612423,0.343712,0.343633,1.19701,1.1509,0.00908223
33,train,9,1,True,True,0.0576957,0.0577518,-5.60529e-05,0.0900587,0.0900009,0.0253418,0.0253624,0.0577597,0.0577037,False,0.11325110000000001,0.0576957,0.0577518,-5.60529e-05,False,0.119571,0.113155,0.101387,0.130088,0.109961,0.10575,0.116051,0.117193,0.102934,0.116421,0.33388,0.333889,1.2,4.82386e-07,0.00705363
34,train,10,1,True,True,0.0576829,0.057739,-5.60952e-05,0.0900456,0.0899877,0.0114821,0.0114998,0.057747,0.0576909,False,0.1132353,0.0576829,0.057739,-5.60952e-05,False,0.119555,0.113139,0.101372,0.130072,0.109946,0.105734,0.116035,0.117177,0.102919,0.116404,0.337833,0.337839,1.2,4.82387e-07,0.00575337
35,train,11,1,True,True,0.0576701,0.0577262,-5.61328e-05,0.0900324,0.0899745,0.0114797,0.0114975,0.0577342,0.0576781,False,0.113219,0.0576701,0.0577262,-5.61328e-05,False,0.119539,0.113122,0.101357,0.130055,0.10993,0.105717,0.116019,0.11716,0.102904,0.116387,0.337833,0.337838,1.2,4.82387e-07,0.00583051
36,final_eval,0,0,False,False,0.0279566,0.0281783,-0.000221745,0.0593273,0.0595561,0.0316525,0.0315321,0.0279666,0.0281883,False,0.05953115,0.0279566,0.0281783,-0.000221745,False,0.0594377,0.0598597,0.0594388,0.0599186,0.059438,0.0594386,0.0594651,0.0594377,0.0594384,0.0594389,0.344122,0.344005,1.19701,1.15048,
37,final_eval,1,0,False,False,0.0300944,0.0302626,-0.000168265,0.0615338,0.0617074,0.0315894,0.0314687,0.0301041,0.0302724,False,0.06265322999999999,0.0300944,0.0302626,-0.000168265,False,0.062,0.0622361,0.0616184,0.0708928,0.0616178,0.0616746,0.0616387,0.0616175,0.061618,0.0616184,0.343403,0.343355,1.18744,1.14129,
38,final_eval,2,0,False,False,0.0379247,0.0380215,-9.67476e-05,0.0696125,0.0697123,0.0314182,0.0312999,0.0379335,0.0380302,False,0.07405999999999999,0.0379247,0.0380215,-9.67476e-05,False,0.0831812,0.072507,0.0727669,0.0766326,0.0707485,0.0728825,0.0735371,0.0758206,0.0700975,0.0724261,0.342249,0.342261,1.17791,1.13991,
39,final_eval,3,0,False,False,0.0276978,0.0279243,-0.000226498,0.0590606,0.0592943,0.0316589,0.0315385,0.027708,0.0279345,False,0.059184249999999994,0.0276978,0.0279243,-0.000226498,False,0.0591734,0.0592489,0.0591746,0.0591741,0.0591738,0.0591743,0.0592013,0.0591734,0.0591741,0.0591746,0.3442,0.344074,1.16846,1.13993,
40,final_eval,4,0,False,False,0.02811,0.0283373,-0.000227354,0.0594858,0.0597204,0.0316595,0.0315391,0.0281199,0.0283472,False,0.059731049999999994,0.02811,0.0283373,-0.000227354,False,0.0597784,0.0595996,0.0604162,0.0595985,0.0595993,0.0595999,0.0598528,0.059666,0.0595996,0.0596002,0.34408,0.343968,1.15912,1.13993,
41,final_eval,5,0,False,False,0.0277295,0.027955,-0.000225483,0.0590929,0.0593255,0.0316644,0.031544,0.0277395,0.027965,False,0.059232810000000004,0.0277295,0.027955,-0.000225483,False,0.0592736,0.0592058,0.059224,0.0592047,0.0592055,0.0592061,0.0592401,0.0593562,0.0592058,0.0592063,0.344203,0.344077,1.14986,1.13993,
42,final_eval,6,1,False,False,0.0575802,0.0576366,-5.63959e-05,0.0899401,0.0898819,0.0114638,0.0114817,0.0576446,0.0575882,False,0.11310500000000001,0.0575802,0.0576366,-5.63959e-05,False,0.119428,0.113004,0.101249,0.129938,0.109819,0.105604,0.115905,0.117042,0.102796,0.116265,0.33779,0.337795,1.14035,1.13962,
43,final_eval,7,1,False,False,0.0575675,0.0576239,-5.64366e-05,0.0899269,0.0898687,0.0114616,0.0114795,0.0576319,0.0575755,False,0.113089,0.0575675,0.0576239,-5.64366e-05,False,0.119412,0.112987,0.101234,0.129922,0.109803,0.105588,0.115889,0.117026,0.102781,0.116248,0.33779,0.337795,1.13986,1.13986,
44,final_eval,8,1,False,False,0.0296974,0.0294253,0.000272112,0.0608431,0.0611239,0.031654,0.0315337,0.0294348,0.0297069,True,0.06157697999999999,0.0296974,0.0294253,0.000272112,True,0.0615197,0.0626108,0.0615549,0.060978,0.060979,0.0609797,0.0630586,0.0619845,0.0609794,0.0611252,0.343718,0.343638,1.13993,1.13993,
45,final_eval,9,1,False,False,0.0575417,0.0575982,-5.65099e-05,0.0899006,0.0898423,0.0114572,0.0114751,0.0576062,0.0575497,False,0.11305619999999998,0.0575417,0.0575982,-5.65099e-05,False,0.11938,0.112953,0.101203,0.129888,0.109772,0.105555,0.115856,0.116992,0.10275,0.116213,0.337789,0.337795,1.13972,1.13972,
46,final_eval,10,1,False,False,0.057529,0.0575855,-5.6546e-05,0.0898874,0.0898291,0.011455,0.011473,0.0575935,0.057537,False,0.11303990000000001,0.057529,0.0575855,-5.6546e-05,False,0.119364,0.112936,0.101188,0.129872,0.109756,0.105539,0.11584,0.116975,0.102734,0.116195,0.337789,0.337795,1.13986,1.13986,
47,final_eval,11,1,False,False,0.0575162,0.0575728,-5.65839e-05,0.0898742,0.0898158,0.0114528,0.0114708,0.0575807,0.0575242,False,0.1130239,0.0575162,0.0575728,-5.65839e-05,False,0.119348,0.11292,0.101173,0.129855,0.10974,0.105523,0.115824,0.116959,0.102719,0.116178,0.337789,0.337795,1.13986,1.13986,
