readout_time_ns,tau_act_ns,tau_score_ns,accuracy,correct,total,time_over_tau_act,time_over_tau_score
0.28,0.2,0.2,0.826,1652,2000,1.4000000000000001,1.4000000000000001
0.29,0.2,0.2,0.836,1672,2000,1.4499999999999997,1.4499999999999997
0.3,0.2,0.2,0.842,1684,2000,1.4999999999999998,1.4999999999999998
0.31,0.2,0.2,0.847,1694,2000,1.5499999999999998,1.5499999999999998
0.32,0.2,0.2,0.8545,1709,2000,1.5999999999999999,1.5999999999999999
0.33,0.2,0.2,0.859,1718,2000,1.65,1.65
0.34,0.2,0.2,0.866,1732,2000,1.7,1.7
0.35000000000000003,0.2,0.2,0.87,1740,2000,1.75,1.75
0.36,0.2,0.2,0.873,1746,2000,1.7999999999999998,1.7999999999999998
0.37,0.2,0.2,0.8775,1755,2000,1.8499999999999999,1.8499999999999999
0.38,0.2,0.2,0.881,1762,2000,1.9,1.9
0.39,0.2,0.2,0.8835,1767,2000,1.95,1.95
0.4,0.2,0.2,0.888,1776,2000,2.0,2.0
0.41000000000000003,0.2,0.2,0.8905,1781,2000,2.05,2.05
0.42,0.2,0.2,0.8925,1785,2000,2.0999999999999996,2.0999999999999996
0.43,0.2,0.2,0.8945,1789,2000,2.15,2.15
0.44,0.2,0.2,0.8985,1797,2000,2.1999999999999997,2.1999999999999997
0.45,0.2,0.2,0.9015,1803,2000,2.25,2.25
0.46,0.2,0.2,0.9015,1803,2000,2.3,2.3
0.47000000000000003,0.2,0.2,0.902,1804,2000,2.35,2.35
0.48,0.2,0.2,0.9025,1805,2000,2.4,2.4
0.49,0.2,0.2,0.902,1804,2000,2.4499999999999997,2.4499999999999997
0.5,0.2,0.2,0.9025,1805,2000,2.5,2.5
0.51,0.2,0.2,0.9015,1803,2000,2.55,2.55
0.52,0.2,0.2,0.903,1806,2000,2.6,2.6
0.53,0.2,0.2,0.9045,1809,2000,2.65,2.65
0.54,0.2,0.2,0.9045,1809,2000,2.7,2.7
0.55,0.2,0.2,0.906,1812,2000,2.75,2.75
0.56,0.2,0.2,0.906,1812,2000,2.8000000000000003,2.8000000000000003
0.5700000000000001,0.2,0.2,0.9065,1813,2000,2.85,2.85
0.58,0.2,0.2,0.9075,1815,2000,2.8999999999999995,2.8999999999999995
0.59,0.2,0.2,0.908,1816,2000,2.9499999999999997,2.9499999999999997
0.6,0.2,0.2,0.909,1818,2000,2.9999999999999996,2.9999999999999996
0.61,0.2,0.2,0.91,1820,2000,3.05,3.05
0.62,0.2,0.2,0.91,1820,2000,3.0999999999999996,3.0999999999999996
0.63,0.2,0.2,0.9105,1821,2000,3.15,3.15
0.64,0.2,0.2,0.91,1820,2000,3.1999999999999997,3.1999999999999997
0.65,0.2,0.2,0.9105,1821,2000,3.25,3.25
0.66,0.2,0.2,0.9105,1821,2000,3.3,3.3
0.67,0.2,0.2,0.91,1820,2000,3.35,3.35
0.68,0.2,0.2,0.9095,1819,2000,3.4,3.4
0.6900000000000001,0.2,0.2,0.909,1818,2000,3.45,3.45
0.7000000000000001,0.2,0.2,0.909,1818,2000,3.5,3.5
0.71,0.2,0.2,0.909,1818,2000,3.55,3.55
0.72,0.2,0.2,0.9095,1819,2000,3.5999999999999996,3.5999999999999996
0.73,0.2,0.2,0.9095,1819,2000,3.65,3.65
0.74,0.2,0.2,0.9095,1819,2000,3.6999999999999997,3.6999999999999997
0.75,0.2,0.2,0.9095,1819,2000,3.75,3.75
0.76,0.2,0.2,0.91,1820,2000,3.8,3.8
0.77,0.2,0.2,0.911,1822,2000,3.85,3.85
0.78,0.2,0.2,0.9115,1823,2000,3.9,3.9
0.79,0.2,0.2,0.9115,1823,2000,3.95,3.95
0.8,0.2,0.2,0.911,1822,2000,4.0,4.0
0.81,0.2,0.2,0.911,1822,2000,4.05,4.05
0.8200000000000001,0.2,0.2,0.911,1822,2000,4.1,4.1
0.8300000000000001,0.2,0.2,0.911,1822,2000,4.15,4.15
0.84,0.2,0.2,0.9115,1823,2000,4.199999999999999,4.199999999999999
0.85,0.2,0.2,0.9115,1823,2000,4.25,4.25
0.86,0.2,0.2,0.9115,1823,2000,4.3,4.3
0.87,0.2,0.2,0.9115,1823,2000,4.35,4.35
0.88,0.2,0.2,0.9115,1823,2000,4.3999999999999995,4.3999999999999995
0.89,0.2,0.2,0.9115,1823,2000,4.45,4.45
0.9,0.2,0.2,0.912,1824,2000,4.5,4.5
0.91,0.2,0.2,0.9125,1825,2000,4.55,4.55
0.92,0.2,0.2,0.9125,1825,2000,4.6,4.6
0.93,0.2,0.2,0.9125,1825,2000,4.65,4.65
0.9400000000000001,0.2,0.2,0.9125,1825,2000,4.7,4.7
0.9500000000000001,0.2,0.2,0.9125,1825,2000,4.75,4.75
0.96,0.2,0.2,0.9125,1825,2000,4.8,4.8
0.97,0.2,0.2,0.9125,1825,2000,4.85,4.85
0.98,0.2,0.2,0.912,1824,2000,4.8999999999999995,4.8999999999999995
0.99,0.2,0.2,0.9115,1823,2000,4.949999999999999,4.949999999999999
1.0,0.2,0.2,0.9115,1823,2000,5.0,5.0
1.01,0.2,0.2,0.9115,1823,2000,5.05,5.05
1.02,0.2,0.2,0.9115,1823,2000,5.1,5.1
1.03,0.2,0.2,0.9115,1823,2000,5.1499999999999995,5.1499999999999995
1.04,0.2,0.2,0.9115,1823,2000,5.2,5.2
1.05,0.2,0.2,0.9115,1823,2000,5.25,5.25
1.06,0.2,0.2,0.9115,1823,2000,5.3,5.3
1.07,0.2,0.2,0.9115,1823,2000,5.35,5.35
1.08,0.2,0.2,0.9115,1823,2000,5.4,5.4
1.09,0.2,0.2,0.912,1824,2000,5.45,5.45
1.1,0.2,0.2,0.912,1824,2000,5.5,5.5
1.11,0.2,0.2,0.912,1824,2000,5.55,5.55
1.12,0.2,0.2,0.9125,1825,2000,5.6000000000000005,5.6000000000000005
1.1300000000000001,0.2,0.2,0.9125,1825,2000,5.65,5.65
1.1400000000000001,0.2,0.2,0.9125,1825,2000,5.7,5.7
1.1500000000000001,0.2,0.2,0.9125,1825,2000,5.75,5.75
1.16,0.2,0.2,0.9125,1825,2000,5.799999999999999,5.799999999999999
1.17,0.2,0.2,0.9125,1825,2000,5.85,5.85
1.18,0.2,0.2,0.9125,1825,2000,5.8999999999999995,5.8999999999999995
1.19,0.2,0.2,0.9125,1825,2000,5.949999999999999,5.949999999999999
1.2,0.2,0.2,0.9125,1825,2000,5.999999999999999,5.999999999999999
1.21,0.2,0.2,0.9125,1825,2000,6.05,6.05
1.22,0.2,0.2,0.9125,1825,2000,6.1,6.1
1.23,0.2,0.2,0.9125,1825,2000,6.1499999999999995,6.1499999999999995
1.24,0.2,0.2,0.9125,1825,2000,6.199999999999999,6.199999999999999
1.25,0.2,0.2,0.9125,1825,2000,6.25,6.25
1.26,0.2,0.2,0.9125,1825,2000,6.3,6.3
1.27,0.2,0.2,0.9125,1825,2000,6.35,6.35
1.28,0.2,0.2,0.9125,1825,2000,6.3999999999999995,6.3999999999999995
1.29,0.2,0.2,0.9125,1825,2000,6.45,6.45
1.3,0.2,0.2,0.9125,1825,2000,6.5,6.5
1.31,0.2,0.2,0.913,1826,2000,6.55,6.55
1.32,0.2,0.2,0.913,1826,2000,6.6,6.6
1.33,0.2,0.2,0.913,1826,2000,6.65,6.65
1.34,0.2,0.2,0.913,1826,2000,6.7,6.7
1.35,0.2,0.2,0.913,1826,2000,6.75,6.75
1.36,0.2,0.2,0.913,1826,2000,6.8,6.8
1.37,0.2,0.2,0.913,1826,2000,6.8500000000000005,6.8500000000000005
1.3800000000000001,0.2,0.2,0.913,1826,2000,6.9,6.9
1.3900000000000001,0.2,0.2,0.913,1826,2000,6.95,6.95
1.4000000000000001,0.2,0.2,0.913,1826,2000,7.0,7.0
1.41,0.2,0.2,0.913,1826,2000,7.049999999999999,7.049999999999999
1.42,0.2,0.2,0.913,1826,2000,7.1,7.1
1.43,0.2,0.2,0.913,1826,2000,7.1499999999999995,7.1499999999999995
1.44,0.2,0.2,0.913,1826,2000,7.199999999999999,7.199999999999999
1.45,0.2,0.2,0.913,1826,2000,7.249999999999999,7.249999999999999
1.46,0.2,0.2,0.913,1826,2000,7.3,7.3
1.47,0.2,0.2,0.913,1826,2000,7.35,7.35
1.48,0.2,0.2,0.913,1826,2000,7.3999999999999995,7.3999999999999995
1.49,0.2,0.2,0.913,1826,2000,7.449999999999999,7.449999999999999
1.5,0.2,0.2,0.913,1826,2000,7.5,7.5
1.51,0.2,0.2,0.913,1826,2000,7.55,7.55
1.52,0.2,0.2,0.913,1826,2000,7.6,7.6
1.53,0.2,0.2,0.913,1826,2000,7.6499999999999995,7.6499999999999995
1.54,0.2,0.2,0.913,1826,2000,7.7,7.7
1.55,0.2,0.2,0.9135,1827,2000,7.75,7.75
1.56,0.2,0.2,0.9135,1827,2000,7.8,7.8
1.57,0.2,0.2,0.9135,1827,2000,7.85,7.85
1.58,0.2,0.2,0.9135,1827,2000,7.9,7.9
1.59,0.2,0.2,0.9135,1827,2000,7.95,7.95
1.6,0.2,0.2,0.9135,1827,2000,8.0,8.0
1.61,0.2,0.2,0.9135,1827,2000,8.05,8.05
1.62,0.2,0.2,0.9135,1827,2000,8.1,8.1
1.6300000000000001,0.2,0.2,0.9135,1827,2000,8.15,8.15
1.6400000000000001,0.2,0.2,0.9135,1827,2000,8.2,8.2
1.6500000000000001,0.2,0.2,0.9135,1827,2000,8.25,8.25
1.6600000000000001,0.2,0.2,0.9135,1827,2000,8.3,8.3
1.67,0.2,0.2,0.9135,1827,2000,8.35,8.35
1.68,0.2,0.2,0.9135,1827,2000,8.399999999999999,8.399999999999999
1.69,0.2,0.2,0.9135,1827,2000,8.45,8.45
1.7,0.2,0.2,0.9135,1827,2000,8.5,8.5
1.71,0.2,0.2,0.9135,1827,2000,8.549999999999999,8.549999999999999
1.72,0.2,0.2,0.9135,1827,2000,8.6,8.6
1.73,0.2,0.2,0.9135,1827,2000,8.649999999999999,8.649999999999999
1.74,0.2,0.2,0.9135,1827,2000,8.7,8.7
1.75,0.2,0.2,0.9135,1827,2000,8.75,8.75
1.76,0.2,0.2,0.9135,1827,2000,8.799999999999999,8.799999999999999
1.77,0.2,0.2,0.9135,1827,2000,8.85,8.85
1.78,0.2,0.2,0.9135,1827,2000,8.9,8.9
1.79,0.2,0.2,0.9135,1827,2000,8.95,8.95
1.8,0.2,0.2,0.9135,1827,2000,9.0,9.0
1.81,0.2,0.2,0.9135,1827,2000,9.049999999999999,9.049999999999999
1.82,0.2,0.2,0.9135,1827,2000,9.1,9.1
1.83,0.2,0.2,0.9135,1827,2000,9.15,9.15
1.84,0.2,0.2,0.9135,1827,2000,9.2,9.2
1.85,0.2,0.2,0.9135,1827,2000,9.25,9.25
1.86,0.2,0.2,0.9135,1827,2000,9.3,9.3
1.87,0.2,0.2,0.9135,1827,2000,9.35,9.35
1.8800000000000001,0.2,0.2,0.9135,1827,2000,9.4,9.4
1.8900000000000001,0.2,0.2,0.9135,1827,2000,9.45,9.45
1.9000000000000001,0.2,0.2,0.9135,1827,2000,9.5,9.5
1.9100000000000001,0.2,0.2,0.9135,1827,2000,9.55,9.55
1.92,0.2,0.2,0.9135,1827,2000,9.6,9.6
1.93,0.2,0.2,0.9135,1827,2000,9.649999999999999,9.649999999999999
1.94,0.2,0.2,0.9135,1827,2000,9.7,9.7
1.95,0.2,0.2,0.9135,1827,2000,9.75,9.75
1.96,0.2,0.2,0.9135,1827,2000,9.799999999999999,9.799999999999999
1.97,0.2,0.2,0.9135,1827,2000,9.85,9.85
1.98,0.2,0.2,0.9135,1827,2000,9.899999999999999,9.899999999999999
1.99,0.2,0.2,0.9135,1827,2000,9.95,9.95
2.0,0.2,0.2,0.9135,1827,2000,10.0,10.0
2.0100000000000002,0.2,0.2,0.9135,1827,2000,10.05,10.05
2.02,0.2,0.2,0.9135,1827,2000,10.1,10.1
2.0300000000000002,0.2,0.2,0.9135,1827,2000,10.15,10.15
2.04,0.2,0.2,0.9135,1827,2000,10.2,10.2
2.05,0.2,0.2,0.9135,1827,2000,10.249999999999998,10.249999999999998
2.06,0.2,0.2,0.9135,1827,2000,10.299999999999999,10.299999999999999
2.07,0.2,0.2,0.9135,1827,2000,10.349999999999998,10.349999999999998
2.08,0.2,0.2,0.9135,1827,2000,10.4,10.4
2.09,0.2,0.2,0.9135,1827,2000,10.45,10.45
2.1,0.2,0.2,0.9135,1827,2000,10.5,10.5
2.11,0.2,0.2,0.9135,1827,2000,10.549999999999999,10.549999999999999
2.12,0.2,0.2,0.9135,1827,2000,10.6,10.6
2.13,0.2,0.2,0.9135,1827,2000,10.649999999999999,10.649999999999999
2.14,0.2,0.2,0.9135,1827,2000,10.7,10.7
2.15,0.2,0.2,0.9135,1827,2000,10.749999999999998,10.749999999999998
2.16,0.2,0.2,0.9135,1827,2000,10.8,10.8
2.17,0.2,0.2,0.9135,1827,2000,10.85,10.85
2.18,0.2,0.2,0.9135,1827,2000,10.9,10.9
2.19,0.2,0.2,0.9135,1827,2000,10.95,10.95
2.2,0.2,0.2,0.9135,1827,2000,11.0,11.0
2.21,0.2,0.2,0.9135,1827,2000,11.049999999999999,11.049999999999999
2.22,0.2,0.2,0.9135,1827,2000,11.1,11.1
2.23,0.2,0.2,0.9135,1827,2000,11.149999999999999,11.149999999999999
2.24,0.2,0.2,0.9135,1827,2000,11.200000000000001,11.200000000000001
2.25,0.2,0.2,0.9135,1827,2000,11.25,11.25
2.2600000000000002,0.2,0.2,0.9135,1827,2000,11.3,11.3
2.27,0.2,0.2,0.9135,1827,2000,11.35,11.35
2.2800000000000002,0.2,0.2,0.9135,1827,2000,11.4,11.4
2.29,0.2,0.2,0.9135,1827,2000,11.45,11.45
2.3000000000000003,0.2,0.2,0.9135,1827,2000,11.5,11.5
2.31,0.2,0.2,0.9135,1827,2000,11.549999999999999,11.549999999999999
2.32,0.2,0.2,0.9135,1827,2000,11.599999999999998,11.599999999999998
2.33,0.2,0.2,0.9135,1827,2000,11.65,11.65
2.34,0.2,0.2,0.9135,1827,2000,11.7,11.7
2.35,0.2,0.2,0.9135,1827,2000,11.75,11.75
2.36,0.2,0.2,0.9135,1827,2000,11.799999999999999,11.799999999999999
2.37,0.2,0.2,0.9135,1827,2000,11.85,11.85
2.38,0.2,0.2,0.9135,1827,2000,11.899999999999999,11.899999999999999
2.39,0.2,0.2,0.9135,1827,2000,11.95,11.95
2.4,0.2,0.2,0.9135,1827,2000,11.999999999999998,11.999999999999998
2.41,0.2,0.2,0.9135,1827,2000,12.05,12.05
2.42,0.2,0.2,0.9135,1827,2000,12.1,12.1
2.43,0.2,0.2,0.9135,1827,2000,12.15,12.15
2.44,0.2,0.2,0.9135,1827,2000,12.2,12.2
2.45,0.2,0.2,0.9135,1827,2000,12.25,12.25
2.46,0.2,0.2,0.9135,1827,2000,12.299999999999999,12.299999999999999
2.47,0.2,0.2,0.9135,1827,2000,12.35,12.35
2.48,0.2,0.2,0.9135,1827,2000,12.399999999999999,12.399999999999999
2.49,0.2,0.2,0.9135,1827,2000,12.450000000000001,12.450000000000001
2.5,0.2,0.2,0.9135,1827,2000,12.5,12.5
2.5100000000000002,0.2,0.2,0.9135,1827,2000,12.55,12.55
2.52,0.2,0.2,0.9135,1827,2000,12.6,12.6
2.5300000000000002,0.2,0.2,0.9135,1827,2000,12.65,12.65
2.54,0.2,0.2,0.9135,1827,2000,12.7,12.7
2.5500000000000003,0.2,0.2,0.9135,1827,2000,12.75,12.75
2.56,0.2,0.2,0.9135,1827,2000,12.799999999999999,12.799999999999999
2.57,0.2,0.2,0.9135,1827,2000,12.849999999999998,12.849999999999998
2.58,0.2,0.2,0.9135,1827,2000,12.9,12.9
2.59,0.2,0.2,0.9135,1827,2000,12.95,12.95
2.6,0.2,0.2,0.9135,1827,2000,13.0,13.0
2.61,0.2,0.2,0.9135,1827,2000,13.049999999999999,13.049999999999999
2.62,0.2,0.2,0.9135,1827,2000,13.1,13.1
2.63,0.2,0.2,0.9135,1827,2000,13.149999999999999,13.149999999999999
2.64,0.2,0.2,0.9135,1827,2000,13.2,13.2
2.65,0.2,0.2,0.9135,1827,2000,13.249999999999998,13.249999999999998
2.66,0.2,0.2,0.9135,1827,2000,13.3,13.3
2.67,0.2,0.2,0.9135,1827,2000,13.35,13.35
2.68,0.2,0.2,0.9135,1827,2000,13.4,13.4
2.69,0.2,0.2,0.9135,1827,2000,13.45,13.45
2.7,0.2,0.2,0.9135,1827,2000,13.5,13.5
2.71,0.2,0.2,0.9135,1827,2000,13.549999999999999,13.549999999999999
2.72,0.2,0.2,0.9135,1827,2000,13.6,13.6
2.73,0.2,0.2,0.9135,1827,2000,13.649999999999999,13.649999999999999
2.74,0.2,0.2,0.9135,1827,2000,13.700000000000001,13.700000000000001
2.75,0.2,0.2,0.9135,1827,2000,13.75,13.75
2.7600000000000002,0.2,0.2,0.9135,1827,2000,13.8,13.8
2.77,0.2,0.2,0.9135,1827,2000,13.85,13.85
2.7800000000000002,0.2,0.2,0.9135,1827,2000,13.9,13.9
2.79,0.2,0.2,0.9135,1827,2000,13.95,13.95
2.8000000000000003,0.2,0.2,0.9135,1827,2000,14.0,14.0
2.81,0.2,0.2,0.9135,1827,2000,14.049999999999999,14.049999999999999
2.82,0.2,0.2,0.9135,1827,2000,14.099999999999998,14.099999999999998
2.83,0.2,0.2,0.9135,1827,2000,14.15,14.15
2.84,0.2,0.2,0.9135,1827,2000,14.2,14.2
2.85,0.2,0.2,0.9135,1827,2000,14.25,14.25
2.86,0.2,0.2,0.9135,1827,2000,14.299999999999999,14.299999999999999
2.87,0.2,0.2,0.9135,1827,2000,14.35,14.35
2.88,0.2,0.2,0.9135,1827,2000,14.399999999999999,14.399999999999999
2.89,0.2,0.2,0.9135,1827,2000,14.45,14.45
2.9,0.2,0.2,0.9135,1827,2000,14.499999999999998,14.499999999999998
2.91,0.2,0.2,0.9135,1827,2000,14.55,14.55
2.92,0.2,0.2,0.9135,1827,2000,14.6,14.6
2.93,0.2,0.2,0.9135,1827,2000,14.65,14.65
2.94,0.2,0.2,0.9135,1827,2000,14.7,14.7
2.95,0.2,0.2,0.9135,1827,2000,14.75,14.75
2.96,0.2,0.2,0.9135,1827,2000,14.799999999999999,14.799999999999999
2.97,0.2,0.2,0.9135,1827,2000,14.85,14.85
2.98,0.2,0.2,0.9135,1827,2000,14.899999999999999,14.899999999999999
2.99,0.2,0.2,0.9135,1827,2000,14.950000000000001,14.950000000000001
3.0,0.2,0.2,0.9135,1827,2000,15.0,15.0
0.0,0.2,0.25,0.0925,185,2000,0.0,0.0
0.01,0.2,0.25,0.116,232,2000,0.049999999999999996,0.04
0.02,0.2,0.25,0.1425,285,2000,0.09999999999999999,0.08
0.03,0.2,0.25,0.284,568,2000,0.15,0.12
0.04,0.2,0.25,0.3805,761,2000,0.19999999999999998,0.16
0.05,0.2,0.25,0.4615,923,2000,0.25,0.2
0.06,0.2,0.25,0.5035,1007,2000,0.3,0.24
0.07,0.2,0.25,0.5265,1053,2000,0.35000000000000003,0.28
0.08,0.2,0.25,0.5425,1085,2000,0.39999999999999997,0.32
0.09,0.2,0.25,0.5575,1115,2000,0.44999999999999996,0.36
0.1,0.2,0.25,0.567,1134,2000,0.5,0.4
0.11,0.2,0.25,0.578,1156,2000,0.5499999999999999,0.44
0.12,0.2,0.25,0.591,1182,2000,0.6,0.48
0.13,0.2,0.25,0.6015,1203,2000,0.65,0.52
0.14,0.2,0.25,0.6155,1231,2000,0.7000000000000001,0.56
0.15,0.2,0.25,0.632,1264,2000,0.7499999999999999,0.6
0.16,0.2,0.25,0.6495,1299,2000,0.7999999999999999,0.64
0.17,0.2,0.25,0.668,1336,2000,0.85,0.68
0.18,0.2,0.25,0.6805,1361,2000,0.8999999999999999,0.72
0.19,0.2,0.25,0.697,1394,2000,0.95,0.76
0.2,0.2,0.25,0.7185,1437,2000,1.0,0.8
0.21,0.2,0.25,0.731,1462,2000,1.0499999999999998,0.84
0.22,0.2,0.25,0.7395,1479,2000,1.0999999999999999,0.88
0.23,0.2,0.25,0.7555,1511,2000,1.15,0.92
0.24,0.2,0.25,0.7745,1549,2000,1.2,0.96
0.25,0.2,0.25,0.783,1566,2000,1.25,1.0
0.26,0.2,0.25,0.7965,1593,2000,1.3,1.04
0.27,0.2,0.25,0.8065,1613,2000,1.35,1.08
0.28,0.2,0.25,0.8165,1633,2000,1.4000000000000001,1.12
0.29,0.2,0.25,0.826,1652,2000,1.4499999999999997,1.16
0.3,0.2,0.25,0.835,1670,2000,1.4999999999999998,1.2
0.31,0.2,0.25,0.8405,1681,2000,1.5499999999999998,1.24
0.32,0.2,0.25,0.845,1690,2000,1.5999999999999999,1.28
0.33,0.2,0.25,0.8515,1703,2000,1.65,1.32
0.34,0.2,0.25,0.8575,1715,2000,1.7,1.36
0.35000000000000003,0.2,0.25,0.8625,1725,2000,1.75,1.4000000000000001
0.36,0.2,0.25,0.868,1736,2000,1.7999999999999998,1.44
0.37,0.2,0.25,0.87,1740,2000,1.8499999999999999,1.48
0.38,0.2,0.25,0.874,1748,2000,1.9,1.52
0.39,0.2,0.25,0.8775,1755,2000,1.95,1.56
0.4,0.2,0.25,0.881,1762,2000,2.0,1.6
0.41000000000000003,0.2,0.25,0.8835,1767,2000,2.05,1.6400000000000001
0.42,0.2,0.25,0.8875,1775,2000,2.0999999999999996,1.68
0.43,0.2,0.25,0.89,1780,2000,2.15,1.72
0.44,0.2,0.25,0.8925,1785,2000,2.1999999999999997,1.76
0.45,0.2,0.25,0.8935,1787,2000,2.25,1.8
0.46,0.2,0.25,0.896,1792,2000,2.3,1.84
0.47000000000000003,0.2,0.25,0.8995,1799,2000,2.35,1.8800000000000001
0.48,0.2,0.25,0.901,1802,2000,2.4,1.92
0.49,0.2,0.25,0.902,1804,2000,2.4499999999999997,1.96
0.5,0.2,0.25,0.9025,1805,2000,2.5,2.0
0.51,0.2,0.25,0.9025,1805,2000,2.55,2.04
0.52,0.2,0.25,0.902,1804,2000,2.6,2.08
0.53,0.2,0.25,0.9025,1805,2000,2.65,2.12
0.54,0.2,0.25,0.9015,1803,2000,2.7,2.16
0.55,0.2,0.25,0.903,1806,2000,2.75,2.2
0.56,0.2,0.25,0.903,1806,2000,2.8000000000000003,2.24
0.5700000000000001,0.2,0.25,0.9045,1809,2000,2.85,2.2800000000000002
0.58,0.2,0.25,0.9045,1809,2000,2.8999999999999995,2.32
0.59,0.2,0.25,0.906,1812,2000,2.9499999999999997,2.36
0.6,0.2,0.25,0.906,1812,2000,2.9999999999999996,2.4
0.61,0.2,0.25,0.9065,1813,2000,3.05,2.44
0.62,0.2,0.25,0.9075,1815,2000,3.0999999999999996,2.48
0.63,0.2,0.25,0.908,1816,2000,3.15,2.52
0.64,0.2,0.25,0.909,1818,2000,3.1999999999999997,2.56
0.65,0.2,0.25,0.9095,1819,2000,3.25,2.6
0.66,0.2,0.25,0.9095,1819,2000,3.3,2.64
0.67,0.2,0.25,0.9105,1821,2000,3.35,2.68
0.68,0.2,0.25,0.9105,1821,2000,3.4,2.72
0.6900000000000001,0.2,0.25,0.91,1820,2000,3.45,2.7600000000000002
0.7000000000000001,0.2,0.25,0.911,1822,2000,3.5,2.8000000000000003
0.71,0.2,0.25,0.9105,1821,2000,3.55,2.84
0.72,0.2,0.25,0.91,1820,2000,3.5999999999999996,2.88
0.73,0.2,0.25,0.91,1820,2000,3.65,2.92
0.74,0.2,0.25,0.9095,1819,2000,3.6999999999999997,2.96
0.75,0.2,0.25,0.909,1818,2000,3.75,3.0
0.76,0.2,0.25,0.909,1818,2000,3.8,3.04
0.77,0.2,0.25,0.9095,1819,2000,3.85,3.08
0.78,0.2,0.25,0.9095,1819,2000,3.9,3.12
0.79,0.2,0.25,0.9095,1819,2000,3.95,3.16
0.8,0.2,0.25,0.9095,1819,2000,4.0,3.2
0.81,0.2,0.25,0.9095,1819,2000,4.05,3.24
0.8200000000000001,0.2,0.25,0.91,1820,2000,4.1,3.2800000000000002
0.8300000000000001,0.2,0.25,0.9105,1821,2000,4.15,3.3200000000000003
0.84,0.2,0.25,0.911,1822,2000,4.199999999999999,3.36
0.85,0.2,0.25,0.9115,1823,2000,4.25,3.4
0.86,0.2,0.25,0.9115,1823,2000,4.3,3.44
0.87,0.2,0.25,0.911,1822,2000,4.35,3.48
0.88,0.2,0.25,0.911,1822,2000,4.3999999999999995,3.52
0.89,0.2,0.25,0.911,1822,2000,4.45,3.56
0.9,0.2,0.25,0.911,1822,2000,4.5,3.6
0.91,0.2,0.25,0.9115,1823,2000,4.55,3.64
0.92,0.2,0.25,0.9115,1823,2000,4.6,3.68
0.93,0.2,0.25,0.9115,1823,2000,4.65,3.72
0.9400000000000001,0.2,0.25,0.9115,1823,2000,4.7,3.7600000000000002
0.9500000000000001,0.2,0.25,0.9115,1823,2000,4.75,3.8000000000000003
0.96,0.2,0.25,0.9115,1823,2000,4.8,3.84
0.97,0.2,0.25,0.9115,1823,2000,4.85,3.88
0.98,0.2,0.25,0.912,1824,2000,4.8999999999999995,3.92
0.99,0.2,0.25,0.9125,1825,2000,4.949999999999999,3.96
1.0,0.2,0.25,0.9125,1825,2000,5.0,4.0
1.01,0.2,0.25,0.9125,1825,2000,5.05,4.04
1.02,0.2,0.25,0.9125,1825,2000,5.1,4.08
1.03,0.2,0.25,0.9125,1825,2000,5.1499999999999995,4.12
1.04,0.2,0.25,0.9125,1825,2000,5.2,4.16
1.05,0.2,0.25,0.9125,1825,2000,5.25,4.2
1.06,0.2,0.25,0.9125,1825,2000,5.3,4.24
1.07,0.2,0.25,0.912,1824,2000,5.35,4.28
1.08,0.2,0.25,0.9115,1823,2000,5.4,4.32
1.09,0.2,0.25,0.9115,1823,2000,5.45,4.36
