cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node,max_abs_hidden_delta_signal,max_hidden_delta_node,max_abs_hidden_delta_update_signal,max_hidden_delta_update_node,max_abs_hidden_delta_gate_signal,max_hidden_delta_gate_node
10,train,2,1,True,True,0.125703,0.121165,0.00453766,0.150989,0.15646,0.00942927,0.0092272,0.121158,0.125696,True,0.089402425,0.125703,0.121165,0.00453766,True,0.100752,0.0672183,0.149234,0.0404054,0.33762,0.337595,1.2,0.205593,1.14238,0.0881888,0.0881896,5.72161e-05,0.0635885,5.70608e-05,0.0634159,1.19006,1.20057
11,train,3,0,True,True,0.111983,0.122411,-0.010428,0.132104,0.143835,0.00926924,0.00896737,0.111977,0.122405,False,0.107993575,0.111983,0.122411,-0.010428,False,0.180334,0.0601689,0.0953393,0.0961321,0.338149,0.338025,1.2,0.173405,1.14238,0.0885285,0.0893994,0.000268222,0.0652543,0.000267494,0.0650772,1.08039,1.19981
12,train,0,0,True,True,0.110158,0.113651,-0.00349232,0.135463,0.139342,0.00861881,0.00853694,0.110152,0.113644,False,0.098654275,0.110158,0.113651,-0.00349232,False,0.056761,0.19411,0.0474215,0.0963246,0.337318,0.33736,1.2,0.217083,1.15094,0.0808969,0.0808977,0.000229368,0.0552883,0.000228746,0.0551382,1.13793,1.20077
13,train,1,1,True,True,0.107297,0.108148,-0.000850576,0.130665,0.131751,0.0109051,0.0108231,0.108142,0.107291,False,0.09362535,0.107297,0.108148,-0.000850576,False,0.0607094,0.127606,-1.49495e-26,0.186186,0.337811,0.337799,0.286517,1.2,1.14333,0.0746942,0.0755575,0.000225666,0.0488505,0.000225053,0.0487179,1.19967,1.19967
14,train,2,1,True,True,0.115806,0.112788,0.00301801,0.141901,0.145888,0.00984347,0.00966025,0.112782,0.1158,True,0.08855439999999999,0.115806,0.112788,0.00301801,True,0.10033,0.066124,0.148449,0.0393146,0.337614,0.337613,1.2,0.224753,1.14238,0.0800588,0.0800596,4.45956e-05,0.0539562,4.44746e-05,0.0538098,1.19256,1.19843
15,train,3,0,True,True,0.105275,0.112555,-0.00728043,0.12498,0.133108,0.0093709,0.00918134,0.105269,0.112549,False,0.107641975,0.105275,0.112555,-0.00728043,False,0.181752,0.0589006,0.0945916,0.0953237,0.338089,0.338019,1.2,0.172038,1.14239,0.0789686,0.0798339,0.000436723,0.0538451,0.000435538,0.0536989,1.14664,1.19463
16,train,0,0,True,True,0.101886,0.104172,-0.00228557,0.129061,0.131233,0.008983,0.00895965,0.10188,0.104166,False,0.097801575,0.101886,0.104172,-0.00228557,False,0.0558216,0.193935,0.0465036,0.0949461,0.337253,0.337352,1.2,0.198962,1.1509,0.0716991,0.0716999,0.000265999,0.0443429,0.000265277,0.0442225,1.18142,1.20039
17,train,1,1,True,True,0.101799,0.102245,-0.000445643,0.123214,0.125076,0.0112656,0.0111277,0.102239,0.101793,False,0.093126675,0.101799,0.102245,-0.000445643,False,0.0597707,0.126786,-1.4587e-26,0.18595,0.337823,0.337784,0.317246,1.2,1.14787,0.068973,0.0698305,0.000353453,0.0420786,0.000352494,0.0419643,1.18469,1.19919
18,train,2,1,True,True,0.108473,0.10592,0.00255309,0.134315,0.137893,0.0102195,0.0100121,0.105915,0.108467,True,0.08767185,0.108473,0.10592,0.00255309,True,0.0998479,0.0650071,0.147639,0.0381934,0.337606,0.337618,1.2,0.226759,1.14699,0.0733956,0.0733964,0.000101992,0.0452971,0.000101715,0.0451741,1.19571,1.19571
19,train,3,0,True,True,0.099431,0.105069,-0.00563837,0.119266,0.125425,0.00945831,0.00934654,0.0994255,0.105064,False,0.1072565,0.099431,0.105069,-0.00563837,False,0.183092,0.057629,0.0938048,0.0945002,0.338023,0.337999,1.2,0.090263,1.14679,0.0717103,0.0725709,0.000544433,0.0444638,0.000542955,0.0443431,1.18167,1.19423
20,train,0,0,True,True,0.097441,0.0991703,-0.00172932,0.123975,0.125119,0.00933437,0.00934557,0.0974356,0.0991649,False,0.096915025,0.097441,0.0991703,-0.00172932,False,0.0548642,0.193707,0.0455507,0.0935382,0.337185,0.337342,1.2,0.0742766,1.151,0.0668473,0.0668481,0.000348434,0.0386153,0.000347489,0.0385105,1.19384,1.19651
21,train,1,1,True,True,0.0962141,0.0961857,2.83265e-05,0.117228,0.119804,0.0116168,0.0114178,0.0961804,0.0962088,True,0.092605125,0.0962141,0.0961857,2.83265e-05,True,0.0588105,0.125911,-1.42117e-26,0.185699,0.33783,0.337761,0.602272,1.19999,1.151,0.0631004,0.0639529,0.000426182,0.035191,0.000425026,0.0350955,1.19773,1.19773
22,train,2,1,True,True,0.103566,0.101584,0.00198215,0.128091,0.131245,0.0105609,0.0103222,0.101578,0.10356,True,0.08675790000000001,0.103566,0.101584,0.00198215,True,0.0993026,0.0638664,0.1468,0.0370626,0.33759,0.337617,1.2,0.470505,1.14237,0.0691888,0.0691896,0.000214025,0.0411489,0.000214043,0.0410372,1.19748,1.19748
23,train,3,0,True,True,0.0943603,0.0988672,-0.00450696,0.114639,0.119343,0.00955865,0.00949919,0.0943551,0.0988618,False,0.106838175,0.0943603,0.0988672,-0.00450696,False,0.184354,0.0563544,0.0929774,0.0936669,0.337963,0.337974,1.2,0.022756,1.15099,0.0656976,0.0665541,0.0010795,0.0381657,0.00106996,0.0380621,1.19545,1.19545
24,train,0,0,True,True,0.0924389,0.0938267,-0.00138778,0.119922,0.120059,0.00968802,0.00972478,0.0924338,0.0938215,False,0.09599392500000001,0.0924389,0.0938267,-0.00138778,False,0.0538876,0.193422,0.0445605,0.0921056,0.337111,0.337336,1.2,0.000699614,1.15099,0.0616639,0.0616647,0.000667253,0.0326019,0.000665442,0.0325134,1.19977,1.19977
25,train,1,1,True,True,0.0915769,0.0909354,0.000641558,0.112199,0.115626,0.0119927,0.0117029,0.0909304,0.0915719,True,0.09207135,0.0915769,0.0909354,0.000641558,True,0.0578274,0.125014,-1.38246e-26,0.185444,0.337859,0.33773,1.2,0.000286254,1.15099,0.0580118,0.0588604,0.00141056,0.0294366,0.0013354,0.0293567,0.0464649,1.19374
26,train,2,1,True,True,0.0972625,0.0952441,0.00201841,0.122685,0.12575,0.010913,0.0105987,0.0952389,0.0972572,True,0.085813,0.0972625,0.0952441,0.00201841,True,0.098692,0.0627012,0.145932,0.0359268,0.337602,0.337611,1.2,0.045608,1.15099,0.0630388,0.0630396,0.000459529,0.0340322,0.000404788,0.0339398,1.19969,1.19969
27,train,3,0,True,True,0.0890835,0.0926282,-0.00354469,0.111052,0.114394,0.00968914,0.00965999,0.0890786,0.0926231,False,0.106383025,0.0890835,0.0926282,-0.00354469,False,0.185533,0.0550731,0.0921061,0.0928199,0.337929,0.337957,1.2,2.97148e-05,1.15099,0.0596492,0.0605022,0.00142547,0.0312394,0.00134913,0.0311546,1.09907,1.2
28,train,0,0,True,True,0.0870277,0.0879307,-0.000902955,0.116829,0.11583,0.010063,0.0101085,0.0870229,0.0879258,False,0.095038125,0.0870277,0.0879307,-0.000902955,False,0.0528913,0.193082,0.0435319,0.0906473,0.337054,0.337342,1.2,-5.22698e-05,1.15099,0.0559453,0.0559461,0.00113942,0.0262499,0.00107192,0.0261821,0.0459936,1.1937
29,train,1,1,True,True,0.0863429,0.0848907,0.00145223,0.108037,0.112347,0.0123959,0.011998,0.084886,0.0863382,True,0.09152812499999999,0.0863429,0.0848907,0.00145223,True,0.0568215,0.124107,-1.33273e-26,0.185184,0.337927,0.337714,1.2,-1.23092e-05,1.15099,0.0521525,0.0529978,0.00582876,0.0230263,0.00581345,0.0229684,0.0456256,1.18416
30,train,2,1,True,True,0.0930291,0.091107,0.00192211,0.118267,0.121207,0.0112651,0.0108692,0.091102,0.093024,True,0.08483495,0.0930291,0.091107,0.00192211,True,0.098012,0.0615124,0.145032,0.0347834,0.337639,0.33763,1.2,0.000317707,1.15099,0.059026,0.0590268,0.0125227,0.0295562,0.0124939,0.029476,0.0379313,1.17469
31,train,3,0,True,True,0.0863603,0.08922,-0.00285974,0.108176,0.110399,0.00983161,0.00984816,0.0863555,0.0892151,False,0.10589442499999999,0.0863603,0.08922,-0.00285974,False,0.186627,0.0537916,0.091194,0.0919651,0.337908,0.337976,1.2,-4.40707e-05,1.15099,0.0563466,0.0571967,0.00895355,0.0275793,0.00895056,0.0275044,0.028543,1.1653
32,train,0,0,True,True,0.0836237,0.0839692,-0.000345518,0.114412,0.112117,0.0104622,0.0105189,0.0836191,0.0839646,False,0.0940494,0.0836237,0.0839692,-0.000345518,False,0.0518757,0.192689,0.0424654,0.0891675,0.337011,0.337386,1.2,-9.58731e-07,1.15099,0.0521033,0.0521041,0.0100354,0.0220743,0.0100111,0.0220223,0.0192302,1.15599
33,train,1,1,True,True,0.0844837,0.082978,0.0015057,0.104526,0.109484,0.0355491,0.0360896,0.0829734,0.084479,True,0.09097895,0.0844837,0.082978,0.0015057,True,0.0557938,0.123195,-1.28633e-26,0.184927,0.322587,0.318827,1.2,2.38867e-08,1.15099,0.0503005,0.0511429,0.0208694,0.0210226,0.0208212,0.0209702,0.00999203,1.14675
34,train,2,1,True,True,0.0892853,0.0873563,0.00192902,0.114338,0.117217,0.0116297,0.0111457,0.0873515,0.0892804,True,0.08382455,0.0892853,0.0873563,0.00192902,True,0.0972609,0.0603029,0.144099,0.0336354,0.337694,0.337671,1.2,-4.95191e-05,1.15099,0.0553882,0.055389,0.0248324,0.0255693,0.0247752,0.0254999,0.000827617,1.13759
35,train,3,0,True,True,0.0829125,0.0853104,-0.00239789,0.105756,0.106907,0.00998688,0.0100682,0.082908,0.0853057,False,0.10537122499999999,0.0829125,0.0853104,-0.00239789,False,0.187633,0.0525099,0.0902395,0.0911025,0.337891,0.338023,1.2,7.86077e-08,1.15055,0.0525589,0.0534063,0.0239806,0.0262028,0.0239253,0.0261317,1.26021e-07,1.13676
36,final_eval,0,0,False,False,0.081594,0.0818873,-0.000293265,0.11233,0.108765,0.0108855,0.0109588,0.0815895,0.0818827,False,0.09303325000000001,0.081594,0.0818873,-0.000293265,False,0.0508404,0.192241,0.0413852,0.0876664,0.336934,0.337422,1.19689,1.15087,,,,,,,,,
37,final_eval,1,1,False,False,0.0808826,0.0779895,0.00289308,0.10143,0.108075,0.0131581,0.0125509,0.0779852,0.0808781,True,0.09056495,0.0808826,0.0779895,0.00289308,True,0.0550068,0.122507,-2.29686e-26,0.184746,0.338117,0.337663,1.18697,1.1415,,,,,,,,,
38,final_eval,2,1,False,False,0.0887054,0.0867123,0.00199306,0.112437,0.115378,0.0118283,0.0112816,0.0867075,0.0887005,True,0.08330335,0.0887054,0.0867123,0.00199306,True,0.0968655,0.0596872,0.143609,0.0330517,0.337682,0.337656,1.17701,1.13971,,,,,,,,,
39,final_eval,3,0,False,False,0.0826931,0.0838469,-0.00115382,0.106103,0.105545,0.00999824,0.0101741,0.0826885,0.0838423,False,0.10523697500000001,0.0826931,0.0838469,-0.00115382,False,0.187898,0.0521813,0.0899861,0.0908825,0.337786,0.338042,1.16721,1.13984,,,,,,,,,
