cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node,max_abs_hidden_delta_signal,max_hidden_delta_node,max_abs_hidden_delta_update_signal,max_hidden_delta_update_node,max_abs_hidden_delta_gate_signal,max_hidden_delta_gate_node
10,train,2,1,True,True,0.125961,0.120952,0.00500906,0.153745,0.158297,0.0123206,0.00906575,0.120946,0.125955,True,0.089410125,0.125961,0.120952,0.00500906,True,0.100778,0.0671929,0.149271,0.0403986,0.337285,0.3375,1.2,0.202234,1.14238,0.0879823,0.0879831,0.0615562,0.0632883,0.0614143,0.0631165,1.2,1.2
11,train,3,0,True,True,0.111813,0.122887,-0.0110741,0.138341,0.150747,0.00843027,0.0118253,0.111807,0.12288,False,0.10800172499999999,0.111813,0.122887,-0.0110741,False,0.180401,0.0601409,0.0953474,0.0961176,0.337656,0.337371,1.2,0.171152,1.15017,0.088996,0.0898611,0.0655837,0.0659148,0.0654326,0.0657629,1.2,1.2
12,train,0,0,True,True,0.132938,0.114204,0.0187336,0.167356,0.145108,0.016018,0.00793811,0.132936,0.114198,True,0.09862897500000001,0.132938,0.114204,0.0187336,True,0.0567418,0.19412,0.0473973,0.0962568,0.33466,0.33748,0.157131,1.2,1.15099,0.0814343,0.0814351,0.0559475,0.0559496,0.0558186,0.0558207,1.2,1.20023
13,train,1,1,True,True,0.125149,0.111194,0.0139552,0.143057,0.159204,0.0149448,0.0112625,0.111187,0.125144,True,0.09359505,0.125149,0.111194,0.0139552,True,0.0606372,0.12758,-3.2014e-26,0.186163,0.337152,0.33621,1.2,0.162577,1.15099,0.0776524,0.0785125,0.0521742,0.0524631,0.0520539,0.0523422,1.2,1.2
14,train,2,1,True,True,0.116754,0.116918,-0.000163453,0.150721,0.149015,0.0180577,0.00624602,0.116913,0.116748,False,0.0884909,0.116754,0.116918,-0.000163453,False,0.100297,0.0660048,0.148437,0.0392248,0.336246,0.337416,1.19999,0.70798,1.14957,0.0840695,0.0840703,0.053887,0.0540088,0.0537628,0.0538732,1.2,1.2
15,train,3,0,True,True,0.118189,0.113103,0.00508571,0.151964,0.140002,0.0125488,0.0084761,0.118183,0.113097,True,0.107588275,0.118189,0.113103,0.00508571,True,0.181787,0.0587905,0.0945415,0.0952341,0.336057,0.337943,0.201055,1.2,1.15094,0.0795042,0.0803665,0.0542918,0.0545793,0.0541667,0.0544535,1.2,1.2
16,train,0,0,True,True,0.124635,0.106049,0.0185858,0.158806,0.136407,0.0171928,0.00857391,0.124633,0.106043,True,0.09770367499999999,0.124635,0.106049,0.0185858,True,0.0557334,0.193886,0.0464133,0.094782,0.334341,0.337477,0.141656,1.2,1.15099,0.0735204,0.0735212,0.0465068,0.0465088,0.0463996,0.0464016,1.2,1.2
17,train,1,1,True,True,0.1178,0.102584,0.0152163,0.133743,0.15162,0.0155233,0.0119635,0.102579,0.117795,True,0.0930394,0.1178,0.102584,0.0152163,True,0.0596066,0.126688,-3.12926e-26,0.185863,0.337159,0.336157,1.2,0.128601,1.15097,0.0693051,0.0701599,0.0423079,0.0425475,0.0422104,0.0424494,1.2,1.2
18,train,2,1,True,True,0.110547,0.109008,0.00153932,0.142546,0.143056,0.0186886,0.00677976,0.109003,0.110541,True,0.08753315,0.110547,0.109008,0.00153932,True,0.0997496,0.0647876,0.147573,0.0380224,0.336164,0.337255,1.2,0.257008,1.15099,0.0763922,0.076393,0.0487029,0.0495997,0.0485906,0.0494854,1.2,1.2
19,train,3,0,True,True,0.111745,0.105447,0.00629789,0.145311,0.132145,0.0129111,0.00910725,0.111739,0.105441,True,0.10713755,0.111745,0.105447,0.00629789,True,0.183087,0.0574349,0.0936907,0.0943376,0.335966,0.337842,0.178612,1.2,1.15087,0.0720798,0.0729369,0.0455009,0.0457593,0.045396,0.0456538,1.2,1.2
20,train,0,0,True,True,0.118162,0.0994925,0.0186698,0.152161,0.129497,0.0182839,0.00917885,0.118161,0.099487,True,0.09674232499999999,0.118162,0.0994925,0.0186698,True,0.0547064,0.193592,0.04539,0.0932809,0.334004,0.33747,0.0645493,1.2,1.15099,0.0671598,0.0671606,0.038983,0.0389848,0.0388931,0.0388949,1.2,1.2
21,train,1,1,True,True,0.111802,0.0958408,0.0159613,0.126448,0.145455,0.0160094,0.0126224,0.0958355,0.111798,True,0.0924609,0.111802,0.0958408,0.0159613,True,0.0585526,0.12574,-3.05455e-26,0.185551,0.337159,0.336091,1.2,0.0280821,1.15099,0.0627681,0.0636184,0.0346532,0.0348537,0.0345733,0.0347734,1.2,1.2
22,train,2,1,True,True,0.107352,0.102681,0.00467097,0.135913,0.140365,0.019222,0.00745361,0.102675,0.107346,True,0.086542775,0.107352,0.102681,0.00467097,True,0.099134,0.0635454,0.146679,0.0368127,0.336088,0.336952,1.2,0.174544,1.15099,0.0702528,0.0702536,0.0423122,0.0424029,0.0422147,0.0423052,1.2,1.2
23,train,3,0,True,True,0.106532,0.0993492,0.00718251,0.139981,0.127528,0.0131946,0.0106917,0.106527,0.0993437,True,0.106650575,0.106532,0.0993492,0.00718251,True,0.184299,0.0560774,0.0927966,0.0934293,0.335874,0.337515,0.0832018,1.2,1.15099,0.0661688,0.0670216,0.0385676,0.0387875,0.0384787,0.0386981,1.2,1.2
24,train,0,0,True,True,0.112976,0.0935629,0.0194136,0.146841,0.123842,0.0193259,0.00988557,0.112977,0.0935577,True,0.0957461,0.112976,0.0935629,0.0194136,True,0.05366,0.193242,0.0443281,0.0917543,0.333647,0.337456,0.0010775,1.2,1.15099,0.061408,0.0614088,0.0323077,0.0323093,0.0322332,0.0322348,1.2,1.2
25,train,1,1,True,True,0.106849,0.0894121,0.0174366,0.120479,0.140391,0.0164231,0.0132595,0.0894072,0.106845,True,0.09187044999999999,0.106849,0.0894121,0.0174366,True,0.0574748,0.124776,-2.97727e-26,0.185231,0.337173,0.336013,1.2,5.38585e-05,1.15099,0.0565358,0.057383,0.0276768,0.0278431,0.027613,0.0277789,0.0459856,1.19369
26,train,2,1,True,True,0.110401,0.0972909,0.0131102,0.130421,0.144086,0.0196666,0.0096337,0.0972861,0.110398,True,0.0855194,0.110401,0.0972909,0.0131102,True,0.0984481,0.0622788,0.145755,0.0355957,0.336044,0.336201,1.2,0.0477118,1.15099,0.0650247,0.0650255,0.0362237,0.0363017,0.0361402,0.036218,1.2,1.2
27,train,3,0,True,True,0.102299,0.0935586,0.00874072,0.135677,0.123141,0.0127177,0.0132235,0.102296,0.0935535,True,0.10612625,0.102299,0.0935586,0.00874072,True,0.185421,0.0547187,0.0918587,0.0925066,0.334848,0.3365,0.00118672,1.2,1.15099,0.0605555,0.0614047,0.0321052,0.0322933,0.0320312,0.0322188,1.2,1.2
28,train,0,0,True,True,0.108722,0.0894395,0.0192829,0.142474,0.119263,0.0203337,0.011006,0.108723,0.0894345,True,0.09471385,0.108722,0.0894395,0.0192829,True,0.0525936,0.192836,0.0432261,0.0901997,0.333272,0.337434,5.57204e-05,1.2,1.15099,0.0574087,0.0574095,0.0278492,0.0278507,0.027785,0.0277865,0.0459856,1.19369
29,train,1,1,True,True,0.102647,0.0857145,0.0169325,0.115529,0.136077,0.0167628,0.0138949,0.0857097,0.102644,True,0.0912694,0.102647,0.0857145,0.0169325,True,0.0563726,0.123805,-2.87761e-26,0.1849,0.337235,0.335924,1.2,-2.35019e-05,1.15099,0.0529535,0.0537967,0.0237704,0.0239135,0.0237156,0.0238583,0.0456177,1.18415
30,train,2,1,True,True,0.107469,0.0926714,0.014798,0.125634,0.141065,0.0199866,0.0139673,0.0926665,0.107467,True,0.0844611,0.107469,0.0926714,0.014798,True,0.097689,0.060986,0.144798,0.0343714,0.336201,0.335776,1.2,0.000697084,1.15099,0.0605436,0.0605444,0.0311776,0.0312464,0.0311057,0.0311743,1.09036,1.2
31,train,3,0,True,True,0.0986794,0.0888905,0.00978887,0.131982,0.118186,0.0119049,0.0142099,0.0986765,0.0888856,True,0.10556407500000001,0.0986794,0.0888905,0.00978887,True,0.18645,0.0533568,0.0908762,0.0915733,0.335867,0.33738,1.43521e-05,1.2,1.15099,0.056031,0.0568771,0.0271009,0.0272624,0.0270385,0.0271996,0.0459854,1.19369
32,train,0,0,True,True,0.105043,0.0854275,0.0196151,0.138698,0.115105,0.0459409,0.0141648,0.105044,0.0854228,True,0.09364477500000001,0.105043,0.0854275,0.0196151,True,0.0515057,0.192366,0.0420859,0.0886215,0.209775,0.337024,-1.7584e-05,1.2,1.15099,0.0535176,0.0535184,0.0235914,0.0235927,0.023537,0.0235383,0.0456175,1.18415
33,train,1,1,True,True,0.0990252,0.0817071,0.0173181,0.111192,0.132368,0.0170539,0.0145416,0.0817026,0.099023,True,0.09065970000000001,0.0990252,0.0817071,0.0173181,True,0.0552438,0.122825,-2.79627e-26,0.18457,0.337332,0.335828,1.2,3.03084e-07,1.15099,0.04907,0.0499104,0.0195903,0.019711,0.0195451,0.0196656,0.0379231,1.17468
34,train,2,1,True,True,0.103604,0.0886278,0.0149765,0.121438,0.137084,0.0164491,0.0146347,0.088623,0.103602,True,0.08336805,0.103604,0.0886278,0.0149765,True,0.0968524,0.0596702,0.143808,0.0331416,0.336703,0.335668,1.2,-1.42305e-06,1.15099,0.0566216,0.0566224,0.0268647,0.0269244,0.0268028,0.0268623,0.0285351,1.1653
35,train,3,0,True,True,0.0955691,0.0856845,0.00988458,0.128799,0.11389,0.012287,0.014542,0.0955669,0.0856798,True,0.104963575,0.0955691,0.0856845,0.00988458,True,0.187379,0.0519942,0.0898497,0.0906314,0.335818,0.337451,-2.47564e-05,1.2,1.15099,0.0529244,0.0537677,0.023726,0.0238647,0.0236713,0.0238097,0.0192224,1.15598
36,final_eval,0,0,False,False,0.101855,0.0805498,0.0213049,0.135428,0.111391,0.0222236,0.0116271,0.101857,0.0805453,True,0.09254595000000002,0.101855,0.0805498,0.0213049,True,0.0503947,0.191836,0.0409337,0.0870194,0.332504,0.337501,1.1509,1.19692,,,,,,,,,
37,final_eval,1,1,False,False,0.0969431,0.077209,0.0197342,0.107863,0.130247,0.0172609,0.0150228,0.0772047,0.0969416,True,0.090200625,0.0969431,0.077209,0.0197342,True,0.0543775,0.122086,-2.72457e-26,0.184339,0.337395,0.335715,1.14156,1.18677,,,,,,,,,
38,final_eval,2,1,False,False,0.101843,0.086527,0.0153159,0.119256,0.13527,0.0165821,0.0149738,0.0865222,0.101841,True,0.082803325,0.101843,0.086527,0.0153159,True,0.0964194,0.0590003,0.14328,0.0325136,0.336703,0.335576,1.13971,1.17671,,,,,,,,,
39,final_eval,3,0,False,False,0.0953515,0.0832671,0.0120844,0.128585,0.112363,0.0123649,0.0146389,0.0953495,0.0832625,True,0.104812975,0.0953515,0.0832671,0.0120844,True,0.187641,0.0516437,0.089575,0.0903922,0.335753,0.337447,1.13969,1.16692,,,,,,,,,
