cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2000ps,other_out_2000ps,margin_2000ps,correct_2000ps,target_out_2500ps,other_out_2500ps,margin_2500ps,correct_2500ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3500ps,other_out_3500ps,margin_3500ps,correct_3500ps,target_out_4050ps,other_out_4050ps,margin_4050ps,correct_4050ps,target_out_4500ps,other_out_4500ps,margin_4500ps,correct_4500ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10
10,initial_eval,10,1,False,False,0.117352,0.112341,0.00501162,0.0973199,0.0996741,0.00617322,0.00609852,0.112329,0.11734,True,0.254876875,0.117352,0.112341,0.00501162,True,0.117349,0.112338,0.0050115,True,0.117347,0.112335,0.00501138,True,0.117343,0.112332,0.00501125,True,0.11734,0.112329,0.00501111,True,0.117337,0.112326,0.00501099,True,0.266605,0.262003,0.216323,0.287395,0.241482,0.236599,0.266605,0.262003,0.33747,0.337439,1.1397,1.13969
11,initial_eval,11,1,False,False,0.117351,0.112339,0.00501162,0.0973189,0.0996732,0.00617342,0.00609872,0.112328,0.117339,True,0.254874875,0.117351,0.112339,0.00501162,True,0.117348,0.112337,0.0050115,True,0.117345,0.112334,0.00501139,True,0.117342,0.112331,0.00501125,True,0.117339,0.112328,0.00501111,True,0.117336,0.112325,0.005011,True,0.266603,0.262001,0.216321,0.287393,0.24148,0.236597,0.266603,0.262001,0.33747,0.337439,1.13973,1.13972
12,train,0,0,True,True,0.155375,0.162675,-0.0072991,0.190616,0.198149,0.00659813,0.00632928,0.155487,0.162799,False,0.0364280625,0.155375,0.162675,-0.0072991,False,0.155455,0.162762,-0.00730733,False,0.155492,0.162804,-0.00731179,False,0.155491,0.162803,-0.00731199,False,0.155487,0.162799,-0.00731179,False,0.155484,0.162795,-0.00731162,False,0.0287916,0.0795511,-1.93214e-25,0.0832868,-2.26045e-25,0.043036,0.0249576,0.0318014,0.33612,0.336109,0.560944,1.19999
13,train,1,0,True,True,0.136027,0.135566,0.000461391,0.163205,0.164024,0.00837785,0.00836497,0.136013,0.135552,True,0.06563060250000001,0.136027,0.135566,0.000461391,True,0.136024,0.135563,0.00046138,True,0.136021,0.13556,0.000461369,True,0.136017,0.135556,0.000461357,True,0.136013,0.135552,0.000461344,True,0.13601,0.135549,0.000461333,True,0.0919397,0.0922172,0.00309312,0.156876,0.0160124,0.0824061,0.0459456,0.0365547,0.338445,0.338424,1.19999,0.719201
14,train,2,0,True,True,0.124482,0.118876,0.00560561,0.0893907,0.0880196,0.0146684,0.0146955,0.124469,0.118864,True,0.1532285,0.124482,0.118876,0.00560561,True,0.124479,0.118873,0.00560547,True,0.124476,0.118871,0.00560534,True,0.124472,0.118867,0.00560519,True,0.124469,0.118864,0.00560503,True,0.124466,0.118861,0.00560491,True,0.197931,0.143011,0.142831,0.169309,0.1209,0.140969,0.151471,0.159406,0.342961,0.343115,0.19866,1.2
15,train,3,0,True,True,0.157406,0.146884,0.0105219,0.192474,0.181697,-0.00129149,-0.000946057,0.157417,0.146911,True,0.0498798625,0.157406,0.146884,0.0105219,True,0.157422,0.14691,0.0105119,True,0.157425,0.146918,0.0105066,True,0.157421,0.146915,0.0105059,True,0.157417,0.146911,0.0105056,True,0.157413,0.146908,0.0105054,True,0.0415954,0.0709972,0.0432802,0.0675263,0.0193443,0.0604693,0.0456825,0.0501437,0.336007,0.336131,1.2,0.46899
16,train,4,0,True,True,0.150624,0.133195,0.0174291,0.183711,0.165979,0.000903188,0.00150546,0.150609,0.133182,True,0.0634129875,0.150624,0.133195,0.0174291,True,0.150621,0.133192,0.0174287,True,0.150617,0.133189,0.0174283,True,0.150613,0.133185,0.0174278,True,0.150609,0.133182,0.0174273,True,0.150606,0.133179,0.0174269,True,0.073303,0.0464709,0.0976057,0.0363685,0.0480516,0.0550499,0.0789918,0.0714625,0.337038,0.337341,0.169258,1.2
17,train,5,0,True,True,0.154923,0.132044,0.0228787,0.189095,0.165742,-0.00183815,-0.000968246,0.154907,0.13203,True,0.058199724999999994,0.154923,0.132044,0.0228787,True,0.154919,0.132041,0.0228781,True,0.154915,0.132038,0.0228776,True,0.154911,0.132034,0.022877,True,0.154907,0.13203,0.0228763,True,0.154903,0.132027,0.0228758,True,0.0698142,0.066438,0.0696997,0.0315458,0.0344146,0.0509728,0.0674968,0.0752159,0.336455,0.33674,0.162391,1.2
18,train,6,1,True,True,0.0942232,0.114714,-0.0204911,0.0992203,0.0905056,0.00606486,0.00667942,0.114702,0.0942135,False,0.2541169999999999,0.0942232,0.114714,-0.0204911,False,0.0942208,0.114711,-0.0204906,False,0.0942187,0.114709,-0.0204901,False,0.0942161,0.114706,-0.0204896,False,0.0942135,0.114702,-0.020489,False,0.0942113,0.1147,-0.0204886,False,0.265955,0.261131,0.215676,0.28652,0.240827,0.235741,0.265955,0.261131,0.33734,0.337748,0.0113576,1.2
19,train,7,1,True,True,0.0936493,0.112679,-0.0190295,0.0906743,0.0988397,0.00790844,0.00615524,0.112667,0.0936397,False,0.25399312500000004,0.0936493,0.112679,-0.0190295,False,0.0936469,0.112676,-0.019029,False,0.0936448,0.112673,-0.0190286,False,0.0936422,0.11267,-0.0190281,False,0.0936397,0.112667,-0.0190275,False,0.0936375,0.112665,-0.0190271,False,0.265849,0.260989,0.21557,0.286377,0.24072,0.235602,0.265849,0.260989,0.338228,0.337142,0.00113441,1.2
20,train,8,1,True,True,0.116897,0.135271,-0.0183739,0.154879,0.148018,0.00396163,0.0101032,0.135257,0.116885,False,0.0851031,0.116897,0.135271,-0.0183739,False,0.116895,0.135268,-0.0183734,False,0.116892,0.135265,-0.018373,False,0.116889,0.135261,-0.0183725,False,0.116885,0.135257,-0.018372,False,0.116883,0.135254,-0.0183716,False,0.0857393,0.117906,0.0908034,0.0519424,0.0650386,0.0585991,0.115761,0.095035,0.340553,0.338385,0.160422,1.2
21,train,9,1,True,True,0.105922,0.102419,0.00350222,0.0560644,0.140297,0.0116024,0.00440798,0.102409,0.10652,True,0.253741875,0.105922,0.102419,0.00350222,True,0.106307,0.102417,0.00389048,True,0.106507,0.102414,0.00409259,True,0.106523,0.102412,0.00411098,True,0.10652,0.102409,0.00411087,True,0.106517,0.102407,0.00411077,True,0.265633,0.260702,0.215355,0.286088,0.240503,0.23532,0.265633,0.260701,0.375448,0.335267,1.2,0.177385
22,train,10,1,True,True,0.152276,0.103112,0.0491644,0.0496284,0.188021,-0.00159413,0.089506,0.103101,0.152879,True,0.253607875,0.152276,0.103112,0.0491644,True,0.152667,0.103109,0.0495574,True,0.152867,0.103107,0.0497604,True,0.152884,0.103104,0.0497794,True,0.152879,0.103101,0.049778,True,0.152876,0.103099,0.0497769,True,0.265515,0.26055,0.215241,0.285935,0.240386,0.235171,0.265515,0.26055,0.724558,0.00609818,1.2,0.0926032
23,train,11,1,True,True,0.152526,0.102569,0.0499572,0.048734,0.188269,-0.00196664,0.0987245,0.102559,0.153121,True,0.2534875,0.152526,0.102569,0.0499572,True,0.152911,0.102567,0.0503447,True,0.15311,0.102564,0.0505453,True,0.153126,0.102561,0.0505641,True,0.153121,0.102559,0.0505627,True,0.153118,0.102556,0.0505615,True,0.265413,0.260412,0.215138,0.285796,0.240282,0.235035,0.265413,0.260411,0.76552,0.00521109,1.2,0.0823522
24,train,0,0,True,True,0.13944,0.13731,0.00212961,0.174184,0.17236,0.00401082,0.0351364,0.139535,0.137659,True,0.0358625625,0.13944,0.13731,0.00212961,True,0.139508,0.137538,0.00196963,True,0.139539,0.137656,0.00188381,True,0.139538,0.137663,0.00187573,True,0.139535,0.137659,0.00187568,True,0.139531,0.137656,0.00187563,True,0.0276057,0.0798586,-1.91879e-25,0.0826943,-2.24581e-25,0.0417283,0.0244652,0.0305484,0.336032,0.316777,1.19999,0.635268
25,train,1,0,True,True,0.121634,0.132499,-0.0108649,0.146524,0.167405,-0.00396402,0.0370535,0.121621,0.132846,False,0.06409319625,0.121634,0.132499,-0.0108649,False,0.121631,0.132725,-0.0110946,False,0.121628,0.132842,-0.0112144,False,0.121624,0.13285,-0.0112251,False,0.121621,0.132846,-0.0112248,False,0.121618,0.132843,-0.0112246,False,0.0897648,0.0911981,0.00141257,0.157194,0.0144496,0.0798698,0.0445753,0.0342814,0.338774,0.305516,1.2,0.177827
26,train,2,0,True,True,0.109429,0.127937,-0.0185075,0.0713044,0.16271,-0.0030264,0.0426125,0.109418,0.128285,False,0.1505495,0.109429,0.127937,-0.0185075,False,0.109426,0.128164,-0.0187373,False,0.109424,0.128281,-0.018857,False,0.109421,0.128288,-0.0188676,False,0.109418,0.128285,-0.0188671,False,0.109415,0.128282,-0.0188666,False,0.196649,0.139652,0.141242,0.165672,0.117342,0.138733,0.14823,0.156876,0.355412,0.253425,1.2,0.149732
27,train,3,0,True,True,0.142534,0.123797,0.0187367,0.177114,0.158449,-0.00157771,0.0369625,0.142533,0.124145,True,0.0488299625,0.142534,0.123797,0.0187367,True,0.142542,0.124024,0.0185178,True,0.142541,0.124141,0.0183994,True,0.142537,0.124149,0.0183879,True,0.142533,0.124145,0.0183874,True,0.14253,0.124143,0.018387,True,0.0409817,0.0704086,0.0423971,0.0660204,0.0183155,0.0585982,0.0450823,0.0488359,0.33587,0.306252,0.165095,1.2
28,train,4,0,True,True,0.135127,0.120016,0.0151111,0.167543,0.154556,-0.00666696,0.0376255,0.135113,0.120364,True,0.062230099999999997,0.135127,0.120016,0.0151111,True,0.135123,0.120242,0.014881,True,0.13512,0.12036,0.0147607,True,0.135117,0.120367,0.0147492,True,0.135113,0.120364,0.0147488,True,0.13511,0.120361,0.0147484,True,0.0732141,0.0441306,0.0966088,0.0347854,0.0466558,0.053861,0.0780068,0.0705783,0.336803,0.301663,0.169602,1.2
29,train,5,0,True,True,0.139558,0.11654,0.0230179,0.173178,0.150978,-0.00620884,0.0379956,0.139544,0.116889,True,0.0569665125,0.139558,0.11654,0.0230179,True,0.139555,0.116767,0.0227877,True,0.139552,0.116884,0.0226674,True,0.139548,0.116892,0.0226556,True,0.139544,0.116889,0.0226549,True,0.139541,0.116886,0.0226544,True,0.0690116,0.0646815,0.0684911,0.0305836,0.0326921,0.0498998,0.0660446,0.0743278,0.33626,0.298934,0.154215,1.2
30,train,6,1,True,True,0.132904,0.102893,0.0300107,0.0513253,0.168087,-0.0021926,0.0904256,0.102883,0.13352,True,0.252572,0.132904,0.102893,0.0300107,True,0.133296,0.102891,0.0304056,True,0.133498,0.102888,0.0306101,True,0.133524,0.102885,0.0306383,True,0.13352,0.102883,0.0306375,True,0.133517,0.10288,0.0306368,True,0.264616,0.259371,0.214354,0.284747,0.239485,0.234016,0.264616,0.259371,0.64172,0.00599562,1.2,0.10669
31,train,7,1,True,True,0.132363,0.102252,0.0301113,0.0506347,0.167533,-0.00217668,0.0906613,0.102242,0.132983,True,0.25243787500000003,0.132363,0.102252,0.0301113,True,0.132757,0.10225,0.0305075,True,0.13296,0.102247,0.0307127,True,0.132986,0.102244,0.0307419,True,0.132983,0.102242,0.0307411,True,0.13298,0.102239,0.0307404,True,0.264498,0.259219,0.214239,0.284593,0.239368,0.233868,0.264499,0.259219,0.676061,0.00596992,1.2,0.0926555
32,train,8,1,True,True,0.112197,0.121224,-0.00902635,0.139684,0.146505,-0.00654877,0.0393181,0.121211,0.112546,False,0.08364995,0.112197,0.121224,-0.00902635,False,0.112424,0.121221,-0.00879685,False,0.112541,0.121218,-0.00867701,False,0.112549,0.121215,-0.00866557,False,0.112546,0.121211,-0.00866533,False,0.112543,0.121208,-0.00866513,False,0.0848831,0.115092,0.0901107,0.0498086,0.063232,0.0572676,0.114375,0.0944306,0.340205,0.288074,0.180592,1.2
33,train,9,1,True,True,0.132492,0.0894114,0.0430806,0.0484023,0.167666,-0.00209926,0.0911751,0.0894022,0.13311,True,0.252168,0.132492,0.0894114,0.0430806,True,0.132886,0.0894091,0.0434773,True,0.13309,0.0894071,0.0436825,True,0.133114,0.0894046,0.0437089,True,0.13311,0.0894022,0.0437077,True,0.133107,0.0894002,0.0437067,True,0.264261,0.258914,0.214008,0.284284,0.239132,0.233569,0.264262,0.258914,0.77995,0.00591468,1.2,4.8848e-05
34,train,10,1,True,True,0.132337,0.0963257,0.0360117,0.0477308,0.167508,-0.00207093,0.0913345,0.0963158,0.132956,True,0.252031625,0.132337,0.0963257,0.0360117,True,0.132732,0.0963233,0.0364092,True,0.132936,0.0963211,0.0366149,True,0.13296,0.0963184,0.0366412,True,0.132956,0.0963158,0.0366401,True,0.132953,0.0963136,0.0366393,True,0.264141,0.25876,0.213891,0.284128,0.239013,0.233418,0.264142,0.25876,0.809021,0.00589777,1.2,0.0227202
35,train,11,1,True,True,0.132219,0.0957228,0.0364961,0.0470507,0.167387,-0.00203935,0.0915107,0.095713,0.132838,True,0.25189425,0.132219,0.0957228,0.0364961,True,0.132615,0.0957204,0.0368942,True,0.132818,0.0957182,0.0371002,True,0.132842,0.0957156,0.0371261,True,0.132838,0.095713,0.0371251,True,0.132835,0.0957108,0.0371242,True,0.26402,0.258605,0.213773,0.283971,0.238892,0.233267,0.264021,0.258605,0.837431,0.00587919,1.2,0.0174943
36,train,0,0,True,True,0.128052,0.111709,0.0163427,0.162437,0.146002,0.00621425,0.0406308,0.128135,0.112057,True,0.03521537499999999,0.128052,0.111709,0.0163427,True,0.128112,0.111935,0.0161766,True,0.12814,0.112052,0.0160875,True,0.128139,0.11206,0.0160785,True,0.128135,0.112057,0.0160781,True,0.128133,0.112055,0.0160777,True,0.0263094,0.0800708,-1.91398e-25,0.0820305,-2.24097e-25,0.0403308,0.0237901,0.0291914,0.335899,0.275649,0.159239,1.2
37,train,1,0,True,True,0.111464,0.109223,0.00224074,0.138433,0.143441,0.00259455,0.0393711,0.111452,0.10957,True,0.0625382819875,0.111464,0.109223,0.00224074,True,0.111461,0.109449,0.00201253,True,0.111459,0.109565,0.00189332,True,0.111456,0.109573,0.00188212,True,0.111452,0.10957,0.00188207,True,0.11145,0.109568,0.00188203,True,0.0874393,0.090137,6.41559e-05,0.157378,0.0128702,0.077265,0.0431376,0.032015,0.33958,0.28816,0.247187,1.2
38,train,2,0,True,True,0.0992204,0.106487,-0.0072662,0.0699766,0.140624,0.00065495,0.0513618,0.0992102,0.106835,False,0.14777137499999998,0.0992204,0.106487,-0.0072662,False,0.0992179,0.106713,-0.00749482,False,0.0992157,0.10683,-0.00761404,False,0.0992129,0.106838,-0.00762502,False,0.0992102,0.106835,-0.00762481,False,0.0992079,0.106833,-0.00762464,False,0.195125,0.136338,0.13935,0.161899,0.113632,0.136585,0.144851,0.154391,0.359678,0.116981,1.2,0.0797969
39,train,3,0,True,True,0.130877,0.103928,0.0269491,0.165252,0.137989,0.00364939,0.0420784,0.130916,0.104276,True,0.047722574999999996,0.130877,0.103928,0.0269491,True,0.13091,0.104154,0.0267566,True,0.130922,0.104271,0.0266514,True,0.13092,0.104279,0.0266405,True,0.130916,0.104276,0.0266398,True,0.130913,0.104274,0.0266392,True,0.0402904,0.0697241,0.0414572,0.0644221,0.0172888,0.0566573,0.0444712,0.0474695,0.335677,0.260211,0.123543,1.2
40,train,4,0,True,True,0.123274,0.101525,0.0217494,0.156014,0.135514,-0.00307809,0.0425202,0.123262,0.101873,True,0.06095902499999999,0.123274,0.101525,0.0217494,True,0.123271,0.101751,0.0215205,True,0.123268,0.101868,0.0214008,True,0.123265,0.101876,0.021389,True,0.123262,0.101873,0.0213884,True,0.123259,0.101871,0.0213879,True,0.0729416,0.0417592,0.0954694,0.0329363,0.0452676,0.0527458,0.0769773,0.069575,0.336409,0.255118,0.0983239,1.2
41,train,5,0,True,True,0.127627,0.0992601,0.0283668,0.161309,0.133181,-0.00230748,0.0429011,0.127614,0.0996084,True,0.0556431,0.127627,0.0992601,0.0283668,True,0.127624,0.0994858,0.0281379,True,0.127621,0.0996027,0.0280182,True,0.127617,0.0996112,0.0280062,True,0.127614,0.0996084,0.0280054,True,0.127611,0.0996062,0.0280048,True,0.0681632,0.0627992,0.0671439,0.0293918,0.0309745,0.0488172,0.0645359,0.0733191,0.33596,0.250585,0.0577732,1.2
42,train,6,1,True,True,0.123682,0.0931648,0.0305177,0.0520584,0.158612,-0.00191633,0.0923892,0.0931552,0.124349,True,0.250914625,0.123682,0.0931648,0.0305177,True,0.124087,0.0931625,0.0309241,True,0.124295,0.0931604,0.0311342,True,0.124352,0.0931578,0.0311946,True,0.124349,0.0931552,0.0311938,True,0.124346,0.0931531,0.0311931,True,0.263153,0.257502,0.21293,0.282853,0.238031,0.232192,0.263153,0.257503,0.60276,0.00578835,1.2,0.000800438
43,train,7,1,True,True,0.1232,0.0938163,0.0293834,0.0515348,0.158116,-0.00187873,0.0925505,0.0938066,0.123869,True,0.250771375,0.1232,0.0938163,0.0293834,True,0.123605,0.0938139,0.0297908,True,0.123813,0.0938118,0.0300015,True,0.123873,0.0938092,0.0300634,True,0.123869,0.0938066,0.0300626,True,0.123866,0.0938045,0.0300619,True,0.263025,0.257341,0.212807,0.28269,0.237905,0.232035,0.263026,0.257342,0.629763,0.00577199,1.2,0.00115207
44,train,8,1,True,True,0.0960032,0.111084,-0.0150805,0.129609,0.129824,-0.00538631,0.0436859,0.111072,0.09635,False,0.0820912375,0.0960032,0.111084,-0.0150805,False,0.0962277,0.111081,-0.0148532,False,0.096344,0.111078,-0.0147344,False,0.0963526,0.111075,-0.0147227,False,0.09635,0.111072,-0.0147223,False,0.0963478,0.11107,-0.014722,False,0.0840604,0.112056,0.0893084,0.0476351,0.0612843,0.0559203,0.112754,0.0937114,0.339259,0.240814,0.0369976,1.2
45,train,9,1,True,True,0.123214,0.081206,0.0420084,0.0495971,0.158132,-0.00174521,0.0929922,0.0811976,0.123879,True,0.250483625,0.123214,0.081206,0.0420084,True,0.12362,0.0812039,0.0424159,True,0.123829,0.0812021,0.0426266,True,0.123882,0.0811999,0.0426826,True,0.123879,0.0811976,0.0426814,True,0.123876,0.0811958,0.0426805,True,0.262769,0.257019,0.212559,0.282362,0.237651,0.231721,0.262769,0.257019,0.724581,0.00572768,1.2,3.02583e-07
46,train,10,1,True,True,0.123049,0.0896418,0.0334071,0.0489735,0.157961,-0.00169364,0.09312,0.0896326,0.123712,True,0.250339,0.123049,0.0896418,0.0334071,True,0.123454,0.0896395,0.0338145,True,0.123663,0.0896375,0.0340252,True,0.123716,0.089635,0.0340805,True,0.123712,0.0896326,0.0340795,True,0.123709,0.0896305,0.0340788,True,0.26264,0.256857,0.212434,0.282198,0.237523,0.231563,0.26264,0.256857,0.753357,0.005715,1.2,6.91758e-05
47,train,11,1,True,True,0.122872,0.0884089,0.0344631,0.0484211,0.157781,-0.00164621,0.0932445,0.0883998,0.123536,True,0.2501915,0.122872,0.0884089,0.0344631,True,0.123279,0.0884067,0.0348719,True,0.123488,0.0884047,0.0350831,True,0.12354,0.0884022,0.0351376,True,0.123536,0.0883998,0.0351366,True,0.123534,0.0883978,0.0351358,True,0.262507,0.256692,0.212307,0.28203,0.237392,0.231403,0.262508,0.256693,0.778092,0.00570269,1.2,-8.82733e-06
48,train,0,0,True,True,0.12044,0.0951878,0.0252524,0.154774,0.128984,0.0142025,0.0447391,0.120623,0.0955345,True,0.0344854875,0.12044,0.0951878,0.0252524,True,0.120562,0.0954122,0.0251501,True,0.120624,0.0955286,0.0250957,True,0.120627,0.0955371,0.0250896,True,0.120623,0.0955345,0.0250889,True,0.120621,0.0955323,0.0250884,True,0.0249189,0.0801298,-1.88358e-25,0.0812953,-2.20645e-25,0.0388192,0.022945,0.0277757,0.334886,0.226775,0.019754,1.2
49,train,1,0,True,True,0.114566,0.0938001,0.0207657,0.148342,0.127554,0.00392371,0.0447907,0.114574,0.0941469,True,0.061088187499999995,0.114566,0.0938001,0.0207657,True,0.114578,0.0940246,0.0205532,True,0.11458,0.0941409,0.0204388,True,0.114577,0.0941495,0.0204273,True,0.114574,0.0941469,0.0204268,True,0.114571,0.0941448,0.0204263,True,0.0849564,0.0890262,9.29465e-72,0.157433,0.0112482,0.0745791,0.0417186,0.029744,0.335996,0.226082,0.0109355,1.2
50,train,2,0,True,True,0.0928552,0.09194,0.000915224,0.0733603,0.12564,-0.00154883,0.0457586,0.0928456,0.092288,True,0.144891625,0.0928552,0.09194,0.000915224,True,0.0928528,0.0921652,0.000687636,True,0.0928508,0.0922819,0.000568866,True,0.0928482,0.0922906,0.000557607,True,0.0928456,0.092288,0.000557592,True,0.0928435,0.092286,0.000557579,True,0.193361,0.132915,0.137145,0.157988,0.109766,0.134614,0.141331,0.152013,0.350159,0.212187,0.000653324,1.2
51,train,3,0,True,True,0.120859,0.0902069,0.0306523,0.154991,0.123854,0.0108036,0.0445639,0.120919,0.0905548,True,0.046556324999999996,0.120859,0.0902069,0.0306523,True,0.120906,0.0904319,0.0304737,True,0.120924,0.0905485,0.0303758,True,0.120923,0.0905573,0.0303654,True,0.120919,0.0905548,0.0303645,True,0.120917,0.0905527,0.0303639,True,0.0395458,0.0689225,0.0404356,0.0627191,0.0162639,0.054636,0.0438863,0.0460414,0.335225,0.229263,0.000173062,1.2
52,train,4,0,True,True,0.111925,0.088609,0.0233156,0.144134,0.122208,-0.00135628,0.0443884,0.111913,0.0889571,True,0.0595997125,0.111925,0.088609,0.0233156,True,0.111922,0.0888341,0.0230877,True,0.111919,0.0889507,0.0229686,True,0.111916,0.0889596,0.0229566,True,0.111913,0.0889571,0.022956,True,0.111911,0.0889551,0.0229555,True,0.0724817,0.0393414,0.0941788,0.030932,0.0438902,0.051618,0.0759048,0.0684508,0.336298,0.231678,1.9197e-05,1.2
