cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,act18,act19,act20,act21,act22,act23,act24,act25,act26,act27,act28,act29,act30,act31,lose0,lose1,lead01,lead10,bwd_signal
10,initial_eval,10,0,False,False,0.0907813,0.0920957,-0.00131435,0.124096,0.12545,-0.00112051,-0.00104099,0.0907876,0.0921018,False,0.343722209375,0.0907813,0.0920957,-0.00131435,False,0.460057,0.36972,0.432466,0.52793,0.470935,0.51121,0.53356,0.448583,0.218795,0.357123,0.489873,0.360305,0.460981,0.619718,0.193532,0.347556,0.395839,0.34323,0.46856,0.198825,0.350369,0.157369,0.180249,0.170386,0.29802,0.0981267,0.354282,0.494897,0.108629,0.176049,0.271289,0.130647,0.336076,0.33609,1.13993,1.13993,
11,initial_eval,11,0,False,False,0.114077,0.115965,-0.00188875,0.148089,0.150035,-0.00300862,-0.00301307,0.114082,0.11597,False,0.4434840625,0.114077,0.115965,-0.00188875,False,0.521068,0.418723,0.488581,0.608506,0.533692,0.598134,0.721021,0.598606,0.267423,0.266263,0.555128,0.59705,0.657362,0.770215,0.14393,0.172222,0.464333,0.403158,0.649156,0.453406,0.456862,0.111254,0.339422,0.100237,0.326429,0.397693,0.507431,0.737611,0.338074,0.271087,0.461679,0.255734,0.335816,0.335814,1.13951,1.1395,
12,initial_eval,12,0,False,False,0.124508,0.124158,0.000349824,0.158838,0.158474,-0.00286776,-0.00285126,0.124513,0.124163,True,0.46577337187499995,0.124508,0.124158,0.000349824,True,0.685667,0.646988,0.616585,0.599858,0.697358,0.770215,0.770216,0.733999,0.492699,0.370903,0.44668,0.189541,0.232945,0.568543,0.280194,0.418,0.617329,0.181462,0.695972,0.132339,0.182555,0.410314,0.441598,0.393707,0.462864,0.0908699,0.435267,0.411455,0.645064,0.352551,0.770217,0.160793,0.335847,0.335847,1.13961,1.13963,
13,initial_eval,13,0,False,False,0.113547,0.112276,0.00127112,0.147544,0.146236,-0.00311257,-0.00308106,0.113552,0.112281,True,0.44275832500000006,0.113547,0.112276,0.00127112,True,0.599362,0.50374,0.580641,0.650401,0.614227,0.657414,0.66661,0.450742,0.417276,0.388318,0.578172,0.283159,0.0814724,0.184849,0.232374,0.468444,0.550714,0.477008,0.462373,0.512687,0.495342,0.217742,0.418747,0.300323,0.419554,0.413218,0.255757,0.770215,0.314162,0.19032,0.762551,0.250352,0.335825,0.33583,1.13983,1.13984,
14,initial_eval,14,0,False,False,0.129066,0.129582,-0.000515143,0.163524,0.164057,-0.00421128,-0.00420942,0.129071,0.129586,False,0.5229199906249999,0.129066,0.129582,-0.000515143,False,0.423736,0.592923,0.632225,0.63737,0.433574,0.534574,0.622723,0.770214,0.52722,0.407247,0.722167,0.12475,0.0864417,0.770214,0.507004,0.676222,0.546871,0.376162,0.770213,0.556386,0.705625,0.479979,0.728994,0.587968,0.432986,0.516842,0.69072,0.675988,0.230543,0.351081,0.309751,0.304726,0.335687,0.335686,1.13955,1.13953,
15,initial_eval,15,0,False,False,0.121542,0.121703,-0.000160596,0.155779,0.155948,-0.00287186,-0.00287188,0.121547,0.121708,False,0.48831778125,0.121542,0.121703,-0.000160596,False,0.618181,0.572318,0.6045,0.673188,0.633585,0.596683,0.707517,0.770215,0.476466,0.538843,0.689927,0.285447,0.341166,0.770216,0.498408,0.749554,0.590287,0.244393,0.770215,0.298306,0.250263,0.299201,0.262357,0.345688,0.495225,0.36531,0.737473,0.378855,0.213742,0.22478,0.442526,0.181334,0.335871,0.33587,1.13978,1.13978,
16,initial_eval,16,0,False,False,0.0765045,0.0769317,-0.000427185,0.109384,0.109824,0.000124265,0.000118879,0.0765115,0.0769386,False,0.30233273437499997,0.0765045,0.0769317,-0.000427185,False,0.22759,0.408197,0.427667,0.31717,0.231814,0.27518,0.484113,0.449003,0.245803,0.0915089,0.484293,0.170141,0.213436,0.41542,0.259818,0.299556,0.295627,0.370773,0.284352,0.315015,0.21828,0.459173,0.351915,0.486326,0.218155,0.167402,0.407356,0.1094,0.0866546,0.39984,0.155929,0.34774,0.336365,0.33636,1.13993,1.13993,
17,initial_eval,17,0,False,False,0.13833,0.13753,0.000800043,0.173062,0.172237,-0.00438213,-0.00439867,0.138334,0.137534,True,0.5592091875,0.13833,0.13753,0.000800043,True,0.640951,0.717267,0.770214,0.685167,0.640639,0.770214,0.770213,0.08,0.556142,0.540357,0.490855,0.266687,0.657914,0.547428,0.42983,0.501111,0.710957,0.425472,0.476198,0.677034,0.770214,0.770214,0.738846,0.489363,0.468177,0.728558,0.140122,0.389749,0.672621,0.553825,0.552724,0.265631,0.335681,0.335678,1.13909,1.13911,
18,initial_eval,18,0,False,False,0.14258,0.140931,0.00164845,0.177445,0.175741,-0.00409383,-0.00413014,0.142584,0.140935,True,0.6067186874999998,0.14258,0.140931,0.00164845,True,0.396961,0.770215,0.770215,0.710292,0.406033,0.499166,0.770213,0.7319,0.760717,0.254451,0.683624,0.504713,0.323129,0.725372,0.658168,0.681111,0.73927,0.680932,0.757461,0.640471,0.698884,0.770215,0.334008,0.770213,0.65519,0.770215,0.770214,0.361542,0.324159,0.770215,0.156311,0.569418,0.335732,0.335725,1.13962,1.13963,
19,initial_eval,19,0,False,False,0.134866,0.136135,-0.00126897,0.169499,0.170805,-0.00279411,-0.0027766,0.13487,0.136139,False,0.5035668125,0.134866,0.136135,-0.00126897,False,0.770215,0.613438,0.73708,0.770215,0.770215,0.673231,0.740481,0.600106,0.679767,0.451011,0.546707,0.766435,0.148282,0.770213,0.672814,0.566444,0.770213,0.10703,0.770214,0.428504,0.203959,0.188936,0.605836,0.0851493,0.659274,0.28839,0.493336,0.264939,0.265644,0.229107,0.383289,0.0936637,0.335897,0.335897,1.13975,1.13972,
20,initial_eval,20,0,False,False,0.12928,0.130194,-0.000914545,0.163743,0.164688,-0.00238717,-0.00237891,0.129284,0.130198,False,0.49459793749999986,0.12928,0.130194,-0.000914545,False,0.75562,0.482195,0.633557,0.770215,0.759041,0.770214,0.770215,0.480662,0.631848,0.479632,0.672567,0.25177,0.155092,0.708045,0.31668,0.144889,0.656422,0.271122,0.676775,0.506086,0.770216,0.130881,0.673783,0.121638,0.502271,0.37195,0.289974,0.494981,0.484812,0.225805,0.690732,0.177444,0.33591,0.335911,1.13974,1.13974,
21,initial_eval,21,0,False,False,0.10998,0.10881,0.00117017,0.143878,0.142665,-0.00148088,-0.00148966,0.109986,0.108815,True,0.3728283124999999,0.10998,0.10881,0.00117017,True,0.618181,0.473595,0.444862,0.551244,0.50333,0.653568,0.588766,0.285308,0.546785,0.333348,0.210717,0.231546,0.14589,0.113203,0.298914,0.459333,0.478899,0.338639,0.18197,0.488443,0.112897,0.13329,0.508992,0.156248,0.412784,0.354276,0.197011,0.541184,0.637067,0.08,0.770216,0.08,0.336049,0.336044,1.1399,1.13992,
22,initial_eval,22,0,False,False,0.106238,0.108741,-0.00250282,0.140022,0.142603,-0.00205667,-0.00209882,0.106244,0.108747,False,0.404772875,0.106238,0.108741,-0.00250282,False,0.572917,0.476237,0.588594,0.770217,0.187003,0.418119,0.13461,0.314509,0.421387,0.332893,0.458976,0.603547,0.472393,0.135124,0.323238,0.770218,0.579874,0.486513,0.158183,0.370185,0.664796,0.255729,0.396014,0.158618,0.427508,0.305542,0.371796,0.679844,0.385138,0.260693,0.11079,0.361527,0.335932,0.33592,1.13978,1.13974,
23,initial_eval,23,0,False,False,0.116134,0.114217,0.00191633,0.150216,0.14824,-0.00210395,-0.00211195,0.116139,0.114222,True,0.43418378124999996,0.116134,0.114217,0.00191633,True,0.770216,0.473998,0.604056,0.755224,0.770217,0.447795,0.586184,0.510943,0.484051,0.464186,0.681764,0.309424,0.368773,0.539772,0.349154,0.191111,0.640824,0.102991,0.666162,0.770217,0.146138,0.211314,0.238842,0.192979,0.423773,0.458359,0.256173,0.391733,0.283745,0.225883,0.450895,0.126985,0.335947,0.335944,1.13963,1.13968,
24,initial_eval,24,0,False,False,0.103046,0.0991728,0.00387317,0.136736,0.132747,-0.000608605,-0.000560026,0.103052,0.0991786,True,0.33018465937499997,0.103046,0.0991728,0.00387317,True,0.516789,0.262486,0.42709,0.516068,0.519245,0.330542,0.429106,0.331418,0.391048,0.292309,0.454688,0.169134,0.152699,0.0811283,0.08,0.770218,0.372047,0.0917682,0.255094,0.759376,0.574159,0.225637,0.085255,0.130609,0.193305,0.150604,0.0827046,0.50539,0.373637,0.178096,0.687235,0.177024,0.336252,0.336264,1.13987,1.13989,
25,initial_eval,25,0,False,False,0.123444,0.125407,-0.00196296,0.157735,0.159758,-0.00392409,-0.00394807,0.123448,0.125411,False,0.49559658125,0.123444,0.125407,-0.00196296,False,0.50609,0.566316,0.698648,0.753646,0.518285,0.643483,0.767482,0.444206,0.345894,0.360454,0.554922,0.273093,0.373374,0.770215,0.652692,0.770214,0.608922,0.388739,0.636046,0.266556,0.770214,0.552081,0.580206,0.44777,0.512942,0.320625,0.600926,0.188758,0.43459,0.362178,0.0849636,0.10456,0.335726,0.33572,1.13952,1.13946,
26,initial_eval,26,0,False,False,0.141855,0.14174,0.000114678,0.176691,0.176575,-0.00372347,-0.00375204,0.141859,0.141744,True,0.5704580375000001,0.141855,0.14174,0.000114678,True,0.436849,0.770214,0.681453,0.713739,0.447063,0.551915,0.725787,0.527732,0.770213,0.21629,0.607984,0.179292,0.11773,0.770215,0.608184,0.731555,0.655079,0.770215,0.668178,0.769595,0.474282,0.757103,0.665837,0.57846,0.568032,0.770215,0.722335,0.582537,0.24905,0.741102,0.0949412,0.331481,0.335771,0.335764,1.13949,1.13951,
27,initial_eval,27,0,False,False,0.139809,0.142739,-0.00293028,0.174593,0.177607,-0.00353932,-0.0035249,0.139813,0.142743,False,0.57627278125,0.139809,0.142739,-0.00293028,False,0.770214,0.770215,0.770215,0.770215,0.770214,0.770214,0.770215,0.460275,0.714359,0.247939,0.767575,0.56319,0.166871,0.770215,0.603472,0.679555,0.770215,0.603749,0.770215,0.418452,0.306635,0.634767,0.359465,0.424148,0.742744,0.770213,0.46357,0.629756,0.278817,0.633405,0.158523,0.111102,0.335791,0.335791,1.13968,1.13965,
28,initial_eval,28,0,False,False,0.0881628,0.0895377,-0.00137488,0.121398,0.122815,-0.000778809,-0.000783687,0.0881691,0.0895439,False,0.32390320312500004,0.0881628,0.0895377,-0.00137488,False,0.52447,0.365733,0.453304,0.600734,0.477595,0.292231,0.401702,0.311811,0.176618,0.145722,0.514105,0.203177,0.317791,0.61053,0.381501,0.504222,0.435398,0.240863,0.376011,0.258272,0.270132,0.0915819,0.46067,0.087747,0.271456,0.425041,0.0810616,0.116556,0.277561,0.160434,0.353496,0.177376,0.336187,0.336184,1.13993,1.13993,
29,initial_eval,29,0,False,False,0.0942784,0.0947968,-0.00051846,0.127699,0.128233,-0.00204656,-0.00208225,0.0942846,0.094803,False,0.3632639218750001,0.0942784,0.0947968,-0.00051846,False,0.531274,0.502889,0.534256,0.557204,0.536966,0.574916,0.485106,0.229424,0.299534,0.158291,0.291731,0.0973875,0.517669,0.355944,0.397229,0.448222,0.495627,0.33564,0.311726,0.270843,0.208625,0.40614,0.253963,0.278854,0.352981,0.457895,0.08,0.428007,0.289333,0.303197,0.444964,0.188608,0.335974,0.335966,1.13972,1.13973,
30,initial_eval,30,0,False,False,0.127679,0.126663,0.0010163,0.162097,0.161047,-0.00216335,-0.00218127,0.127683,0.126667,True,0.466927159375,0.127679,0.126663,0.0010163,True,0.743989,0.637715,0.708511,0.703339,0.735565,0.753624,0.770215,0.105184,0.0955241,0.54172,0.510695,0.293775,0.25135,0.621491,0.608311,0.588889,0.683675,0.385698,0.479481,0.770216,0.128429,0.609739,0.254643,0.277818,0.486417,0.203397,0.199509,0.770216,0.111336,0.345895,0.175719,0.389584,0.335957,0.335952,1.13938,1.1394,
31,initial_eval,31,0,False,False,0.0816771,0.0818454,-0.000168309,0.114715,0.114889,-0.000201131,-0.000190767,0.0816838,0.0818521,False,0.305921428125,0.0816771,0.0818454,-0.000168309,False,0.291619,0.360851,0.342939,0.426903,0.297675,0.359855,0.373106,0.521136,0.08,0.12755,0.385765,0.21123,0.277485,0.56677,0.445494,0.395111,0.296771,0.387394,0.343762,0.573926,0.124769,0.318001,0.11856,0.375332,0.227517,0.149342,0.382886,0.124132,0.381796,0.16564,0.258886,0.0972827,0.336245,0.336245,1.13993,1.13993,
32,initial_eval,32,1,False,False,0.088463,0.0900269,-0.00156395,0.123319,0.121708,-0.000519307,-0.000594362,0.0900331,0.0884692,False,0.312840128125,0.088463,0.0900269,-0.00156395,False,0.0938811,0.456305,0.374484,0.163556,0.0942784,0.0983571,0.130241,0.648914,0.370846,0.50901,0.422448,0.283891,0.331411,0.203546,0.18742,0.389111,0.222315,0.365019,0.361142,0.574206,0.226109,0.346505,0.0842089,0.491954,0.192799,0.26728,0.554573,0.423095,0.199805,0.372002,0.0955886,0.476583,0.336237,0.33622,1.13971,1.13973,
33,initial_eval,33,1,False,False,0.0698017,0.0690481,0.000753593,0.101698,0.102475,0.00391153,0.00392973,0.0690551,0.0698086,True,0.262343790625,0.0698017,0.0690481,0.000753593,True,0.361298,0.0966629,0.122031,0.492813,0.36935,0.255372,0.440624,0.167484,0.152304,0.229162,0.128877,0.170781,0.217669,0.657676,0.236131,0.450889,0.177076,0.196524,0.30891,0.331354,0.277509,0.215976,0.299056,0.326205,0.156775,0.0962734,0.481897,0.116627,0.177789,0.222362,0.161297,0.300247,0.337243,0.337243,1.13993,1.13993,
34,initial_eval,34,1,False,False,0.0792912,0.0794558,-0.000164581,0.112426,0.112256,0.00234447,0.00239826,0.0794624,0.0792977,False,0.24957533750000005,0.0792912,0.0794558,-0.000164581,False,0.0838406,0.400537,0.39741,0.10904,0.0839505,0.085079,0.0939007,0.574262,0.265296,0.334711,0.449108,0.244907,0.139264,0.128355,0.128011,0.224444,0.196248,0.201574,0.268285,0.295213,0.11425,0.407172,0.102181,0.549742,0.126488,0.194129,0.433179,0.281621,0.118332,0.383241,0.089971,0.482669,0.336845,0.336856,1.13971,1.13972,
35,initial_eval,35,1,False,False,0.0926207,0.0919117,0.000709042,0.125261,0.125992,0.000225444,0.00022799,0.0919177,0.0926267,True,0.30026484687499994,0.0926207,0.0919117,0.000709042,True,0.497202,0.08,0.0873754,0.571344,0.509143,0.294626,0.32644,0.145178,0.145499,0.267626,0.0885767,0.0994008,0.110552,0.765986,0.34909,0.505111,0.214784,0.250548,0.305551,0.354147,0.08,0.406628,0.223712,0.540858,0.181435,0.197208,0.547039,0.302073,0.0978592,0.417262,0.129482,0.516739,0.336408,0.336407,1.13967,1.13966,
36,initial_eval,36,1,False,False,0.13419,0.137829,-0.003639,0.172564,0.168809,-0.00189675,-0.00192445,0.137834,0.134194,False,0.5114877812499999,0.13419,0.137829,-0.003639,False,0.16197,0.684524,0.770214,0.221052,0.164316,0.188401,0.356227,0.770215,0.770213,0.770215,0.770215,0.457767,0.634356,0.282848,0.250076,0.484889,0.46179,0.22815,0.763316,0.176763,0.592997,0.693067,0.770215,0.770215,0.39996,0.467027,0.770215,0.670502,0.158672,0.770214,0.166793,0.770215,0.33601,0.336004,1.13924,1.13929,
37,initial_eval,37,1,False,False,0.126378,0.130301,-0.00392275,0.164809,0.160769,0.000952357,0.000921636,0.130306,0.126383,False,0.367252496875,0.126378,0.130301,-0.00392275,False,0.102989,0.509698,0.564957,0.103372,0.103647,0.110402,0.163206,0.65539,0.561671,0.770216,0.574607,0.646924,0.770217,0.120537,0.121834,0.21,0.287517,0.0939384,0.309316,0.125504,0.165061,0.624091,0.146906,0.681102,0.298966,0.201292,0.729858,0.240638,0.0975135,0.770215,0.120279,0.770216,0.336439,0.336431,1.13976,1.13977,
38,initial_eval,38,1,False,False,0.10556,0.103291,0.00226884,0.136984,0.139321,-0.00155748,-0.00153059,0.103297,0.105566,True,0.37883130000000004,0.10556,0.103291,0.00226884,True,0.370735,0.363315,0.391723,0.528047,0.379057,0.459839,0.579631,0.524434,0.0976506,0.08,0.382561,0.399747,0.342638,0.597636,0.580676,0.767326,0.35789,0.194289,0.579381,0.328763,0.156805,0.162045,0.535362,0.214292,0.253271,0.148678,0.58888,0.173076,0.739005,0.247113,0.336931,0.261805,0.336046,0.336048,1.13993,1.13992,
39,initial_eval,39,1,False,False,0.0673903,0.0667083,0.000682009,0.0992846,0.0999867,0.00384055,0.0038849,0.0667152,0.0673971,True,0.21723498437500002,0.0673903,0.0667083,0.000682009,True,0.0808779,0.279686,0.34867,0.0841486,0.080903,0.0811609,0.0831773,0.412486,0.263453,0.320324,0.39243,0.318392,0.286503,0.0940228,0.100885,0.136889,0.135849,0.129146,0.131767,0.133173,0.163859,0.333662,0.264679,0.434906,0.107991,0.120603,0.369399,0.162099,0.13169,0.364964,0.16253,0.441194,0.33735,0.337355,1.13993,1.13993,
40,initial_eval,40,1,False,False,0.0670206,0.0668797,0.000140851,0.0994617,0.0996058,0.0032982,0.00334709,0.0668868,0.0670275,True,0.24000172500000005,0.0670206,0.0668797,0.000140851,True,0.133549,0.283897,0.37404,0.08,0.135082,0.150816,0.258723,0.418123,0.363119,0.406944,0.421931,0.264674,0.361043,0.0883009,0.0963644,0.115778,0.157805,0.117313,0.241491,0.0868769,0.179544,0.252924,0.333865,0.369477,0.143225,0.118791,0.441535,0.137037,0.284249,0.284976,0.21133,0.367232,0.33711,0.337121,1.13984,1.13984,
41,initial_eval,41,1,False,False,0.0660204,0.0662334,-0.000212944,0.0987955,0.0985747,0.0038203,0.00390192,0.0662405,0.0660275,False,0.248988528125,0.0660204,0.0662334,-0.000212944,False,0.105732,0.36215,0.325922,0.165835,0.106469,0.11403,0.172539,0.522875,0.278977,0.383018,0.365976,0.269524,0.321656,0.206689,0.14966,0.270444,0.180777,0.255566,0.301417,0.409498,0.12813,0.253332,0.1269,0.371258,0.146056,0.148371,0.460007,0.231184,0.123457,0.269043,0.0815159,0.359625,0.337215,0.337238,1.13985,1.13985,
42,initial_eval,42,1,False,False,0.0498832,0.0497233,0.000159905,0.0817073,0.0817397,0.00816896,0.00820047,0.0497284,0.049884,True,0.21003337187500007,0.0498832,0.0497233,0.000159905,True,0.212831,0.207436,0.26523,0.224674,0.216633,0.159741,0.254752,0.315768,0.233752,0.337436,0.295399,0.2342,0.29092,0.287844,0.206267,0.348889,0.154485,0.0902649,0.262403,0.105304,0.127529,0.119367,0.140396,0.155353,0.15162,0.143162,0.469049,0.210417,0.114584,0.12314,0.114105,0.148117,0.33911,0.33913,1.13993,1.13993,
43,initial_eval,43,1,False,False,0.0791469,0.0831071,-0.00396024,0.116199,0.112107,0.0033653,0.00338993,0.0831137,0.0791532,False,0.24969252812499998,0.0791469,0.0831071,-0.00396024,False,0.11078,0.257738,0.13034,0.399908,0.111661,0.0985022,0.120511,0.383105,0.278906,0.408307,0.138539,0.148909,0.137423,0.529537,0.25829,0.517555,0.143549,0.369086,0.235624,0.770217,0.200593,0.08,0.238139,0.08,0.143238,0.278578,0.449947,0.490023,0.159567,0.0820354,0.158466,0.0810873,0.337106,0.337125,1.13949,1.13954,
44,initial_eval,44,1,False,False,0.0931005,0.0926872,0.000413279,0.126059,0.126487,0.000140191,0.000134061,0.092693,0.0931064,True,0.31183467499999995,0.0931005,0.0926872,0.000413279,True,0.463514,0.106965,0.08,0.646135,0.474491,0.160539,0.263688,0.181275,0.188172,0.320324,0.08,0.0842096,0.08,0.770219,0.310503,0.631111,0.230354,0.299946,0.397671,0.523434,0.200391,0.34346,0.14899,0.507601,0.158065,0.282289,0.484314,0.456142,0.193306,0.335637,0.133814,0.44215,0.336392,0.336391,1.13969,1.13965,
45,initial_eval,45,1,False,False,0.0498337,0.0480096,0.00182406,0.073923,0.0744903,0.0105112,0.0105551,0.048007,0.0498309,True,0.18530987499999999,0.0498337,0.0480096,0.00182406,True,0.229949,0.132228,0.173526,0.267329,0.234241,0.142762,0.235887,0.215093,0.2032,0.28292,0.188759,0.161172,0.187485,0.346676,0.192004,0.333556,0.116324,0.115092,0.168953,0.166505,0.150847,0.102262,0.171589,0.122611,0.114217,0.156501,0.383811,0.237959,0.109293,0.0877959,0.108888,0.0904811,0.341091,0.341105,1.13993,1.13993,
46,initial_eval,46,1,False,False,0.0817169,0.0822093,-0.000492391,0.115264,0.114756,0.000346151,0.000342697,0.0822159,0.0817235,False,0.30999147500000007,0.0817169,0.0822093,-0.000492391,False,0.099258,0.348219,0.354446,0.303381,0.0998092,0.105468,0.149702,0.504227,0.322005,0.494018,0.399146,0.124567,0.239571,0.3964,0.282868,0.548444,0.217045,0.223064,0.405573,0.444129,0.379582,0.21933,0.456061,0.330097,0.17975,0.30572,0.536109,0.527168,0.221567,0.205048,0.224904,0.273051,0.336373,0.33637,1.13958,1.13959,
47,initial_eval,47,1,False,False,0.071418,0.0751784,-0.00376039,0.10802,0.104141,0.00564561,0.00568036,0.075185,0.0714246,False,0.23632796875000003,0.071418,0.0751784,-0.00376039,False,0.162354,0.228891,0.0978166,0.426085,0.164711,0.184701,0.229135,0.34449,0.191433,0.332742,0.100718,0.120906,0.114233,0.565641,0.217028,0.496,0.143719,0.359109,0.235148,0.764388,0.16703,0.108215,0.188308,0.132355,0.129483,0.198074,0.419281,0.325674,0.0904285,0.109376,0.0897139,0.125308,0.337748,0.337786,1.13988,1.13992,
