cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,lose0,lose1,lead01,lead10,bwd_signal,max_abs_hidden_delta_signal,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
10,initial_eval,10,1,False,False,0.0863266,0.0856262,0.000700404,0.118785,0.119507,0.0125173,0.0125193,0.0856323,0.0863327,True,0.12638466666666667,0.0863266,0.0856262,0.000700404,True,0.127674,0.127607,0.122891,0.130487,0.124913,0.124733,0.12835,0.127153,0.123181,0.12982,0.12534,0.124467,0.337396,0.337394,1.1398,1.13979,,,,,,,,
11,initial_eval,11,1,False,False,0.0863111,0.0856108,0.000700334,0.118769,0.119491,0.0125025,0.0125046,0.0856169,0.0863172,True,0.12636675,0.0863111,0.0856108,0.000700334,True,0.127656,0.127588,0.122874,0.130469,0.124895,0.124716,0.128332,0.127135,0.123164,0.129801,0.125322,0.124449,0.337395,0.337393,1.1398,1.13979,,,,,,,,
12,train,0,0,True,True,0.0666297,0.0672037,-0.000574014,0.0992085,0.0998001,0.0216309,0.021624,0.0666369,0.0672109,False,0.09950523333333333,0.0666297,0.0672037,-0.000574014,False,0.0995216,0.0994801,0.0994834,0.0995228,0.0995204,0.0994819,0.0995243,0.0995215,0.0994802,0.0994835,0.0995228,0.0995203,0.338086,0.338082,1.2,4.82308e-07,1.04498,2.42416e-15,-0.000476805,9.72086e-05,0.0100492,0.0128483,0.0128483,0.00407684
13,train,1,0,True,True,0.0577642,0.0582493,-0.000485115,0.0900697,0.0905698,0.0225107,0.0225039,0.057772,0.0582571,False,0.09051600833333333,0.0577642,0.0582493,-0.000485115,False,0.0903359,0.0902973,0.0903002,0.0925648,0.0903347,0.0902988,0.0903384,0.0903358,0.0902972,0.0903003,0.0904541,0.0903346,0.338366,0.338364,1.2,4.8238e-07,1.04498,4.78254e-18,-0.000470107,1.50081e-05,0.0037809,0.0046223,0.0046223,0.00341739
14,train,2,0,True,True,0.0565531,0.0570572,-0.00050416,0.0888213,0.0893411,0.0230773,0.0230538,0.0565609,0.0570651,False,0.090321725,0.0565531,0.0570572,-0.00050416,False,0.0940606,0.089871,0.0900556,0.0911602,0.0892149,0.0900616,0.0903343,0.0909232,0.0890634,0.0899249,0.0900921,0.0890989,0.338541,0.338525,1.2,4.82394e-07,1.04498,9.4377e-21,-0.000491005,1.3155e-05,0.0035503,0.00434432,0.00434432,0.0032461
15,train,3,0,True,True,0.0484092,0.0488241,-0.000414881,0.0804239,0.0808518,0.0239751,0.0239228,0.0484176,0.0488325,False,0.08063865833333335,0.0484092,0.0488241,-0.000414881,False,0.080653,0.0806165,0.0806195,0.0806542,0.0806519,0.0806182,0.0806555,0.0806529,0.0806166,0.0806196,0.0806541,0.0806519,0.338853,0.338811,1.2,4.82532e-07,1.04498,1.85934e-23,-0.00039446,2.04206e-05,0.00333345,0.00408077,0.00408077,0.0034256
16,train,4,0,True,True,0.044294,0.0446853,-0.000391254,0.0761802,0.0765837,0.025297,0.025229,0.0443027,0.044694,False,0.07638623333333333,0.044294,0.0446853,-0.000391254,False,0.076397,0.0763607,0.0764059,0.0763981,0.0763959,0.0763624,0.0763995,0.0763969,0.0763608,0.0763638,0.076398,0.0763958,0.339277,0.339212,1.2,4.8266e-07,1.04498,1.35568e-22,-0.000371168,2.00851e-05,0.00312967,0.00383361,0.00383361,0.00345707
17,train,5,0,True,True,0.0403197,0.0406889,-0.000369234,0.0720812,0.072462,0.0268274,0.0267483,0.0403287,0.0406979,False,0.07227243333333333,0.0403197,0.0406889,-0.000369234,False,0.0722866,0.0722505,0.0722536,0.0722878,0.0722855,0.0722522,0.0722891,0.0722865,0.0722506,0.0722537,0.0722877,0.0722854,0.339859,0.339769,1.2,4.82877e-07,1.04498,2.54242e-25,-0.000349443,1.9791e-05,0.00293857,0.00360126,0.00360126,0.00343817
18,train,6,1,True,True,0.062806,0.0621302,0.000675889,0.0945892,0.0952856,0.00765278,0.00749606,0.0621388,0.0628146,True,0.106972,0.062806,0.0621302,0.000675889,True,0.109543,0.108717,0.101571,0.113175,0.104777,0.103888,0.111362,0.107558,0.102369,0.111594,0.105896,0.103214,0.336985,0.336931,1.2,4.82338e-07,0.0183325,1.15023e-54,0.00067582,-6.93427e-08,6.31917e-06,7.75477e-06,7.75477e-06,4.69586e-05
19,train,7,1,True,True,0.0627866,0.0621107,0.000675894,0.0945689,0.0952653,0.00765832,0.00751541,0.0621193,0.0627951,True,0.10694483333333336,0.0627866,0.0621107,0.000675894,True,0.109519,0.108685,0.101549,0.113142,0.104754,0.103858,0.111338,0.107527,0.102347,0.111561,0.105873,0.103185,0.336986,0.336932,1.2,4.82339e-07,0.00397835,2.40289e-66,0.00067582,-7.45456e-08,6.31825e-06,7.75364e-06,7.75364e-06,4.69518e-05
20,train,8,1,True,True,0.0369824,0.0366316,0.00035087,0.0682772,0.0686391,0.0359256,0.0358124,0.0366407,0.0369916,True,0.06849749166666667,0.0369824,0.0366316,0.00035087,True,0.0685316,0.0684459,0.0684928,0.0684744,0.068472,0.0684386,0.0686944,0.0685967,0.068437,0.0684402,0.0684743,0.068472,0.323301,0.323803,1.2,4.83302e-07,0.00315019,1.64279e-75,0.000350833,-3.65586e-08,6.31733e-06,7.75251e-06,7.75251e-06,4.6945e-05
21,train,9,1,True,True,0.0627461,0.0620702,0.00067591,0.0945274,0.0952239,0.00766966,0.0075267,0.0620788,0.0627547,True,0.10688933333333334,0.0627461,0.0620702,0.00067591,True,0.109471,0.10862,0.101503,0.113072,0.104707,0.103797,0.11129,0.107464,0.102301,0.111494,0.105826,0.103127,0.336989,0.336934,1.2,4.82339e-07,0.00472633,4.01219e-93,0.00067582,-8.98739e-08,6.31641e-06,7.75138e-06,7.75138e-06,4.69381e-05
22,train,10,1,True,True,0.0627269,0.062051,0.000675894,0.0945073,0.0952038,0.00767513,0.00753211,0.0620596,0.0627354,True,0.10686258333333333,0.0627269,0.062051,0.000675894,True,0.109447,0.108588,0.101481,0.11304,0.104685,0.103769,0.111266,0.107433,0.102279,0.111462,0.105803,0.103098,0.33699,0.336935,1.2,4.82339e-07,0.00378909,8.57006e-100,0.000675853,-4.05949e-08,6.31549e-06,7.75026e-06,7.75026e-06,4.69313e-05
23,train,11,1,True,True,0.0627056,0.0620297,0.000675944,0.0944858,0.0951823,0.0076811,0.00753799,0.0620383,0.0627142,True,0.10683350000000001,0.0627056,0.0620297,0.000675944,True,0.109422,0.108553,0.101458,0.113005,0.104661,0.103737,0.111241,0.107399,0.102255,0.111425,0.105779,0.103067,0.336991,0.336936,1.2,4.82339e-07,0.0109917,3.82449e-75,0.000675819,-1.24282e-07,6.31457e-06,7.74913e-06,7.74913e-06,4.69245e-05
24,final_eval,0,0,False,False,0.0364751,0.0368215,-0.000346404,0.0681158,0.0684731,0.0283999,0.0283127,0.0364845,0.0368309,False,0.06829666666666666,0.0364751,0.0368215,-0.000346404,False,0.0683093,0.0682903,0.0682766,0.0683105,0.0683082,0.0682752,0.0683119,0.0683092,0.0682736,0.0682767,0.0683104,0.0683081,0.340659,0.340537,1.19701,1.15042,,,,,,,,
25,final_eval,1,0,False,False,0.0377422,0.0381493,-0.000407147,0.0694227,0.0698426,0.0283773,0.0282908,0.0377514,0.0381585,False,0.07004842500000001,0.0377422,0.0381493,-0.000407147,False,0.0696502,0.0696828,0.0696115,0.0744107,0.0696488,0.0696098,0.0696532,0.0696501,0.0696079,0.0696116,0.0697957,0.0696488,0.340578,0.34046,1.18744,1.14123,,,,,,,,
26,final_eval,2,0,False,False,0.0398404,0.0403013,-0.000460923,0.0715875,0.0720629,0.0410394,0.040913,0.0398492,0.0403101,False,0.072896475,0.0398404,0.0403013,-0.000460923,False,0.0784665,0.0719634,0.072261,0.0731787,0.0718437,0.0726302,0.0726034,0.0733028,0.0717968,0.0719333,0.0729343,0.0718436,0.281863,0.283061,1.1779,1.1399,,,,,,,,
27,final_eval,3,0,False,False,0.0364445,0.036791,-0.000346524,0.0680842,0.0684416,0.0284096,0.0283239,0.0364539,0.0368004,False,0.06826369166666668,0.0364445,0.036791,-0.000346524,False,0.0682777,0.0682419,0.068245,0.0682789,0.0682766,0.0682436,0.0682803,0.0682777,0.068242,0.0682451,0.0682789,0.0682766,0.340666,0.340543,1.16843,1.13993,,,,,,,,
28,final_eval,4,0,False,False,0.0364433,0.0367894,-0.000346087,0.0680829,0.0684399,0.0284121,0.0283278,0.0364527,0.0367987,False,0.06826415,0.0364433,0.0367894,-0.000346087,False,0.0682762,0.0682404,0.0682673,0.0682774,0.0682751,0.0682421,0.0682788,0.0682761,0.0682405,0.0682436,0.0682773,0.068275,0.34067,0.340545,1.15906,1.13991,,,,,,,,
29,final_eval,5,0,False,False,0.0364271,0.0367735,-0.000346421,0.0680663,0.0684236,0.0284141,0.0283314,0.0364365,0.0367829,False,0.06824576666666667,0.0364271,0.0367735,-0.000346421,False,0.0682598,0.068224,0.0682271,0.068261,0.0682587,0.0682257,0.0682624,0.0682597,0.0682241,0.0682272,0.0682609,0.0682586,0.340673,0.340547,1.14974,1.13991,,,,,,,,
30,final_eval,6,1,False,False,0.0625671,0.0618912,0.000675911,0.094343,0.0950394,0.00772027,0.00757666,0.0618998,0.0625757,True,0.10664283333333335,0.0625671,0.0618912,0.000675911,True,0.109256,0.10833,0.101301,0.112765,0.1045,0.10353,0.111072,0.107182,0.102098,0.111197,0.105617,0.102866,0.336957,0.336902,1.14021,1.13961,,,,,,,,
31,final_eval,7,1,False,False,0.0625475,0.0618716,0.000675906,0.0943227,0.0950192,0.00772582,0.00758215,0.0618802,0.062556,True,0.10661591666666666,0.0625475,0.0618716,0.000675906,True,0.109232,0.108298,0.101279,0.112732,0.104477,0.103502,0.111049,0.107151,0.102075,0.111164,0.105594,0.102838,0.336959,0.336903,1.13985,1.13985,,,,,,,,
32,final_eval,8,1,False,False,0.0368711,0.036521,0.000350092,0.0681627,0.0685239,0.0284318,0.0283451,0.0365303,0.0368804,True,0.06838051666666667,0.0368711,0.036521,0.000350092,True,0.0684144,0.0683281,0.0683758,0.0683595,0.0683572,0.0683238,0.0685656,0.0684778,0.0683222,0.0683253,0.0683594,0.0683571,0.340675,0.340552,1.13993,1.13993,,,,,,,,
33,final_eval,9,1,False,False,0.0625071,0.0618312,0.000675942,0.0942813,0.0949778,0.00773728,0.00759344,0.0618398,0.0625157,True,0.10656041666666667,0.0625071,0.0618312,0.000675942,True,0.109184,0.108231,0.101234,0.112665,0.10443,0.103442,0.111,0.107087,0.10203,0.111096,0.105547,0.102779,0.336961,0.336906,1.13969,1.13969,,,,,,,,
34,final_eval,10,1,False,False,0.0624878,0.0618119,0.000675895,0.0942612,0.0949576,0.0206858,0.0205995,0.0618205,0.0624963,True,0.10653366666666668,0.0624878,0.0618119,0.000675895,True,0.10916,0.108201,0.101212,0.11263,0.104408,0.103412,0.110976,0.107057,0.102008,0.111065,0.105524,0.102751,0.333448,0.333409,1.13985,1.13985,,,,,,,,
35,final_eval,11,1,False,False,0.0624679,0.061792,0.000675894,0.0942407,0.0949371,0.00774847,0.00760451,0.0618006,0.0624765,True,0.10650641666666666,0.0624679,0.061792,0.000675894,True,0.109137,0.108169,0.101189,0.112596,0.104385,0.103383,0.110952,0.107026,0.101985,0.111032,0.105501,0.102722,0.336963,0.336908,1.13985,1.13985,,,,,,,,
