cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,dp0,dn0,output_delta_net_0,dp1,dn1,output_delta_net_1,max_abs_output_delta_signal,max_output_delta_node
25,train,12,1,True,True,0.0510428,0.0554562,-0.00441338,0.214462,0.207628,0.167672,0.166898,0.0399912,0.0381806,False,0.2552052,0.0510428,0.0554562,-0.00441338,False,0.378788,0.261629,0.298443,0.334778,0.105769,0.343042,0.0995206,0.219672,0.00253197,0.00254652,3.38694e-08,1.2,1.2,0.000401055,1.04435,-1.04395,1.04435,0.000401055,1.04395,1.04395,1.04435
26,train,5,0,True,True,0.0532739,0.059187,-0.00591311,0.216488,0.225679,0.162417,0.176743,0.0392409,0.0417855,False,0.54547575,0.0532739,0.059187,-0.00591311,False,0.769845,0.769842,0.608496,0.769845,0.409298,0.234623,0.168272,0.633585,0.00263422,0.00237312,1.2,3.37388e-08,1.2,1.04435,0.000801629,1.04355,0.000801629,1.04435,-1.04355,1.04355,1.04435
27,train,13,1,True,True,0.0529619,0.0595087,-0.00654687,0.226139,0.215964,0.159627,0.16031,0.0408485,0.0392624,False,0.339744875,0.0529619,0.0595087,-0.00654687,False,0.123025,0.60824,0.471227,0.161069,0.263738,0.119865,0.661443,0.309352,0.00269197,0.00267759,3.38016e-08,1.2,1.2,0.000801629,1.04435,-1.04355,1.04435,0.000801629,1.04355,1.04355,1.04435
28,train,6,0,True,True,0.0582583,0.0600056,-0.00174724,0.229768,0.232496,0.155566,0.16669,0.0408396,0.0419265,False,0.5985944999999999,0.0582583,0.0600056,-0.00174724,False,0.541098,0.769844,0.769842,0.700954,0.34338,0.769844,0.123952,0.769842,0.00278075,0.00255047,1.2,3.37302e-08,1.2,1.04435,0.000801629,1.04355,0.000801629,1.04435,-1.04355,1.04355,1.04435
29,train,14,1,True,True,0.0549077,0.0621207,-0.007213,0.234369,0.223124,0.168044,0.162658,0.0434889,0.0407664,False,0.317506575,0.0549077,0.0621207,-0.007213,False,0.0855517,0.584276,0.494951,0.0948785,0.157014,0.0921764,0.769845,0.26136,0.00252504,0.00262934,3.3647e-08,1.2,1.2,0.000801629,1.04435,-1.04355,1.04435,0.000801629,1.04355,1.04355,1.04435
30,train,7,0,True,True,0.0627601,0.0606349,0.0021252,0.241498,0.238168,0.144759,0.154304,0.0417772,0.0419295,True,0.472466125,0.0627601,0.0606349,0.0021252,True,0.699473,0.769843,0.606274,0.719964,0.405065,0.148888,0.112166,0.318056,0.00304873,0.00280956,3.37393e-08,1.19999,1.2,0.000944102,0.00160152,-0.000657421,0.00160152,0.000944102,0.000657421,0.000657421,0.00160152
31,train,15,1,True,True,0.0606557,0.0581623,0.00249342,0.230107,0.234002,0.134808,0.14778,0.0393494,0.0416063,True,0.258585,0.0606557,0.0581623,0.00249342,True,0.08,0.440551,0.403631,0.08,0.101024,0.166068,0.658742,0.138664,0.0033464,0.00296868,1.2,3.375e-08,1.2,0.000801242,0.00094491,-0.000143668,0.00094491,0.000801242,0.000143668,0.000143668,0.00094491
32,train,0,0,True,True,0.0620452,0.0587489,0.00329631,0.237961,0.232805,0.145493,0.154352,0.0416453,0.04136,True,0.41148750000000006,0.0620452,0.0587489,0.00329631,True,0.676265,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.00302888,0.00280846,1.19999,3.37661e-08,1.2,1.04435,0.000401055,1.04395,0.000401055,1.04435,-1.04395,1.04395,1.04435
33,train,8,1,True,True,0.0582778,0.0621272,-0.0038494,0.237709,0.23169,0.13955,0.141198,0.0411504,0.0408455,False,0.24862142500000003,0.0582778,0.0621272,-0.0038494,False,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.00319753,0.00314889,1.2,3.38018e-08,1.2,0.00160152,0.000944471,0.000657052,0.000944471,0.00160152,-0.000657052,0.000657052,0.00160152
34,train,1,0,True,True,0.0668485,0.0558341,0.0110144,0.246581,0.229359,0.144914,0.145414,0.0429575,0.0404612,True,0.406035125,0.0668485,0.0558341,0.0110144,True,0.739104,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.00304453,0.00303101,3.36731e-08,1.2,1.2,0.000944475,0.000801242,0.000143233,0.000801242,0.000944475,-0.000143233,0.000143233,0.000944475
35,train,9,1,True,True,0.0481866,0.0641368,-0.0159502,0.231843,0.207148,0.135314,0.13401,0.0413551,0.0373483,False,0.21884825,0.0481866,0.0641368,-0.0159502,False,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.00332987,0.00337288,3.37664e-08,1.2,1.2,0.000401055,1.04435,-1.04395,1.04435,0.000401055,1.04395,1.04395,1.04435
36,train,2,0,True,True,0.064668,0.0571623,0.00750562,0.242756,0.231016,0.13722,0.146462,0.0421431,0.0411142,True,0.40224437500000004,0.064668,0.0571623,0.00750562,True,0.769845,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.00326897,0.00300307,3.37174e-08,1.2,1.2,0.000944102,0.00160152,-0.000657421,0.00160152,0.000944102,0.000657421,0.000657421,0.00160152
37,train,10,1,True,True,0.0571088,0.0615433,-0.00443454,0.235157,0.228233,0.138792,0.148211,0.0413947,0.0413009,False,0.433850625,0.0571088,0.0615433,-0.00443454,False,0.570861,0.286918,0.151123,0.745713,0.587416,0.423773,0.323946,0.381055,0.00322041,0.00295761,3.37638e-08,1.19999,1.2,0.000401055,1.04435,-1.04395,1.04435,0.000401055,1.04395,1.04395,1.04435
38,train,3,0,True,True,0.0611184,0.062884,-0.00176561,0.239488,0.242256,0.130055,0.147032,0.0411454,0.0428563,False,0.5017732500000001,0.0611184,0.062884,-0.00176561,False,0.432994,0.769845,0.642077,0.551152,0.555077,0.08,0.410254,0.572787,0.00351052,0.0029881,1.2,3.36783e-08,1.2,1.04435,0.000801629,1.04355,0.000801629,1.04435,-1.04355,1.04355,1.04435
39,train,11,1,True,True,0.0596086,0.0644181,-0.00480942,0.244572,0.237034,0.128748,0.136036,0.0420234,0.0415387,False,0.41236612500000003,0.0596086,0.0644181,-0.00480942,False,0.248555,0.648563,0.26177,0.516055,0.769845,0.300008,0.152067,0.402066,0.00355856,0.00330653,1.19999,3.37544e-08,1.2,0.00160152,0.000944102,0.000657421,0.000944102,0.00160152,-0.000657421,0.000657421,0.00160152
40,train,4,0,True,True,0.066549,0.0590154,0.00753364,0.249137,0.237323,0.12984,0.138182,0.042626,0.0417611,True,0.6073775,0.066549,0.0590154,0.00753364,True,0.608103,0.769845,0.769845,0.645065,0.08,0.769845,0.446472,0.769845,0.00351833,0.00323908,3.36904e-08,1.19999,1.2,0.000944475,0.000801242,0.000143234,0.000801242,0.000944475,-0.000143234,0.000143234,0.000944475
41,train,12,1,True,True,0.0559002,0.0619853,-0.00608505,0.235039,0.225544,0.126818,0.134411,0.0411951,0.0404644,False,0.2552052,0.0559002,0.0619853,-0.00608505,False,0.378788,0.261629,0.298443,0.334778,0.105769,0.343042,0.0995206,0.219672,0.00363197,0.00335953,3.37772e-08,1.2,1.2,0.000401055,1.04435,-1.04395,1.04435,0.000401055,1.04395,1.04395,1.04435
42,train,5,0,True,True,0.0639531,0.0617332,0.00221994,0.245461,0.241977,0.122312,0.136957,0.0418489,0.0423791,True,0.54547575,0.0639531,0.0617332,0.00221994,True,0.769845,0.769842,0.608496,0.769845,0.409298,0.234623,0.168272,0.633585,0.00381612,0.00327723,3.37349e-08,1.19999,1.2,0.000944102,0.00160152,-0.000657421,0.00160152,0.000944102,0.000657421,0.000657421,0.00160152
43,train,13,1,True,True,0.0591491,0.0610243,-0.00187528,0.235837,0.232905,0.118769,0.134401,0.0405343,0.041619,False,0.339744875,0.0591491,0.0610243,-0.00187528,False,0.123025,0.60824,0.471227,0.161069,0.263738,0.119865,0.661443,0.309352,0.00397486,0.00335985,1.2,3.37492e-08,1.2,0.000801242,0.00094491,-0.000143668,0.00094491,0.000801242,0.000143668,0.000143668,0.00094491
44,train,6,0,True,True,0.0629778,0.0605942,0.00238365,0.241995,0.238259,0.125225,0.138556,0.0417988,0.0422102,True,0.5985944999999999,0.0629778,0.0605942,0.00238365,True,0.541098,0.769844,0.769842,0.700954,0.34338,0.769844,0.123952,0.769842,0.00369496,0.00322762,1.19999,3.37135e-08,1.2,1.04435,0.000401055,1.04395,0.000401055,1.04435,-1.04395,1.04395,1.04435
45,train,14,1,True,True,0.0549776,0.0655269,-0.0105493,0.242554,0.226082,0.11553,0.12201,0.0414338,0.040105,False,0.317506575,0.0549776,0.0655269,-0.0105493,False,0.0855517,0.584276,0.494951,0.0948785,0.157014,0.0921764,0.769845,0.26136,0.00413226,0.00382911,3.37612e-08,1.2,1.2,0.000801629,1.04435,-1.04355,1.04435,0.000801629,1.04355,1.04355,1.04435
46,train,7,0,True,True,0.0666454,0.0609755,0.00566993,0.25131,0.242402,0.115351,0.127496,0.0425304,0.0421999,True,0.472466125,0.0666454,0.0609755,0.00566993,True,0.699473,0.769843,0.606274,0.719964,0.405065,0.148888,0.112166,0.318056,0.00414135,0.00360583,3.36956e-08,1.19999,1.2,0.000944102,0.00160152,-0.000657421,0.00160152,0.000944102,0.000657421,0.000657421,0.00160152
47,train,15,1,True,True,0.0603316,0.0616254,-0.00129374,0.238422,0.236396,0.105644,0.120029,0.0400728,0.0415751,False,0.258585,0.0603316,0.0616254,-0.00129374,False,0.08,0.440551,0.403631,0.08,0.101024,0.166068,0.658742,0.138664,0.00470343,0.00391688,1.2,3.3752e-08,1.2,0.000801242,0.00094491,-0.000143668,0.00094491,0.000801242,0.000143668,0.000143668,0.00094491
48,train,0,0,True,True,0.0660597,0.0593241,0.00673562,0.248267,0.237703,0.116339,0.12827,0.0423803,0.0418084,True,0.41148750000000006,0.0660597,0.0593241,0.00673562,True,0.676265,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.00409177,0.00357647,1.19999,3.37374e-08,1.2,1.04435,0.000401055,1.04395,0.000401055,1.04435,-1.04395,1.04395,1.04435
49,train,8,1,True,True,0.0585889,0.0639652,-0.00537624,0.242478,0.234061,0.110812,0.115873,0.0414744,0.0410959,False,0.24862142500000003,0.0585889,0.0639652,-0.00537624,False,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.00438595,0.00411503,1.19999,3.3784e-08,1.2,0.00160152,0.000944102,0.000657421,0.000944102,0.00160152,-0.000657421,0.000657421,0.00160152
50,train,1,0,True,True,0.0702519,0.0568536,0.0133983,0.255683,0.234685,0.115687,0.1215,0.0434977,0.0411356,True,0.406035125,0.0702519,0.0568536,0.0133983,True,0.739104,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.00412436,0.00385133,3.36466e-08,1.2,1.2,0.000944475,0.000801242,0.000143233,0.000801242,0.000944475,-0.000143233,0.000143233,0.000944475
51,train,9,1,True,True,0.0513198,0.0652854,-0.0139657,0.238037,0.216322,0.105764,0.111836,0.0411934,0.0387784,False,0.21884825,0.0513198,0.0652854,-0.0139657,False,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.0046955,0.00432822,3.37773e-08,1.2,1.2,0.000401055,1.04435,-1.04395,1.04435,0.000401055,1.04395,1.04395,1.04435
52,train,2,0,True,True,0.0679069,0.0584881,0.0094188,0.251854,0.237081,0.109809,0.122203,0.0427822,0.0417288,True,0.40224437500000004,0.0679069,0.0584881,0.0094188,True,0.769845,0.430067,0.412376,0.605262,0.249139,0.326696,0.08,0.34457,0.0044441,0.00382079,3.36821e-08,1.19999,1.2,0.000944102,0.00160152,-0.000657421,0.00160152,0.000944102,0.000657421,0.000657421,0.00160152
53,train,10,1,True,True,0.0588156,0.0638719,-0.00505631,0.242474,0.234557,0.11241,0.124111,0.0419127,0.0419434,False,0.433850625,0.0588156,0.0638719,-0.00505631,False,0.570861,0.286918,0.151123,0.745713,0.587416,0.423773,0.323946,0.381055,0.00429651,0.00374037,3.37311e-08,1.19999,1.2,0.000401055,1.04435,-1.04395,1.04435,0.000401055,1.04395,1.04395,1.04435
54,train,3,0,True,True,0.0644675,0.063748,0.000719474,0.2486,0.247469,0.105285,0.122353,0.0419873,0.0432215,True,0.5017732500000001,0.0644675,0.063748,0.000719474,True,0.432994,0.769845,0.642077,0.551152,0.555077,0.08,0.410254,0.572787,0.00472728,0.00381436,1.19999,3.36599e-08,1.2,1.04435,0.000801629,1.04355,0.000801629,1.04435,-1.04355,1.04355,1.04435
55,train,11,1,True,True,0.0599595,0.0674498,-0.00749027,0.252249,0.240487,0.103603,0.113044,0.0426969,0.0418864,False,0.41236612500000003,0.0599595,0.0674498,-0.00749027,False,0.248555,0.648563,0.26177,0.516055,0.769845,0.300008,0.152067,0.402066,0.00484227,0.00426209,3.36866e-08,1.19999,1.2,0.000801629,1.04435,-1.04355,1.04435,0.000801629,1.04355,1.04355,1.04435
56,train,4,0,True,True,0.0676103,0.064889,0.0027213,0.25741,0.253119,0.0983065,0.113844,0.0428851,0.0434939,True,0.6073775,0.0676103,0.064889,0.0027213,True,0.608103,0.769845,0.769845,0.645065,0.08,0.769845,0.446472,0.769845,0.00524578,0.0042194,3.36768e-08,1.19999,1.2,0.000944102,0.00160152,-0.000657421,0.00160152,0.000944102,0.000657421,0.000657421,0.00160152
57,train,12,1,True,True,0.0617354,0.0608699,0.000865445,0.237836,0.239192,0.0954908,0.11048,0.0408927,0.0422478,True,0.2552052,0.0617354,0.0608699,0.000865445,True,0.378788,0.261629,0.298443,0.334778,0.105769,0.343042,0.0995206,0.219672,0.00549023,0.00440504,1.2,3.37114e-08,1.2,0.000801242,0.000944475,-0.000143234,0.000944475,0.000801242,0.000143234,0.000143234,0.000944475
58,train,5,0,True,True,0.0664707,0.0638961,0.00257455,0.253678,0.249624,0.0982064,0.113113,0.0425322,0.0430804,True,0.545476,0.0664707,0.0638961,0.00257455,True,0.769846,0.769842,0.608496,0.769846,0.409298,0.234623,0.168272,0.633585,0.00525408,0.00425838,1.19999,3.36668e-08,1.2,1.04435,0.000401055,1.04395,0.000401055,1.04435,-1.04395,1.04395,1.04435
59,train,13,1,True,True,0.0584474,0.0680466,-0.00959924,0.252145,0.237089,0.11931,0.1292,0.0450114,0.0437612,False,0.339744875,0.0584474,0.0680466,-0.00959924,False,0.123025,0.60824,0.471227,0.161069,0.263738,0.119865,0.661443,0.309352,0.00394974,0.00354179,3.35826e-08,1.19999,1.2,0.000801629,1.04435,-1.04355,1.04435,0.000801629,1.04355,1.04355,1.04435
60,train,6,0,True,True,0.0699015,0.0644501,0.00545143,0.262595,0.253991,0.0925847,0.106681,0.0435267,0.0434497,True,0.5985944999999999,0.0699015,0.0644501,0.00545143,True,0.541098,0.769844,0.769842,0.700954,0.34338,0.769844,0.123952,0.769842,0.0057689,0.00463597,3.36452e-08,1.19999,1.2,0.000944102,0.00160152,-0.000657421,0.00160152,0.000944102,0.000657421,0.000657421,0.00160152
61,train,14,1,True,True,0.0622782,0.0641843,-0.00190612,0.24654,0.243547,0.0843734,0.099229,0.0411131,0.0423418,False,0.317506575,0.0622782,0.0641843,-0.00190612,False,0.0855517,0.584276,0.494951,0.0948785,0.157014,0.0921764,0.769845,0.26136,0.0067473,0.00517054,1.2,3.3706e-08,1.2,0.000801242,0.000944475,-0.000143234,0.000944475,0.000801242,0.000143234,0.000143234,0.000944475
62,train,7,0,True,True,0.0680859,0.0633955,0.00469039,0.257157,0.249768,0.0921942,0.105582,0.0429964,0.0430401,True,0.472466125,0.0680859,0.0633955,0.00469039,True,0.699473,0.769843,0.606274,0.719964,0.405065,0.148888,0.112166,0.318056,0.00580862,0.00470753,1.19999,3.36689e-08,1.2,1.04435,0.000401055,1.04395,0.000401055,1.04435,-1.04395,1.04395,1.04435
63,train,15,1,True,True,0.0591869,0.0687175,-0.0095305,0.254504,0.239541,0.0829651,0.091435,0.0422822,0.041303,False,0.258585,0.0591869,0.0687175,-0.0095305,False,0.08,0.440551,0.403631,0.08,0.101024,0.166068,0.658742,0.138664,0.00695201,0.00588752,3.37094e-08,1.19999,1.2,0.000801629,1.04435,-1.04355,1.04435,0.000801629,1.04355,1.04355,1.04435
64,train,0,0,True,True,0.0722202,0.0622392,0.00998097,0.26599,0.25025,0.0863101,0.0996143,0.043972,0.0428896,True,0.41148750000000006,0.0722202,0.0622392,0.00998097,True,0.676265,0.432314,0.46712,0.528199,0.203879,0.295004,0.156486,0.532633,0.00648591,0.00513978,3.3625e-08,1.19999,1.2,0.000944102,0.00160152,-0.000657421,0.00160152,0.000944102,0.000657421,0.000657421,0.00160152
65,train,8,1,True,True,0.0647053,0.0633406,0.0013647,0.246667,0.248812,0.0822773,0.0946392,0.04137,0.0430617,True,0.24862142500000003,0.0647053,0.0633406,0.0013647,True,0.0882504,0.459215,0.331106,0.159288,0.317466,0.101517,0.381526,0.150603,0.00705693,0.00556892,1.19999,3.36678e-08,1.2,0.000801242,0.000944475,-0.000143233,0.000944475,0.000801242,0.000143233,0.000143233,0.000944475
66,train,1,0,True,True,0.0710428,0.0610349,0.0100079,0.261947,0.24619,0.0874434,0.100166,0.0437034,0.0425919,True,0.406035125,0.0710428,0.0610349,0.0100079,True,0.739104,0.477707,0.411555,0.477523,0.180082,0.450461,0.161643,0.350206,0.00634272,0.00509641,3.36371e-08,1.19999,1.2,0.000944475,0.000801241,0.000143234,0.000801241,0.000944475,-0.000143234,0.000143234,0.000944475
67,train,9,1,True,True,0.0540559,0.0662285,-0.0121725,0.243228,0.224236,0.0782323,0.0907239,0.0413349,0.039968,False,0.21884825,0.0540559,0.0662285,-0.0121725,False,0.459365,0.08,0.08,0.427737,0.173147,0.184416,0.266121,0.08,0.00775098,0.00596351,3.37677e-08,1.2,1.2,0.000401055,1.04435,-1.04395,1.04435,0.000401055,1.04395,1.04395,1.04435
