cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,max_abs_hidden_delta_signal,max_abs_hidden_grad_signal,max_hidden_grad_node,max_abs_hidden_apply_gate_signal,max_hidden_apply_gate_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
10,train,1,0,True,True,0.137822,0.144426,-0.00660341,0.149643,0.15727,0.00940679,0.00936416,0.137815,0.144418,False,0.09487894999999999,0.108689,0.0634503,0.163323,0.0723311,0.0768679,0.0622573,0.105498,0.106615,0.340675,0.340711,0.88423,0.920326,1.63671e-08,2.73066e-08,0.132519,3.18997e-06,1.14135,-0.000252389,0.00635103,0.0115842,0.0326024,0.0326024,0.00016645
11,train,5,1,True,True,0.141346,0.140428,0.000918695,0.155313,0.160499,0.00593482,0.00582176,0.14042,0.141339,True,0.0790427375,0.0626237,0.136866,0.0101887,0.190112,0.030548,0.0681112,0.0680565,0.0658358,0.338328,0.338293,0.899093,0.904286,1.48313e-08,1.96428e-08,0.159655,1.65731e-05,1.14135,0.00771453,0.00679583,0.133538,0.0334911,0.133538,0.000173762
12,train,2,0,True,True,0.148891,0.15551,-0.00661911,0.168965,0.176626,0.0165647,0.0160723,0.148883,0.155502,False,0.0863675375,0.0871111,0.0758749,0.128646,0.0530613,0.0729588,0.0657742,0.107233,0.100281,0.341464,0.341394,0.88833,0.91561,1.62952e-08,1.99755e-08,0.0822939,2.29297e-05,1.14135,0.000948724,0.00756784,2.00926e-07,0.0310689,0.0310689,0.000166616
13,train,6,1,True,True,0.149386,0.148688,0.000698369,0.166848,0.173418,0.00682758,0.00662207,0.14868,0.149378,True,0.0729406725,0.0717625,0.115926,0.00184538,0.185003,0.0189796,0.0850343,0.0514233,0.0535513,0.338208,0.338077,0.900241,0.903402,0.0482097,0.0647406,0.15574,0.641381,1.14135,0.00900281,0.00830444,0.100025,0.0319395,0.100025,0.000361249
14,train,3,0,True,True,0.154043,0.160452,-0.0064089,0.163341,0.171994,0.00725538,0.00711509,0.154034,0.160443,False,0.091146925,0.083453,0.151557,0.0744829,0.0558716,0.0680555,0.0673585,0.140834,0.0875629,0.339716,0.339644,0.89009,0.913703,1.63323e-08,0.000240424,0.112045,0.0587557,1.19944,0.00274217,0.00915107,3.13868e-07,0.0295209,0.0295209,0.000174744
15,train,7,1,True,True,0.157543,0.160065,-0.00252225,0.168214,0.171866,0.0104983,0.0104777,0.160057,0.157535,False,0.08053816250000001,0.170682,0.0834104,0.0281254,0.124501,0.0207937,0.123262,0.043729,0.0498018,0.338883,0.338806,0.906334,0.897263,0.0784899,0.0769327,0.137002,1.19996,1.19996,0.00619942,0.00872167,0.0320608,0.030398,0.0320608,0.000433993
16,train,0,0,True,True,0.161295,0.167371,-0.00607625,0.173771,0.182566,0.00634295,0.00618123,0.161286,0.167362,False,0.0845165875,0.174024,0.0624347,0.0581929,0.101446,0.0374787,0.110527,0.0600633,0.0719661,0.338714,0.338596,0.892172,0.911545,1.6316e-08,0.000566061,0.148886,0.306706,1.14136,0.00552669,0.0116029,0.0445732,0.0279721,0.0445732,0.000372331
17,train,4,1,True,True,0.171308,0.176906,-0.00559855,0.186441,0.187722,0.00696858,0.00698025,0.176897,0.171298,False,0.0820400375,0.0666563,0.144319,0.0476846,0.0994256,0.066716,0.0368044,0.13523,0.0594844,0.338675,0.338677,0.909338,0.894416,0.0541614,0.0563817,0.125124,0.585258,1.19964,0.0056213,0.0112198,3.13867e-07,0.0288482,0.0288482,0.000304089
18,train,1,0,True,True,0.172562,0.177896,-0.00533429,0.173345,0.180978,0.00877756,0.00878115,0.172552,0.177886,False,0.0945535625,0.109405,0.0627158,0.162985,0.0719908,0.0762519,0.061514,0.105354,0.106212,0.340004,0.340053,0.894904,0.908856,1.6366e-08,0.000130202,0.101613,0.0587458,1.19944,0.0101128,0.0154471,0.0108866,0.0264345,0.0264345,0.000180689
19,train,5,1,True,True,0.174549,0.181085,-0.00653587,0.182137,0.191172,0.00517208,0.00480016,0.181075,0.174539,False,0.07863754499999999,0.0619372,0.137138,0.00940246,0.190614,0.0298969,0.0672517,0.0679365,0.0649236,0.337871,0.337643,0.910072,0.893739,0.146068,0.167648,0.167682,1.2,1.2,0.0116542,0.01819,0.136077,0.0273028,0.136077,0.000435897
20,train,2,0,True,True,0.193342,0.197537,-0.0041951,0.201384,0.208599,0.00711457,0.00713974,0.193332,0.197526,False,0.08612072500000001,0.0873275,0.0751646,0.128643,0.0528561,0.0724324,0.0652402,0.107091,0.100211,0.339282,0.339337,0.897983,0.906036,1.78123e-08,0.000456424,0.0822894,0.0587576,1.19944,0.0190529,0.023248,4.67554e-07,0.0249192,0.0249192,0.000180721
21,train,6,1,True,True,0.19422,0.203011,-0.00879108,0.201417,0.219979,0.0224359,0.0231111,0.203,0.194209,False,0.0727129575,0.0711002,0.116223,0.00114006,0.186989,0.0184093,0.0841135,0.0512026,0.052526,0.338365,0.336793,0.910039,0.893962,0.152306,0.179683,0.179683,1.2,1.2,0.0309243,0.0397154,0.111754,0.0257736,0.111754,0.000403868
22,train,3,0,True,True,0.214083,0.216833,-0.00274998,0.197568,0.207579,0.00620125,0.00671761,0.214072,0.216821,False,0.0908109125,0.0827663,0.151614,0.0740192,0.0562324,0.0673701,0.0666846,0.140929,0.0868717,0.338964,0.338799,0.900058,0.904229,1.76047e-08,0.00048452,0.132414,0.0587556,1.19944,0.0213066,0.0240566,5.94043e-07,0.0234353,0.0234353,0.000180374
23,train,7,1,True,True,0.215198,0.233572,-0.0183746,0.210684,0.221695,0.00965015,0.0110642,0.233559,0.215186,False,0.0802053375,0.170526,0.0829047,0.0276978,0.125892,0.0200674,0.122366,0.0433352,0.0488536,0.338261,0.337342,0.91471,0.889772,0.0929712,0.0787327,0.136798,1.19997,1.19997,0.00666838,0.025043,0.0314993,0.0242709,0.0314993,0.000432697
24,final_eval,0,0,False,False,0.235149,0.239949,-0.00480007,0.219548,0.239398,0.00525168,0.00588188,0.235136,0.239935,False,0.0842680125,0.174101,0.062073,0.0576346,0.102508,0.0365869,0.110417,0.0594082,0.0714154,0.337997,0.337217,1.14742,1.14734,,,,,,,,,,,
25,final_eval,1,0,False,False,0.234471,0.237839,-0.00336862,0.207136,0.217888,0.00802487,0.00887873,0.234458,0.237826,False,0.0942999125,0.109915,0.0622902,0.162727,0.0716928,0.0757827,0.0609226,0.105211,0.105858,0.339343,0.339069,1.13944,1.13945,,,,,,,,,,,
26,final_eval,2,0,False,False,0.239865,0.243678,-0.00381307,0.232868,0.240955,0.0063327,0.00693402,0.239851,0.243664,False,0.0860041,0.0874281,0.0749361,0.128634,0.0526998,0.0721719,0.0649719,0.107022,0.100169,0.338766,0.338736,1.13937,1.13936,,,,,,,,,,,
27,final_eval,3,0,False,False,0.237944,0.241562,-0.00361789,0.212774,0.222992,0.00583038,0.0063577,0.237931,0.241549,False,0.09071359999999999,0.0826191,0.151534,0.0738754,0.056294,0.0671997,0.0665382,0.140949,0.0866994,0.338704,0.338555,1.13944,1.13944,,,,,,,,,,,
28,final_eval,4,1,False,False,0.245719,0.240786,0.00493281,0.226201,0.246967,0.00603264,0.00674468,0.240773,0.245705,True,0.0816709875,0.0659816,0.144347,0.0473404,0.0997354,0.0660534,0.0360222,0.135246,0.0586419,0.338093,0.337328,1.13939,1.13937,,,,,,,,,,,
29,final_eval,5,1,False,False,0.25357,0.225994,0.027576,0.206567,0.275633,0.00460026,0.00300995,0.225981,0.253556,True,0.07845275625,0.0614704,0.137636,0.00889235,0.191235,0.0294828,0.0666708,0.0678807,0.064354,0.337547,0.335921,1.13959,1.13932,,,,,,,,,,,
30,final_eval,6,1,False,False,0.257587,0.225539,0.0320477,0.216584,0.284736,0.0217658,0.0284761,0.225527,0.257573,True,0.07266832349999999,0.070857,0.116563,0.000840688,0.187871,0.0181915,0.0837692,0.0511166,0.0521376,0.337893,0.333402,1.13946,1.13934,,,,,,,,,,,
31,final_eval,7,1,False,False,0.239677,0.233008,0.00666864,0.210605,0.240139,0.00965576,0.0106677,0.232995,0.239664,True,0.08017968749999999,0.170531,0.0827739,0.0276275,0.126238,0.0199737,0.122309,0.0432572,0.0487272,0.338218,0.337144,1.13937,1.13959,,,,,,,,,,,
