cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta
57,train,28,1,True,True,0.0869714,0.0827915,0.00417989,0.115858,0.120165,0.00834145,0.00867955,0.0827973,0.0869769,True,0.2961595,0.0869714,0.0827915,0.00417989,True,0.154622,0.361194,0.214988,0.453834,0.337047,0.337082,1.2,1.56511e-07,0.00863981,0.0501363,0.0509721,0.00417999,1.03672e-07,6.65053e-07,6.35591e-07,6.65053e-07,1.3401e-06
58,train,13,0,True,True,0.0936424,0.0822407,0.0114016,0.127041,0.115289,0.00389027,0.00650403,0.093648,0.0822466,True,0.50175075,0.0936424,0.0822407,0.0114016,True,0.50324,0.525332,0.489959,0.488472,0.335987,0.336705,3.37897e-07,1.2,0.0127292,0.049598,0.050438,0.0114037,2.04754e-06,6.65048e-07,6.35586e-07,6.65048e-07,1.34009e-06
59,train,29,1,True,True,0.103103,0.0853854,0.0177177,0.118527,0.136784,0.00885109,0.00854721,0.085391,0.103108,True,0.3406239999999999,0.103103,0.0853854,0.0177177,True,0.101853,0.563537,0.583379,0.113727,0.337212,0.336943,1.2,-1.73835e-05,0.0127453,0.052648,0.0534876,0.0177197,1.94014e-06,6.65043e-07,6.35581e-07,6.65043e-07,1.34009e-06
60,train,14,0,True,True,0.0915791,0.076981,0.0145981,0.124908,0.109851,0.00399147,0.00665807,0.0915845,0.0769864,True,0.74268025,0.0915791,0.076981,0.0145981,True,0.770073,0.660504,0.770071,0.770073,0.336142,0.336922,3.02631e-07,1.2,0.0126819,0.0444951,0.045337,0.0146044,6.301e-06,6.65037e-07,6.35576e-07,6.65037e-07,1.34008e-06
61,train,30,1,True,True,0.0987745,0.0871196,0.0116548,0.120316,0.132325,0.0106247,0.0104893,0.0871251,0.0987794,True,0.16665275000000002,0.0987745,0.0871196,0.0116548,True,0.08,0.214809,0.209604,0.162198,0.338214,0.337958,1.2,-4.56563e-05,0.0125134,0.0543337,0.0551695,0.0116555,6.53809e-07,6.65032e-07,6.3557e-07,6.65032e-07,1.34007e-06
62,train,15,0,True,True,0.0946817,0.0790968,0.015585,0.128112,0.112045,0.00389138,0.00661112,0.0946872,0.0791027,True,0.6019209999999999,0.0946817,0.0790968,0.015585,True,0.684604,0.467712,0.570865,0.684503,0.336051,0.336819,3.02624e-07,1.2,0.0127401,0.0465459,0.0473892,0.015588,3.06837e-06,6.65027e-07,6.35565e-07,6.65027e-07,1.34007e-06
63,train,31,1,True,True,0.0973105,0.0832871,0.0140234,0.116368,0.130818,0.00884226,0.00876161,0.0832929,0.0973156,True,0.29591825,0.0973105,0.0832871,0.0140234,True,0.106901,0.507163,0.389555,0.180054,0.337207,0.337039,1.2,-1.17033e-07,0.0125105,0.0506154,0.0514527,0.0140245,1.10648e-06,6.65021e-07,6.3556e-07,6.65021e-07,1.34006e-06
64,final_eval,0,0,False,False,0.094238,0.0815604,0.0126777,0.127655,0.114587,0.00386961,0.00652317,0.0942436,0.0815662,True,0.5246405,0.094238,0.0815604,0.0126777,True,0.531747,0.513496,0.535893,0.517426,0.33596,0.33669,1.19676,1.15076,,,,,,,,,
65,final_eval,1,0,False,False,0.0955323,0.0785173,0.017015,0.128988,0.111448,0.00386626,0.0066575,0.0955378,0.0785233,True,0.5838829999999999,0.0955323,0.0785173,0.017015,True,0.699918,0.417568,0.496653,0.721393,0.335984,0.336772,1.18668,1.14155,,,,,,,,,
66,final_eval,2,0,False,False,0.0858894,0.0810151,0.00487429,0.119046,0.114022,0.00434431,0.0065068,0.0858952,0.0810209,True,0.6401345,0.0858894,0.0810151,0.00487429,True,0.421678,0.770074,0.770073,0.598713,0.336117,0.336735,1.1768,1.13978,,,,,,,,,
67,final_eval,3,0,False,False,0.0918738,0.0774782,0.0143956,0.125218,0.110374,0.00398327,0.00664321,0.0918794,0.0774841,True,0.7129907499999999,0.0918738,0.0774782,0.0143956,True,0.692519,0.690144,0.72244,0.74686,0.336088,0.33686,1.16689,1.13985,,,,,,,,,
68,final_eval,4,0,False,False,0.0898854,0.0792891,0.0105963,0.123168,0.112243,0.00400832,0.00657073,0.0898912,0.079295,True,0.6744877499999999,0.0898854,0.0792891,0.0105963,True,0.516261,0.744647,0.770073,0.66697,0.336064,0.336797,1.15711,1.13979,,,,,,,,,
69,final_eval,5,0,False,False,0.0870675,0.0849164,0.00215102,0.120266,0.118048,0.00478582,0.00648567,0.0870734,0.0849222,True,0.438589,0.0870675,0.0849164,0.00215102,True,0.350727,0.486348,0.453581,0.4637,0.336113,0.336576,1.14744,1.13975,,,,,,,,,
70,final_eval,6,0,False,False,0.0947355,0.0798473,0.0148882,0.128167,0.11282,0.00388762,0.00657107,0.0947411,0.0798533,True,0.5992369999999999,0.0947355,0.0798473,0.0148882,True,0.674624,0.525695,0.662635,0.533994,0.336009,0.336759,1.13971,1.13986,,,,,,,,,
71,final_eval,7,0,False,False,0.0871127,0.0853298,0.00178287,0.120313,0.118474,0.0048638,0.00649752,0.0871185,0.0853356,True,0.43275399999999997,0.0871127,0.0853298,0.00178287,True,0.341263,0.434023,0.518626,0.437104,0.336125,0.336565,1.13986,1.13975,,,,,,,,,
72,final_eval,8,0,False,False,0.0928822,0.0804339,0.0124482,0.126258,0.113425,0.00391114,0.00655181,0.0928878,0.0804398,True,0.58055175,0.0928822,0.0804339,0.0124482,True,0.532435,0.498079,0.65046,0.641233,0.335999,0.336737,1.13973,1.13985,,,,,,,,,
73,final_eval,9,0,False,False,0.0893853,0.0805548,0.0088305,0.122652,0.113549,0.00404362,0.00652677,0.0893911,0.0805606,True,0.6326467499999999,0.0893853,0.0805548,0.0088305,True,0.483452,0.711219,0.770072,0.565844,0.336046,0.336749,1.13982,1.13981,,,,,,,,,
74,final_eval,10,0,False,False,0.0925955,0.082485,0.0101105,0.125962,0.115541,0.00406556,0.00666772,0.0926012,0.0824908,True,0.43758925,0.0925955,0.082485,0.0101105,True,0.4312,0.376196,0.445481,0.49748,0.335922,0.336646,1.13975,1.13979,,,,,,,,,
75,final_eval,11,0,False,False,0.095154,0.0792045,0.0159495,0.128598,0.112157,0.00388103,0.00662217,0.0951595,0.0792104,True,0.5810897500000001,0.095154,0.0792045,0.0159495,True,0.668544,0.46683,0.481908,0.707077,0.335993,0.336766,1.13975,1.13984,,,,,,,,,
76,final_eval,12,0,False,False,0.0916705,0.0771126,0.0145579,0.125006,0.109993,0.00399373,0.00666313,0.0916761,0.0771183,True,0.71808225,0.0916705,0.0771126,0.0145579,True,0.720509,0.728816,0.652934,0.77007,0.336093,0.336873,1.13981,1.13984,,,,,,,,,
77,final_eval,13,0,False,False,0.0936189,0.0822154,0.0114035,0.127017,0.115263,0.00389304,0.00650761,0.0936245,0.0822212,True,0.50175075,0.0936189,0.0822154,0.0114035,True,0.50324,0.525332,0.489959,0.488472,0.335945,0.336664,1.13976,1.13976,,,,,,,,,
78,final_eval,14,0,False,False,0.091554,0.076957,0.0145971,0.124882,0.109828,0.00399409,0.00666136,0.0915594,0.0769625,True,0.7426794999999999,0.091554,0.076957,0.0145971,True,0.770072,0.660504,0.77007,0.770072,0.3361,0.336881,1.1398,1.13986,,,,,,,,,
79,final_eval,15,0,False,False,0.0946571,0.0790751,0.015582,0.128086,0.112023,0.00389388,0.00661428,0.0946626,0.079081,True,0.6019209999999999,0.0946571,0.0790751,0.015582,True,0.684604,0.467712,0.570865,0.684503,0.336009,0.336778,1.13975,1.13979,,,,,,,,,
80,final_eval,16,1,False,False,0.0980098,0.084738,0.0132718,0.117863,0.131538,0.00841509,0.0084169,0.0847437,0.0980149,True,0.2865836,0.0980098,0.084738,0.0132718,True,0.0999604,0.412792,0.449507,0.184075,0.337066,0.336933,1.13989,1.13959,,,,,,,,,
81,final_eval,17,1,False,False,0.0943535,0.079392,0.0149615,0.112348,0.12777,0.00780892,0.00769332,0.0793978,0.0943587,True,0.42697925000000003,0.0943535,0.079392,0.0149615,True,0.091242,0.667252,0.734517,0.214906,0.33713,0.336918,1.13986,1.13981,,,,,,,,,
