cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,dp0,dn0,output_delta_net_0,dp1,dn1,output_delta_net_1,max_abs_output_delta_signal,max_output_delta_node,max_abs_hidden_delta_signal,max_hidden_delta_node,max_abs_hidden_delta_update_signal,max_hidden_delta_update_node
35,initial_eval,35,1,False,False,0.085007,0.0807977,0.00420927,0.113804,0.118142,0.00686479,0.00668923,0.0808051,0.0850143,True,0.1739980875,0.085007,0.0807977,0.00420927,True,0.325031,0.08,0.08,0.311602,0.114058,0.139827,0.245455,0.0960117,0.337785,0.337706,1.14036,1.14036,,,,,,,,,,,,,
36,initial_eval,36,1,False,False,0.0769874,0.0744916,0.00249583,0.107306,0.109878,0.00490699,0.00487452,0.0744994,0.0769951,True,0.26857425,0.0769874,0.0744916,0.00249583,True,0.166267,0.344374,0.298002,0.288656,0.41169,0.244247,0.180208,0.21515,0.336934,0.336926,1.14032,1.14033,,,,,,,,,,,,,
37,initial_eval,37,1,False,False,0.116008,0.108518,0.00749069,0.142359,0.150088,0.00278178,0.00279186,0.108524,0.116015,True,0.271348875,0.116008,0.108518,0.00749069,True,0.08,0.391374,0.40724,0.08,0.114058,0.134997,0.770072,0.19305,0.336425,0.33645,1.13988,1.13982,,,,,,,,,,,,,
38,initial_eval,38,1,False,False,0.121938,0.113304,0.00863417,0.147315,0.156217,0.00542917,0.0051926,0.113312,0.121946,True,0.24927246249999999,0.121938,0.113304,0.00863417,True,0.122524,0.308635,0.113946,0.342114,0.770069,0.104711,0.0812267,0.150954,0.336987,0.336924,1.14014,1.14012,,,,,,,,,,,,,
39,initial_eval,39,1,False,False,0.0976585,0.096167,0.00149147,0.129643,0.131179,0.00364474,0.00368457,0.0961743,0.0976657,True,0.22413239999999995,0.0976585,0.096167,0.00149147,True,0.106584,0.403124,0.414038,0.0929912,0.105694,0.100531,0.385071,0.185026,0.336476,0.3365,1.14036,1.14036,,,,,,,,,,,,,
40,train,0,0,True,True,0.103498,0.106867,-0.00336912,0.137195,0.140665,-0.000630048,-0.000668705,0.103505,0.106874,False,0.36323862500000004,0.103498,0.106867,-0.00336912,False,0.664006,0.347312,0.420621,0.448334,0.374241,0.221486,0.08,0.349909,0.335844,0.335843,1.20219,0.195963,1.04632,0.0743282,0.000849901,0.0734783,0.000849901,0.0743282,-0.0734783,0.0734783,0.0743282,1.54596e-06,0.0425191,4.77046e-08,0.0428911
41,train,20,1,True,True,0.105513,0.10953,-0.00401719,0.143422,0.13928,0.00251054,0.00281529,0.109538,0.105521,False,0.32801610000000003,0.105513,0.10953,-0.00401719,False,0.113786,0.504182,0.321666,0.329471,0.77007,0.0996948,0.237788,0.247471,0.336316,0.336435,0.187054,1.20159,1.04532,0.000854401,0.0769127,-0.0760583,0.0769127,0.000854401,0.0760583,0.0760583,0.0769127,3.82768e-06,0.0450239,1.0867e-07,0.0453969
42,train,1,0,True,True,0.128963,0.133976,-0.00501289,0.16341,0.168569,-1.80232e-05,-9.79003e-05,0.128969,0.133982,False,0.568408625,0.128963,0.133976,-0.00501289,False,0.770073,0.770073,0.770072,0.770073,0.38901,0.16426,0.143636,0.770072,0.335946,0.335939,0.444632,1.20826,0.0392307,0.100641,0.000853098,0.0997879,0.000853098,0.100641,-0.0997879,0.0997879,0.100641,9.56427e-28,7.29819e-28,9.56167e-28,7.2962e-28
43,train,21,1,True,True,0.11718,0.108404,0.00877557,0.142248,0.151284,-8.53595e-05,-0.00023951,0.108411,0.117186,True,0.41985174999999997,0.11718,0.108404,0.00877557,True,0.107908,0.617438,0.606871,0.247791,0.396243,0.315501,0.674424,0.392638,0.335865,0.335848,1.20177,0.173746,0.0262364,0.000878138,0.0758195,-0.0749414,0.0758195,0.000878138,0.0749414,0.0749414,0.0758195,9.01285e-57,3.00152e-56,9.01039e-57,3.0007e-56
44,train,2,0,True,True,0.113438,0.114071,-0.000633623,0.147431,0.148084,-0.00088001,-0.000968075,0.113445,0.114078,False,0.3669429,0.113438,0.114071,-0.000633623,False,0.433327,0.634002,0.607172,0.451917,0.272293,0.0885468,0.0878204,0.360465,0.335797,0.335784,0.563134,1.18711,0.0262567,0.0813197,0.000859115,0.0804606,0.000859115,0.0813197,-0.0804606,0.0804606,0.0813197,1.64407e-29,1.61091e-28,1.64362e-29,1.61047e-28
45,train,22,1,True,True,0.123439,0.109432,0.0140074,0.143302,0.157732,0.00269975,0.00243207,0.109438,0.123446,True,0.371706,0.123439,0.109432,0.0140074,True,0.112462,0.626863,0.584413,0.120865,0.25436,0.148003,0.770071,0.356611,0.336294,0.33625,1.20152,0.159482,0.0259536,0.000863329,0.0768162,-0.0759529,0.0768162,0.000863329,0.0759529,0.0759529,0.0768162,4.91929e-57,2.89375e-57,4.91795e-57,2.89296e-57
46,train,3,0,True,True,0.126455,0.123996,0.00245861,0.160833,0.158302,-0.000604326,-0.000552083,0.126461,0.124003,True,0.45541850000000006,0.126455,0.123996,0.00245861,True,0.548402,0.475704,0.594566,0.647233,0.133951,0.584446,0.111895,0.547151,0.335771,0.335777,1.2025,0.518137,1.04632,0.0909517,0.000859881,0.0900918,0.000859881,0.0909517,-0.0900918,0.0900918,0.0909517,4.84259e-06,0.0586397,1.30164e-07,0.0590114
47,train,23,1,True,True,0.102534,0.10066,0.00187403,0.134272,0.136203,0.00220769,0.00310011,0.100668,0.102542,True,0.3154834875,0.102534,0.10066,0.00187403,True,0.0837599,0.479907,0.444972,0.140128,0.297158,0.120504,0.702409,0.25503,0.336154,0.33647,1.20177,0.176259,0.0419011,0.000858096,0.0683065,-0.0674484,0.0683065,0.000858096,0.0674484,0.0674484,0.0683065,8.53478e-36,2.17292e-31,8.53246e-36,2.17233e-31
48,train,4,0,True,True,0.107667,0.0857754,0.0218912,0.141488,0.118936,0.000992046,0.00298972,0.107674,0.0857832,True,0.33332387500000005,0.107667,0.0857754,0.0218912,True,0.479241,0.427603,0.454394,0.476556,0.130635,0.194081,0.124699,0.379382,0.335842,0.336368,-2.40649e-05,1.19994,0.00683188,0.0538682,0.000853351,0.0530149,0.000853351,0.0538682,-0.0530149,0.0530149,0.0538682,1.25499e-56,9.31416e-57,1.25465e-56,9.31163e-57
49,train,24,1,True,True,0.0696261,0.069935,-0.000308929,0.102604,0.102281,0.010699,0.0110432,0.0699426,0.0696334,False,0.180859625,0.0696261,0.069935,-0.000308929,False,0.125702,0.245846,0.263411,0.131666,0.110366,0.172064,0.29023,0.107592,0.338929,0.339353,3.32267e-08,1.19996,1.0464,0.000842279,0.0385075,-0.0376653,0.0385075,0.000842279,0.0376653,0.0376653,0.0385075,1.30031e-05,0.00781431,4.79404e-07,0.00817577
50,train,5,0,True,True,0.0817696,0.0725517,0.00921786,0.114808,0.105304,0.00463473,0.00611858,0.0817772,0.0725594,True,0.246162625,0.0817696,0.0725517,0.00921786,True,0.343936,0.323118,0.344081,0.347788,0.12845,0.190829,0.093264,0.197835,0.336683,0.337328,3.31778e-08,1.19996,0.0182645,0.0410447,0.000829996,0.0402147,0.000829996,0.0410447,-0.0402147,0.0402147,0.0410447,4.87863e-37,3.47969e-32,4.8773e-37,3.47874e-32
51,train,25,1,True,True,0.0804124,0.0939399,-0.0135275,0.127349,0.113409,0.00408335,0.00545111,0.0939472,0.0804201,False,0.280322125,0.0804124,0.0939399,-0.0135275,False,0.116752,0.453388,0.482446,0.151576,0.152939,0.225295,0.405542,0.254639,0.336471,0.336989,3.31463e-08,1.19995,1.0464,0.000832452,0.0617871,-0.0609546,0.0617871,0.000832452,0.0609546,0.0609546,0.0617871,0.000450897,0.0303597,6.3262e-05,0.0307335
52,train,6,0,True,True,0.129673,0.0895114,0.0401613,0.164143,0.122784,-0.00213362,0.000172509,0.129679,0.0895192,True,0.57860775,0.129673,0.0895114,0.0401613,True,0.633768,0.770073,0.723852,0.569535,0.488999,0.591506,0.233341,0.617788,0.33557,0.336022,5.79894e-05,1.19993,0.0182493,0.057492,0.000846138,0.0566459,0.000846138,0.057492,-0.0566459,0.0566459,0.057492,2.18407e-34,2.92848e-31,2.18348e-34,2.92768e-31
53,train,26,1,True,True,0.0939435,0.094888,-0.000944465,0.128326,0.127353,0.00217398,0.00272306,0.0948954,0.0939509,False,0.334385875,0.0939435,0.094888,-0.000944465,False,0.117705,0.534373,0.376994,0.193935,0.549957,0.258089,0.383921,0.260113,0.336131,0.336325,0.0251158,1.19999,1.04536,0.000845061,0.0627069,-0.0618618,0.0627069,0.000845061,0.0618618,0.0618618,0.0627069,0.000468796,0.0312487,6.35258e-05,0.0316249
54,train,7,0,True,True,0.101668,0.085353,0.0163152,0.13531,0.118501,0.00103346,0.00241996,0.101675,0.0853607,True,0.40630837499999994,0.101668,0.085353,0.0163152,True,0.456787,0.651137,0.65153,0.499602,0.265059,0.193152,0.161731,0.371469,0.335966,0.336319,-1.74125e-05,1.19994,0.0183553,0.0534585,0.000845382,0.0526131,0.000845382,0.0534585,-0.0526131,0.0526131,0.0534585,9.18246e-35,1.29818e-31,9.17996e-35,1.29782e-31
55,train,27,1,True,True,0.0963332,0.0822927,0.0140405,0.115345,0.129817,0.00402809,0.00403018,0.0823003,0.0963405,True,0.335844625,0.0963332,0.0822927,0.0140405,True,0.139576,0.419892,0.233553,0.432655,0.770073,0.248706,0.189562,0.25274,0.336581,0.33662,1.19994,6.4561e-08,0.0131168,0.000841967,0.0504903,-0.0496484,0.0504903,0.000841967,0.0496484,0.0496484,0.0504903,1.17097e-57,1.75281e-57,1.17065e-57,1.75233e-57
56,train,8,0,True,True,0.104513,0.0889534,0.01556,0.13824,0.122211,0.000635923,0.00229911,0.104521,0.088961,True,0.30411545,0.104513,0.0889534,0.01556,True,0.501218,0.453388,0.451211,0.438229,0.0945425,0.130259,0.0872071,0.276869,0.335859,0.336268,1.91429e-05,1.19993,0.0126763,0.0569506,0.000839692,0.0561109,0.000839692,0.0569506,-0.0561109,0.0561109,0.0569506,3.96339e-57,3.92862e-57,3.96232e-57,3.92755e-57
57,train,28,1,True,True,0.1109,0.0902803,0.0206194,0.123578,0.144817,0.00538958,0.00471574,0.0902876,0.110906,True,0.2000757875,0.1109,0.0902803,0.0206194,True,0.0969991,0.224223,0.0812477,0.267701,0.636232,0.13221,0.0819935,0.08,0.33731,0.337105,1.19993,0.00014624,0.0126152,0.000844645,0.0582373,-0.0573927,0.0582373,0.000844645,0.0573927,0.0573927,0.0582373,2.67125e-57,2.32214e-57,2.67052e-57,2.32151e-57
58,train,9,0,True,True,0.108553,0.0827114,0.0258415,0.142401,0.115778,0.000261395,0.00279833,0.10856,0.0827192,True,0.397299,0.108553,0.0827114,0.0258415,True,0.633768,0.382031,0.461924,0.677347,0.117374,0.417784,0.129989,0.358175,0.335752,0.336339,-1.01472e-08,1.19994,0.0125456,0.0508966,0.00084563,0.050051,0.00084563,0.0508966,-0.050051,0.050051,0.0508966,2.87961e-57,4.45534e-57,2.87882e-57,4.45413e-57
59,train,29,1,True,True,0.060409,0.0581406,0.00226839,0.0903984,0.0927335,0.0130159,0.0131089,0.0581465,0.0604147,True,0.17063225,0.060409,0.0581406,0.00226839,True,0.167326,0.220959,0.201242,0.192989,0.206889,0.135926,0.120405,0.119322,0.340727,0.340894,1.19998,3.32938e-08,0.0126399,0.000840001,0.0270731,-0.0262331,0.0270731,0.000840001,0.0262331,0.0262331,0.0270731,3.09184e-57,2.23642e-57,3.091e-57,2.23582e-57
60,train,10,0,True,True,0.106522,0.0863331,0.0201888,0.140309,0.119511,-0.00126199,0.000422101,0.106529,0.086341,True,0.49313112499999995,0.106522,0.0863331,0.0201888,True,0.359347,0.662439,0.734393,0.515778,0.30394,0.547472,0.325115,0.496565,0.335645,0.335991,-3.64661e-05,1.19993,0.0124269,0.0544092,0.000821729,0.0535875,0.000821729,0.0544092,-0.0535875,0.0535875,0.0544092,1.46736e-74,2.00152e-74,1.46696e-74,2.00097e-74
61,train,30,1,True,True,0.0887403,0.0869592,0.00178117,0.120157,0.121992,0.00376688,0.00383349,0.0869668,0.0887478,True,0.29701243750000006,0.0887403,0.0869592,0.00178117,True,0.0976875,0.493411,0.47311,0.15735,0.279074,0.158222,0.463965,0.25328,0.336496,0.336548,1.19993,-5.19569e-05,0.0126355,0.000842697,0.0550162,-0.0541735,0.0550162,0.000842697,0.0541735,0.0541735,0.0550162,1.51741e-57,1.67162e-57,1.517e-57,1.67116e-57
62,train,11,0,True,True,0.0907828,0.0789284,0.0118545,0.124097,0.111879,0.00221042,0.00387104,0.0907904,0.0789362,True,0.29748745,0.0907828,0.0789284,0.0118545,True,0.403619,0.401778,0.463042,0.369689,0.0965016,0.204764,0.15483,0.285676,0.336131,0.336618,3.31533e-08,1.19995,0.0126879,0.0472279,0.000843161,0.0463847,0.000843161,0.0472279,-0.0463847,0.0463847,0.0472279,1.92952e-57,2.99907e-57,1.929e-57,2.99825e-57
63,train,31,1,True,True,0.0875005,0.0808906,0.00660988,0.113903,0.120715,0.00493186,0.00528526,0.0808983,0.087508,True,0.288042875,0.0875005,0.0808906,0.00660988,True,0.161394,0.322873,0.237898,0.359386,0.591248,0.303981,0.124776,0.202787,0.336755,0.336906,1.19995,3.31613e-08,0.0125414,0.000837191,0.0491307,-0.0482935,0.0491307,0.000837191,0.0482935,0.0482935,0.0491307,1.63309e-57,2.51489e-57,1.63265e-57,2.51421e-57
64,train,12,0,True,True,0.0975015,0.0833631,0.0141384,0.131018,0.11645,0.00124331,0.00289017,0.0975089,0.0833709,True,0.3282359625,0.0975015,0.0833631,0.0141384,True,0.507996,0.379869,0.429527,0.50881,0.0939397,0.258832,0.143253,0.303661,0.335966,0.336401,-4.23185e-07,1.19994,0.0125761,0.0515286,0.00083865,0.05069,0.00083865,0.0515286,-0.05069,0.05069,0.0515286,1.49757e-57,2.90085e-57,1.49716e-57,2.90006e-57
65,train,32,1,True,True,0.0781703,0.0792086,-0.00103834,0.112169,0.111098,0.00291999,0.00337989,0.0792165,0.0781781,False,0.280516375,0.0781703,0.0792086,-0.00103834,False,0.28902,0.349148,0.302907,0.375364,0.368515,0.190458,0.087437,0.281282,0.336369,0.336545,3.31864e-08,1.19995,1.0464,0.000840487,0.0474997,-0.0466592,0.0474997,0.000840487,0.0466592,0.0466592,0.0474997,6.17937e-05,0.016515,2.61021e-06,0.0168875
66,train,13,0,True,True,0.0842342,0.0746573,0.00957681,0.117349,0.107476,0.00387339,0.00552186,0.0842418,0.0746651,True,0.2596300125,0.0842342,0.0746573,0.00957681,True,0.300618,0.403654,0.470055,0.271086,0.10803,0.212289,0.0883571,0.222951,0.336535,0.337121,3.31703e-08,1.19996,0.0182691,0.0430863,0.000836566,0.0422498,0.000836566,0.0430863,-0.0422498,0.0422498,0.0430863,3.5262e-36,6.77069e-32,3.52524e-36,6.76884e-32
67,train,33,1,True,True,0.0834806,0.0773252,0.00615538,0.110228,0.116571,0.00542909,0.00491804,0.077333,0.0834882,True,0.2437802875,0.0834806,0.0773252,0.00615538,True,0.0857193,0.399819,0.309748,0.125395,0.360979,0.168719,0.336155,0.163708,0.336934,0.336782,1.19995,3.31725e-08,0.0130567,0.000834015,0.0456733,-0.0448393,0.0456733,0.000834015,0.0448393,0.0448393,0.0456733,2.07953e-57,3.13331e-57,2.07896e-57,3.13246e-57
