cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node,max_abs_hidden_delta_signal,max_hidden_delta_node,max_abs_hidden_delta_update_signal,max_hidden_delta_update_node,max_abs_hidden_delta_gate_signal,max_hidden_delta_gate_node
10,train,2,1,True,True,0.12639,0.121394,0.00499635,0.153336,0.157763,0.0123349,0.00908469,0.121387,0.126383,True,0.08935185,0.12639,0.121394,0.00499635,True,0.100715,0.0671481,0.149198,0.0403463,0.337286,0.337502,1.2,0.202182,1.14238,0.0884108,0.0884117,0.0620066,0.0637932,0.0618637,0.06362,1.2,1.2
11,train,3,0,True,True,0.112499,0.123578,-0.0110789,0.137824,0.150236,0.017304,0.0208604,0.112493,0.123571,False,0.107950825,0.112499,0.123578,-0.0110789,False,0.180353,0.0600898,0.095291,0.0960695,0.336835,0.336327,1.19999,0.548302,1.15019,0.0896663,0.0905316,0.0663891,0.0667228,0.0662361,0.0665691,1.2,1.2
12,train,0,0,True,True,0.132572,0.114718,0.017854,0.166943,0.144488,0.0160721,0.0079763,0.132569,0.114711,True,0.098582625,0.132572,0.114718,0.017854,True,0.0566912,0.194067,0.0473508,0.0962215,0.334646,0.337483,0.15918,1.2,1.15099,0.0819325,0.0819333,0.0565447,0.0565468,0.0564144,0.0564165,1.2,1.20004
13,train,1,1,True,True,0.124587,0.111877,0.0127095,0.142635,0.158506,0.0149743,0.0113046,0.111871,0.12458,True,0.09356862499999999,0.124587,0.111877,0.0127095,True,0.0606165,0.12753,-2.66591e-26,0.186128,0.337151,0.33621,1.2,0.166633,1.15099,0.0783156,0.0791761,0.0529612,0.0532532,0.0528392,0.0531304,1.2,1.2
14,train,2,1,True,True,0.116957,0.116562,0.000394662,0.150208,0.148271,0.0180932,0.00627479,0.116556,0.116951,True,0.08845995000000001,0.116957,0.116562,0.000394662,True,0.10026,0.0659964,0.148381,0.0392024,0.33624,0.337423,0.650576,1.19999,1.15089,0.083723,0.0837238,0.0569213,0.0582904,0.0567901,0.0581441,1.2,1.2
15,train,3,0,True,True,0.117943,0.113579,0.00436404,0.151522,0.13928,0.0125763,0.00848817,0.117936,0.113573,True,0.10756525,0.117943,0.113579,0.00436404,True,0.181776,0.0587646,0.0945063,0.0952141,0.336053,0.337952,0.208272,1.2,1.15094,0.0799659,0.0808281,0.0548236,0.0551282,0.0546972,0.0550012,1.2,1.2
16,train,0,0,True,True,0.124289,0.106434,0.0178551,0.158412,0.135651,0.0172458,0.00861518,0.124286,0.106428,True,0.09768322500000001,0.124289,0.106434,0.0178551,True,0.0557059,0.19386,0.046389,0.094778,0.334324,0.337482,0.144329,1.2,1.15022,0.0738935,0.0738943,0.0469518,0.0469537,0.0468435,0.0468455,1.2,1.2
17,train,1,1,True,True,0.117145,0.103296,0.0138484,0.13332,0.150807,0.0155559,0.0120059,0.103291,0.117138,True,0.09303675,0.117145,0.103296,0.0138484,True,0.059623,0.126663,-2.6072e-26,0.185861,0.337157,0.336157,1.2,0.138354,1.15099,0.0699958,0.0708508,0.0431212,0.043363,0.0430218,0.0432631,1.2,1.2
18,train,2,1,True,True,0.110451,0.108709,0.00174194,0.142046,0.142077,0.0187264,0.00680628,0.108703,0.110445,True,0.087530175,0.110451,0.108709,0.00174194,True,0.0997388,0.0648176,0.147535,0.0380293,0.336156,0.337274,1.2,0.251371,1.14675,0.0761064,0.0761072,0.0483819,0.0492612,0.0482703,0.0491471,1.2,1.2
19,train,3,0,True,True,0.111525,0.10578,0.0057449,0.144871,0.131253,0.0129431,0.00909393,0.111519,0.105775,True,0.10714675,0.111525,0.10578,0.0057449,True,0.183117,0.057439,0.0936809,0.0943501,0.335961,0.337864,0.183326,1.2,1.15029,0.0724038,0.0732607,0.0458854,0.046142,0.0457796,0.0460356,1.2,1.2
20,train,0,0,True,True,0.117815,0.0997948,0.01802,0.151771,0.128665,0.0183348,0.0092157,0.117813,0.0997893,True,0.096752725,0.117815,0.0997948,0.01802,True,0.0547055,0.1936,0.0453921,0.0933133,0.333985,0.337478,0.0690671,1.2,1.15099,0.067453,0.0674538,0.0393304,0.0393322,0.0392398,0.0392416,1.2,1.2
21,train,1,1,True,True,0.111095,0.0965379,0.0145574,0.126005,0.144598,0.0160452,0.0126607,0.0965326,0.111089,True,0.092484625,0.111095,0.0965379,0.0145574,True,0.0586095,0.125743,-2.54654e-26,0.185586,0.337156,0.336091,1.2,0.0393457,1.15099,0.0634441,0.0642946,0.0354342,0.0356365,0.0353526,0.0355544,1.2,1.2
22,train,2,1,True,True,0.106864,0.102649,0.00421462,0.135408,0.138974,0.0192632,0.00745021,0.102644,0.106858,True,0.086570975,0.106864,0.102649,0.00421462,True,0.0991528,0.0636175,0.146662,0.0368516,0.336077,0.336998,1.2,0.178636,1.15099,0.0702223,0.0702231,0.0422758,0.0423672,0.0421784,0.0422695,1.2,1.2
23,train,3,0,True,True,0.106258,0.0995349,0.00672273,0.139516,0.126065,0.0132368,0.0103765,0.106252,0.0995294,True,0.106691025,0.106258,0.0995349,0.00672273,True,0.184371,0.0561093,0.0928108,0.093473,0.335867,0.33761,0.087992,1.2,1.15099,0.0663489,0.0672017,0.0387791,0.0389988,0.0386897,0.0389089,1.2,1.2
24,train,0,0,True,True,0.112594,0.0938349,0.0187589,0.146421,0.122967,0.0193765,0.00987709,0.112593,0.0938297,True,0.09578519999999999,0.112594,0.0938349,0.0187589,True,0.0536841,0.193281,0.0443551,0.0918206,0.333626,0.337466,0.00128131,1.2,1.15099,0.0616719,0.0616727,0.0326076,0.0326092,0.0325324,0.032534,1.2,1.2
25,train,1,1,True,True,0.106104,0.0898453,0.0162589,0.119988,0.139529,0.016461,0.0132906,0.0898403,0.106099,True,0.091919925,0.106104,0.0898453,0.0162589,True,0.0575717,0.124805,-2.48366e-26,0.185303,0.337175,0.336014,1.2,9.67392e-05,1.15099,0.0569565,0.0578031,0.028139,0.0283069,0.0280741,0.0282416,0.0459856,1.19369
26,train,2,1,True,True,0.108663,0.0970958,0.0115672,0.1299,0.142223,0.0197116,0.00899428,0.0970904,0.108659,True,0.0855776,0.108663,0.0970958,0.0115672,True,0.0984963,0.0623924,0.145756,0.0356657,0.336033,0.33629,1.2,0.0476207,1.15099,0.0648349,0.0648357,0.0360058,0.0360844,0.0359228,0.0360012,1.2,1.2
27,train,3,0,True,True,0.101989,0.0937469,0.00824233,0.13523,0.122285,0.0127773,0.0132935,0.101984,0.0937417,True,0.1061994,0.101989,0.0937469,0.00824233,True,0.185537,0.0547791,0.091898,0.0925835,0.33485,0.336512,0.00134695,1.2,1.15099,0.0607382,0.0615873,0.032312,0.0324989,0.0322375,0.0324239,1.2,1.2
28,train,0,0,True,True,0.108353,0.0896574,0.0186957,0.142072,0.118374,0.0203804,0.0110556,0.108353,0.0896524,True,0.09478365,0.108353,0.0896574,0.0186957,True,0.0526436,0.19291,0.0432791,0.0903019,0.333249,0.337449,7.6055e-05,1.2,1.15099,0.05762,0.0576208,0.0280838,0.0280853,0.0280191,0.0280206,0.0459856,1.19369
29,train,1,1,True,True,0.101887,0.086347,0.0155399,0.115037,0.135202,0.0167995,0.0139157,0.0863423,0.101882,True,0.0913468,0.101887,0.086347,0.0155399,True,0.0565112,0.123862,-2.40215e-26,0.185014,0.337242,0.335926,1.2,-3.79386e-05,1.15099,0.0535668,0.0544102,0.0244371,0.0245814,0.0243808,0.0245247,0.0456177,1.18415
30,train,2,1,True,True,0.106673,0.0924908,0.0141821,0.1251,0.140175,0.0200366,0.013996,0.0924856,0.106669,True,0.0845511,0.106673,0.0924908,0.0141821,True,0.0977679,0.0611432,0.14482,0.0344733,0.336187,0.335778,1.2,0.00063705,1.15099,0.0603681,0.0603689,0.0309826,0.0310519,0.0309112,0.0309803,0.783361,1.2
31,train,3,0,True,True,0.0983411,0.0890522,0.00928897,0.131535,0.117315,0.0124116,0.0142591,0.0983366,0.0890473,True,0.10567172500000001,0.0983411,0.0890522,0.00928897,True,0.186614,0.0534468,0.0909416,0.0916845,0.335831,0.337397,2.61168e-05,1.2,1.15099,0.0561878,0.0570339,0.0272743,0.0274348,0.0272114,0.0273715,0.0460103,1.19369
32,train,0,0,True,True,0.104667,0.0843979,0.0202691,0.138295,0.114201,0.0461069,0.0143543,0.104668,0.0843932,True,0.093746225,0.104667,0.0843979,0.0202691,True,0.0515826,0.192477,0.0421651,0.0887602,0.207301,0.33707,-4.62822e-06,1.2,1.15099,0.052519,0.0525198,0.0225106,0.0225119,0.0224587,0.02246,0.0456422,1.18415
33,train,1,1,True,True,0.0983334,0.0822718,0.0160616,0.11066,0.131577,0.0170899,0.01454,0.0822673,0.0983296,True,0.090766175,0.0983334,0.0822718,0.0160616,True,0.0554267,0.12291,-2.33591e-26,0.184728,0.337346,0.335836,1.2,3.12332e-07,1.15099,0.0496175,0.0504581,0.0201848,0.0202999,0.0201382,0.0202531,0.0379231,1.17468
34,train,2,1,True,True,0.102877,0.0884575,0.0144192,0.120865,0.136264,0.016888,0.0146424,0.0884526,0.102873,True,0.0834908,0.102877,0.0884575,0.0144192,True,0.0969643,0.0598719,0.143851,0.033276,0.33668,0.335679,1.2,-1.05263e-05,1.15099,0.0564563,0.0564571,0.0266863,0.0267441,0.0266248,0.0266825,0.0285351,1.1653
35,train,3,0,True,True,0.0951779,0.0850071,0.0101708,0.128326,0.113088,0.0123094,0.0145869,0.0951742,0.0850024,True,0.1051074,0.0951779,0.0850071,0.0101708,True,0.187596,0.0521143,0.0899416,0.0907777,0.335822,0.337474,-1.25291e-05,1.2,1.15099,0.0522674,0.0531107,0.0230144,0.0231521,0.0229614,0.0230987,0.0192224,1.15598
36,final_eval,0,0,False,False,0.101428,0.0821062,0.0193216,0.134972,0.110608,0.0222388,0.0116626,0.101429,0.0821017,True,0.092680275,0.101428,0.0821062,0.0193216,True,0.0504996,0.191986,0.0410401,0.0871954,0.332503,0.337527,1.15087,1.1969,,,,,,,,,
37,final_eval,1,1,False,False,0.0963002,0.0777778,0.0185225,0.107301,0.12952,0.017296,0.0150012,0.0777735,0.0962972,True,0.09032989999999999,0.0963002,0.0777778,0.0185225,True,0.0545946,0.122193,-2.27647e-26,0.184532,0.337415,0.335728,1.14152,1.18677,,,,,,,,,
38,final_eval,2,1,False,False,0.101161,0.086379,0.0147815,0.11868,0.134496,0.0166307,0.0149681,0.0863742,0.101157,True,0.08294285,0.101161,0.086379,0.0147815,True,0.0965467,0.0592247,0.143335,0.032665,0.336717,0.335592,1.13971,1.17671,,,,,,,,,
39,final_eval,3,0,False,False,0.0949642,0.0843743,0.0105899,0.128098,0.111609,0.0123859,0.0146818,0.0949604,0.0843696,True,0.1049656,0.0949642,0.0843743,0.0105899,True,0.187869,0.0517717,0.0896743,0.0905474,0.335759,0.33747,1.13969,1.16693,,,,,,,,,
