cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2000ps,other_out_2000ps,margin_2000ps,correct_2000ps,target_out_2500ps,other_out_2500ps,margin_2500ps,correct_2500ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3500ps,other_out_3500ps,margin_3500ps,correct_3500ps,target_out_4000ps,other_out_4000ps,margin_4000ps,correct_4000ps,target_out_4500ps,other_out_4500ps,margin_4500ps,correct_4500ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal
26,train,2,0,True,True,0.0322057,0.032186,1.97122e-05,0.064061,0.0640407,0.0301658,0.0300361,0.0325532,0.0325336,True,0.065373775,0.0322057,0.032186,1.97122e-05,True,0.032428,0.0324083,1.97025e-05,True,0.0325436,0.0325239,1.96999e-05,True,0.0325541,0.0325345,1.96908e-05,True,0.0325533,0.0325336,1.96903e-05,True,0.0325525,0.0325328,1.96899e-05,True,0.0720482,0.0640503,0.0640951,0.0650591,0.0640502,0.0646483,0.0642778,0.0647612,0.342762,0.342824,0.97791,0.935425,0.0297301
27,train,3,0,True,True,0.0289938,0.0288749,0.000118921,0.0607445,0.0606217,0.0309576,0.0308449,0.0293396,0.0292207,True,0.0606823375,0.0289938,0.0288749,0.000118921,True,0.0292146,0.0290956,0.000118967,True,0.0293296,0.0292106,0.000118985,True,0.0293404,0.0292215,0.00011896,True,0.0293397,0.0292207,0.000118957,True,0.0293389,0.02922,0.000118954,True,0.0606787,0.0606794,0.0606929,0.0606783,0.0606791,0.0606938,0.0606778,0.0606787,0.343322,0.343506,1.15161,1.15304,0.000792172
28,train,4,0,True,True,0.0289865,0.0288674,0.000119018,0.0607361,0.0606133,0.0309606,0.030848,0.0293318,0.0292127,True,0.0606741375,0.0289865,0.0288674,0.000119018,True,0.0292069,0.0290878,0.000119065,True,0.0293217,0.0292026,0.000119084,True,0.0293326,0.0292135,0.000119058,True,0.0293318,0.0292128,0.000119055,True,0.0293311,0.029212,0.000119052,True,0.0606703,0.060671,0.060686,0.0606699,0.0606707,0.0606854,0.0606694,0.0606704,0.343326,0.34351,1.1424,1.14383,2.67219e-05
29,train,5,0,True,True,0.0289765,0.0288575,0.000119001,0.0607266,0.0606038,0.0309637,0.030851,0.0293223,0.0292033,True,0.0606644375,0.0289765,0.0288575,0.000119001,True,0.0291973,0.0290783,0.000119047,True,0.0293123,0.0291932,0.000119065,True,0.0293231,0.0292041,0.00011904,True,0.0293224,0.0292034,0.000119037,True,0.0293217,0.0292026,0.000119034,True,0.0606608,0.0606615,0.060675,0.0606604,0.0606612,0.0606759,0.0606599,0.0606608,0.34333,0.343515,1.13993,1.13993,6.47735e-06
30,train,6,1,True,True,0.0505833,0.0499333,0.000650025,0.0824139,0.0830872,0.0121812,0.0119273,0.0503348,0.0509873,True,0.09654212499999999,0.0505833,0.0499333,0.000650025,True,0.0508445,0.0501927,0.000651733,True,0.0509772,0.0503247,0.000652482,True,0.0509887,0.0503361,0.000652547,True,0.0509874,0.0503349,0.000652531,True,0.0509861,0.0503336,0.000652515,True,0.10075,0.0938413,0.0906509,0.102145,0.0945367,0.0912322,0.103834,0.0953469,0.337994,0.337892,1.2,4.82485e-07,0.00685825
31,train,7,1,True,True,0.050561,0.0499114,0.000649511,0.0823913,0.0830641,0.0121894,0.0119356,0.050313,0.050965,True,0.09650659999999998,0.050561,0.0499114,0.000649511,True,0.0508221,0.0501709,0.000651219,True,0.0509549,0.050303,0.000651976,True,0.0509664,0.0503144,0.000652043,True,0.0509652,0.0503131,0.000652026,True,0.0509639,0.0503119,0.00065201,True,0.100713,0.0938068,0.0906191,0.102105,0.0945029,0.0911986,0.103795,0.0953124,0.337997,0.337894,1.2,4.82486e-07,0.00603434
32,train,8,1,True,True,0.0289343,0.0290534,-0.000119109,0.060806,0.0606831,0.0309729,0.0308601,0.0293992,0.02928,False,0.060781274999999996,0.0289343,0.0290534,-0.000119109,False,0.0291551,0.0292742,-0.000119154,False,0.02927,0.0293892,-0.000119172,False,0.0292809,0.0294,-0.000119149,False,0.0292801,0.0293993,-0.000119146,False,0.0292794,0.0293985,-0.000119143,False,0.0608059,0.0607408,0.0608236,0.0607398,0.0607405,0.0607553,0.0607721,0.0608722,0.343328,0.343514,1.19701,1.1509,0.00880793
33,train,9,1,True,True,0.050517,0.0498684,0.000648588,0.0823475,0.0830193,0.0122061,0.0119525,0.0502702,0.0509213,True,0.0964383375,0.050517,0.0498684,0.000648588,True,0.0507783,0.0501281,0.000650291,True,0.0509112,0.0502601,0.00065104,True,0.0509227,0.0502716,0.000651106,True,0.0509214,0.0502703,0.00065109,True,0.0509201,0.050269,0.000651073,True,0.10064,0.0937426,0.0905562,0.102032,0.0944367,0.0911363,0.103718,0.0952449,0.338001,0.337899,1.2,4.82486e-07,0.00688181
34,train,10,1,True,True,0.0504938,0.0498458,0.000648028,0.0823244,0.0829956,0.012215,0.0119614,0.0502476,0.0508981,True,0.0964015,0.0504938,0.0498458,0.000648028,True,0.0507552,0.0501055,0.000649711,True,0.050888,0.0502376,0.00065046,True,0.0508995,0.050249,0.000650526,True,0.0508982,0.0502477,0.00065051,True,0.050897,0.0502465,0.000650494,True,0.100601,0.0937067,0.0905239,0.101991,0.0944015,0.0911021,0.103676,0.0952098,0.338004,0.337902,1.2,4.82487e-07,0.00606096
35,train,11,1,True,True,0.0504748,0.0498272,0.000647623,0.0823035,0.0829743,0.0122226,0.0119691,0.0502279,0.0508781,True,0.0963697,0.0504748,0.0498272,0.000647623,True,0.0507354,0.0500861,0.000649316,True,0.050868,0.0502179,0.000650061,True,0.0508795,0.0502293,0.000650127,True,0.0508782,0.0502281,0.000650111,True,0.0508769,0.0502268,0.000650095,True,0.100568,0.0936774,0.0904945,0.101957,0.0943704,0.0910721,0.103641,0.0951772,0.338006,0.337904,1.2,4.82487e-07,0.00609867
36,final_eval,0,0,False,False,0.0289177,0.0287985,0.000119233,0.0606659,0.0605428,0.0309852,0.0308723,0.0292635,0.0291442,True,0.06060415,0.0289177,0.0287985,0.000119233,True,0.0291385,0.0290192,0.000119278,True,0.0292534,0.0291341,0.000119297,True,0.0292643,0.029145,0.000119272,True,0.0292635,0.0291443,0.000119269,True,0.0292628,0.0291435,0.000119266,True,0.0606,0.0606049,0.0606142,0.0605996,0.0606003,0.0606151,0.0605991,0.0606,0.343318,0.343507,1.19701,1.1509,
37,final_eval,1,0,False,False,0.0306738,0.0306399,3.3933e-05,0.0624783,0.0624433,0.0309028,0.0307891,0.03102,0.030986,True,0.063221225,0.0306738,0.0306399,3.3933e-05,True,0.030895,0.0308611,3.39331e-05,True,0.0310101,0.0309762,3.39339e-05,True,0.0310208,0.0309869,3.392e-05,True,0.03102,0.0309861,3.39191e-05,True,0.0310193,0.0309853,3.39183e-05,True,0.0624596,0.0626113,0.0624637,0.0683926,0.0624597,0.062464,0.0624593,0.0624596,0.342876,0.343031,1.18744,1.1417,
38,final_eval,2,0,False,False,0.0320521,0.0320309,2.11231e-05,0.063903,0.0638813,0.0301983,0.0300681,0.0323999,0.0323788,True,0.0651928,0.0320521,0.0320309,2.11231e-05,True,0.0322746,0.0322535,2.1115e-05,True,0.0323902,0.0323691,2.1113e-05,True,0.0324008,0.0323797,2.11038e-05,True,0.0324,0.0323789,2.11032e-05,True,0.0323992,0.0323781,2.11027e-05,True,0.0718239,0.0638915,0.0639274,0.0648735,0.0638914,0.0644751,0.0640963,0.0645633,0.342779,0.342846,1.17795,1.13993,
39,final_eval,3,0,False,False,0.0288901,0.0287707,0.000119403,0.0606374,0.0605141,0.0309944,0.0308814,0.0292359,0.0291164,True,0.06057506249999999,0.0288901,0.0287707,0.000119403,True,0.0291108,0.0289914,0.000119449,True,0.0292258,0.0291063,0.000119467,True,0.0292367,0.0291172,0.000119442,True,0.0292359,0.0291165,0.000119439,True,0.0292352,0.0291158,0.000119436,True,0.0605714,0.0605721,0.0605857,0.060571,0.0605718,0.0605866,0.0605705,0.0605714,0.343331,0.343521,1.16853,1.13993,
40,final_eval,4,0,False,False,0.0288825,0.028763,0.000119471,0.0606288,0.0605054,0.0309974,0.0308844,0.0292277,0.0291082,True,0.060566474999999995,0.0288825,0.028763,0.000119471,True,0.0291029,0.0289834,0.000119518,True,0.0292177,0.0290982,0.000119537,True,0.0292285,0.029109,0.000119512,True,0.0292278,0.0291083,0.000119509,True,0.0292271,0.0291076,0.000119506,True,0.0605627,0.0605634,0.0605778,0.0605623,0.0605631,0.0605779,0.0605618,0.0605628,0.343335,0.343526,1.1592,1.13993,
41,final_eval,5,0,False,False,0.0288735,0.0287541,0.000119481,0.0606196,0.0604962,0.0310005,0.0308875,0.0292188,0.0290993,True,0.0605571625,0.0288735,0.0287541,0.000119481,True,0.0290939,0.0289744,0.000119528,True,0.0292088,0.0290892,0.000119547,True,0.0292196,0.0291001,0.000119522,True,0.0292189,0.0290994,0.000119519,True,0.0292182,0.0290986,0.000119516,True,0.0605535,0.0605542,0.0605678,0.0605531,0.0605539,0.0605687,0.0605526,0.0605535,0.343339,0.343531,1.14993,1.13993,
42,final_eval,6,1,False,False,0.0503201,0.0496758,0.000644238,0.082149,0.0828164,0.0122809,0.0120279,0.0500778,0.0507245,True,0.0961285875,0.0503201,0.0496758,0.000644238,True,0.0505815,0.0499355,0.000645937,True,0.0507144,0.0500677,0.000646688,True,0.0507259,0.0500791,0.000646754,True,0.0507246,0.0500779,0.000646738,True,0.0507233,0.0500766,0.000646722,True,0.100312,0.0934494,0.0902751,0.101695,0.0941378,0.0908496,0.10337,0.0949398,0.337981,0.337878,1.14051,1.13969,
43,final_eval,7,1,False,False,0.0502981,0.0496544,0.000643741,0.0821269,0.0827937,0.0122893,0.0120364,0.0500563,0.0507025,True,0.096094125,0.0502981,0.0496544,0.000643741,True,0.0505595,0.0499141,0.000645437,True,0.0506924,0.0500462,0.000646185,True,0.0507039,0.0500576,0.000646251,True,0.0507026,0.0500564,0.000646235,True,0.0507013,0.0500551,0.000646219,True,0.100275,0.0934162,0.0902438,0.101658,0.0941045,0.0908177,0.103332,0.0949058,0.337984,0.337881,1.13988,1.13988,
44,final_eval,8,1,False,False,0.0288246,0.0289443,-0.000119669,0.0606934,0.0605698,0.0310096,0.0308965,0.02929,0.0291703,False,0.060666199999999997,0.0288246,0.0289443,-0.000119669,False,0.0290453,0.029165,-0.000119715,False,0.0291603,0.02928,-0.000119734,False,0.0291711,0.0292908,-0.00011971,False,0.0291704,0.0292901,-0.000119707,False,0.0291696,0.0292893,-0.000119704,False,0.060689,0.0606279,0.0607082,0.0606268,0.0606276,0.0606424,0.0606532,0.0607545,0.343338,0.34353,1.13993,1.13993,
45,final_eval,9,1,False,False,0.0502547,0.049612,0.000642747,0.0820826,0.0827484,0.012306,0.0120532,0.0500136,0.0506588,True,0.09602485,0.0502547,0.049612,0.000642747,True,0.0505158,0.0498714,0.000644447,True,0.0506487,0.0500035,0.0006452,True,0.0506602,0.050015,0.000645267,True,0.050659,0.0500137,0.000645251,True,0.0506577,0.0500125,0.000645235,True,0.100203,0.0933504,0.0901815,0.101581,0.094038,0.0907529,0.103254,0.094838,0.337988,0.337886,1.13978,1.13978,
46,final_eval,10,1,False,False,0.0502316,0.0495893,0.000642264,0.0820602,0.0827255,0.0123147,0.012062,0.0499915,0.0506362,True,0.09598999999999999,0.0502316,0.0495893,0.000642264,True,0.0504932,0.0498492,0.00064395,True,0.0506261,0.0499814,0.0006447,True,0.0506376,0.0499929,0.000644767,True,0.0506364,0.0499916,0.000644751,True,0.0506351,0.0499904,0.000644735,True,0.100166,0.0933166,0.09015,0.101543,0.0940042,0.0907204,0.103216,0.0948038,0.337991,0.337888,1.13988,1.13988,
47,final_eval,11,1,False,False,0.0502113,0.0495695,0.000641799,0.0820389,0.0827037,0.0123227,0.0120701,0.0499711,0.0506154,True,0.095957025,0.0502113,0.0495695,0.000641799,True,0.0504725,0.049829,0.0006435,True,0.0506053,0.049961,0.000644247,True,0.0506168,0.0499725,0.000644313,True,0.0506155,0.0499712,0.000644297,True,0.0506142,0.04997,0.000644281,True,0.100131,0.0932865,0.0901195,0.101508,0.093972,0.0906906,0.103178,0.0947706,0.337993,0.33789,1.13988,1.13988,
