cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2750ps,other_out_2750ps,margin_2750ps,correct_2750ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3150ps,other_out_3150ps,margin_3150ps,correct_3150ps,target_out_3350ps,other_out_3350ps,margin_3350ps,correct_3350ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,dp0,dn0,output_delta_net_0,dp1,dn1,output_delta_net_1,max_abs_output_delta_signal,max_output_delta_node
10,initial_eval,10,0,False,False,0.101312,0.104517,-0.00320474,0.135048,0.138349,0.000639025,0.000629033,0.101421,0.104626,False,0.34533500000000006,0.101312,0.104517,-0.00320474,False,0.101368,0.104573,-0.00320477,False,0.101414,0.104619,-0.00320479,False,0.101424,0.104629,-0.00320468,False,0.101423,0.104628,-0.00320465,False,0.460057,0.36972,0.432466,0.52793,0.162337,0.257971,0.106189,0.44601,0.335919,0.335923,1.14036,1.14036,,,,,,,,,
11,initial_eval,11,0,False,False,0.114307,0.118233,-0.0039258,0.148432,0.152474,0.000263304,0.000248013,0.114417,0.118343,False,0.40108024999999997,0.114307,0.118233,-0.0039258,False,0.114364,0.11829,-0.00392584,False,0.11441,0.118336,-0.00392587,False,0.11442,0.118346,-0.00392576,False,0.114419,0.118344,-0.00392572,False,0.521068,0.418723,0.488581,0.608506,0.171098,0.317522,0.128222,0.554922,0.335886,0.335889,1.14007,1.14005,,,,,,,,,
12,initial_eval,12,0,False,False,0.144112,0.146962,-0.00284996,0.179113,0.182046,-0.00157209,-0.00161723,0.144222,0.147071,False,0.49262754999999997,0.144112,0.146962,-0.00284996,False,0.144169,0.147019,-0.00284998,False,0.144215,0.147065,-0.00284999,False,0.144226,0.147075,-0.00284982,False,0.144224,0.147074,-0.00284979,False,0.685667,0.646988,0.616585,0.599858,0.0876884,0.560507,0.109723,0.634004,0.335738,0.335728,1.13985,1.13985,,,,,,,,,
13,initial_eval,13,0,False,False,0.123299,0.126919,-0.00361932,0.15769,0.161416,-0.000109384,-0.000134493,0.123409,0.127028,False,0.41943698749999997,0.123299,0.126919,-0.00361932,False,0.123356,0.126975,-0.00361934,False,0.123402,0.127021,-0.00361936,False,0.123412,0.127031,-0.00361927,False,0.123411,0.12703,-0.00361923,False,0.599362,0.50374,0.580641,0.650401,0.0920689,0.244312,0.18933,0.495641,0.33592,0.335919,1.14035,1.14034,,,,,,,,,
14,initial_eval,14,0,False,False,0.133012,0.134427,-0.00141428,0.167689,0.169145,-0.00157351,-0.00160896,0.133122,0.134536,False,0.5126675,0.133012,0.134427,-0.00141428,False,0.133069,0.134483,-0.00141429,False,0.133115,0.134529,-0.00141429,False,0.133125,0.134539,-0.00141422,False,0.133124,0.134538,-0.0014142,False,0.423736,0.592923,0.632225,0.63737,0.432503,0.537697,0.160092,0.684794,0.335689,0.335685,1.14006,1.14008,,,,,,,,,
15,initial_eval,15,0,False,False,0.13867,0.144857,-0.00618755,0.173513,0.179881,0.000864304,0.000786168,0.138779,0.144967,False,0.456683375,0.13867,0.144857,-0.00618755,False,0.138726,0.144914,-0.00618778,False,0.138773,0.144961,-0.00618794,False,0.138783,0.144971,-0.00618791,False,0.138781,0.144969,-0.00618784,False,0.618181,0.572318,0.6045,0.673188,0.185134,0.114966,0.123926,0.761254,0.33602,0.336019,1.14008,1.14003,,,,,,,,,
16,initial_eval,16,0,False,False,0.0808767,0.0821627,-0.00128599,0.113992,0.115316,0.00280987,0.00277389,0.0809847,0.0822704,False,0.30304525,0.0808767,0.0821627,-0.00128599,False,0.0809317,0.0822176,-0.00128591,False,0.0809769,0.0822628,-0.00128585,False,0.0809869,0.0822726,-0.00128576,False,0.0809861,0.0822718,-0.00128575,False,0.22759,0.408197,0.427667,0.31717,0.305109,0.211941,0.203672,0.323016,0.336404,0.3364,1.14036,1.14036,,,,,,,,,
17,initial_eval,17,0,False,False,0.140491,0.141279,-0.000787766,0.175406,0.176193,6.04326e-05,7.61321e-05,0.140608,0.141386,False,0.48927899999999996,0.140491,0.141279,-0.000787766,False,0.140551,0.141335,-0.000783151,False,0.140601,0.14138,-0.000779364,False,0.140611,0.14139,-0.000778419,False,0.14061,0.141388,-0.000778412,False,0.640951,0.717267,0.770108,0.685167,0.108697,0.284195,0.178522,0.529325,0.335955,0.335959,1.13958,1.13958,,,,,,,,,
18,initial_eval,18,0,False,False,0.149778,0.148357,0.00142068,0.184962,0.183498,-0.00264419,-0.00264007,0.149894,0.148473,True,0.650415,0.149778,0.148357,0.00142068,True,0.149838,0.148417,0.00142116,True,0.149888,0.148466,0.00142155,True,0.149898,0.148476,0.00142167,True,0.149897,0.148475,0.00142166,True,0.396961,0.77011,0.770111,0.710292,0.629719,0.710614,0.445404,0.770109,0.335622,0.335623,1.14003,1.14005,,,,,,,,,
19,initial_eval,19,0,False,False,0.142353,0.148149,-0.00579581,0.1773,0.183292,0.000350278,0.00028515,0.142461,0.148268,False,0.531149875,0.142353,0.148149,-0.00579581,False,0.142409,0.148211,-0.00580136,False,0.142455,0.148261,-0.00580592,False,0.142465,0.148272,-0.00580693,False,0.142463,0.14827,-0.00580687,False,0.77011,0.613438,0.73708,0.77011,0.288301,0.178341,0.121709,0.77011,0.336007,0.336006,1.1402,1.14012,,,,,,,,,
20,initial_eval,20,0,False,False,0.142989,0.147321,-0.00433189,0.177953,0.182421,-0.000660074,-0.000723403,0.143096,0.147432,False,0.529248375,0.142989,0.147321,-0.00433189,False,0.143044,0.147378,-0.00433405,False,0.14309,0.147426,-0.0043358,False,0.1431,0.147436,-0.00433615,False,0.143098,0.147434,-0.0043361,False,0.75562,0.482195,0.633557,0.770111,0.106731,0.619649,0.159538,0.706586,0.335847,0.335839,1.14012,1.14013,,,,,,,,,
21,initial_eval,21,0,False,False,0.117327,0.120222,-0.00289471,0.151542,0.154522,8.32144e-05,3.80946e-06,0.117437,0.120331,False,0.3978995,0.117327,0.120222,-0.00289471,False,0.117384,0.120278,-0.00289473,False,0.11743,0.120324,-0.00289474,False,0.11744,0.120334,-0.00289462,False,0.117439,0.120333,-0.00289459,False,0.618181,0.473595,0.444862,0.551244,0.122733,0.505327,0.128291,0.338963,0.33582,0.335807,1.14036,1.14036,,,,,,,,,
22,initial_eval,22,0,False,False,0.127322,0.124465,0.00285726,0.161843,0.158896,-0.00117528,-0.00120056,0.127436,0.124576,True,0.512519375,0.127322,0.124465,0.00285726,True,0.127381,0.124523,0.00285839,True,0.127429,0.12457,0.0028593,True,0.127439,0.12458,0.00285953,True,0.127438,0.124579,0.0028595,True,0.572917,0.476237,0.588594,0.770108,0.330766,0.770108,0.260624,0.330801,0.33577,0.335762,1.14007,1.14013,,,,,,,,,
23,initial_eval,23,0,False,False,0.134546,0.141122,-0.0065753,0.169269,0.176047,-0.000261568,-0.000330666,0.134656,0.141235,False,0.493213875,0.134546,0.141122,-0.0065753,False,0.134603,0.14118,-0.00657726,False,0.13465,0.141228,-0.00657885,False,0.134659,0.141239,-0.00657919,False,0.134658,0.141237,-0.00657912,False,0.77011,0.473998,0.604056,0.755224,0.421596,0.138322,0.137644,0.644761,0.335851,0.335853,1.14008,1.13998,,,,,,,,,
24,initial_eval,24,0,False,False,0.0974269,0.0993404,-0.0019136,0.131046,0.133017,0.000834679,0.000874519,0.097536,0.0994495,False,0.35681999999999997,0.0974269,0.0993404,-0.0019136,False,0.0974827,0.0993963,-0.0019136,False,0.0975285,0.0994421,-0.0019136,False,0.0975386,0.0994521,-0.0019135,False,0.0975376,0.0994511,-0.00191348,False,0.516789,0.262486,0.42709,0.516068,0.296973,0.399473,0.14388,0.291801,0.335982,0.335996,1.14036,1.14036,,,,,,,,,
25,initial_eval,25,0,False,False,0.138668,0.134741,0.00392701,0.173523,0.169466,-0.00131793,-0.00130252,0.138782,0.134849,True,0.5605720000000001,0.138668,0.134741,0.00392701,True,0.138727,0.134797,0.0039301,True,0.138775,0.134843,0.00393263,True,0.138786,0.134852,0.00393322,True,0.138784,0.134851,0.00393318,True,0.50609,0.566316,0.698648,0.753646,0.289464,0.77011,0.251963,0.648339,0.335782,0.335782,1.13975,1.13982,,,,,,,,,
26,initial_eval,26,0,False,False,0.145294,0.151826,-0.00653168,0.180344,0.187079,-0.000564852,-0.000633445,0.145409,0.151946,False,0.56039925,0.145294,0.151826,-0.00653168,False,0.145354,0.151888,-0.00653446,False,0.145402,0.151939,-0.00653674,False,0.145413,0.15195,-0.0065372,False,0.145411,0.151948,-0.00653714,False,0.436849,0.770108,0.681453,0.713739,0.77011,0.151298,0.22418,0.735457,0.335888,0.335889,1.14006,1.13995,,,,,,,,,
27,initial_eval,27,0,False,False,0.149627,0.155898,-0.00627046,0.184806,0.191272,0.000664949,0.000591424,0.149743,0.156019,False,0.5420510000000001,0.149627,0.155898,-0.00627046,False,0.149687,0.155961,-0.00627331,False,0.149737,0.156012,-0.00627566,False,0.149747,0.156023,-0.00627615,False,0.149745,0.156021,-0.00627609,False,0.77011,0.770111,0.770111,0.770111,0.241903,0.12439,0.119561,0.770111,0.336042,0.33604,1.14007,1.14006,,,,,,,,,
28,initial_eval,28,0,False,False,0.107505,0.111075,-0.00356992,0.141427,0.145103,0.000435705,0.000392687,0.107614,0.111184,False,0.36707737499999993,0.107505,0.111075,-0.00356992,False,0.107561,0.111131,-0.00356996,False,0.107607,0.111177,-0.00356999,False,0.107617,0.111187,-0.00356987,False,0.107616,0.111186,-0.00356983,False,0.52447,0.365733,0.453304,0.600734,0.118889,0.344019,0.136189,0.393281,0.335859,0.335855,1.14036,1.14036,,,,,,,,,
29,initial_eval,29,0,False,False,0.11661,0.119222,-0.00261174,0.150803,0.153492,0.000674819,0.000634499,0.116719,0.119331,False,0.36093624999999996,0.11661,0.119222,-0.00261174,False,0.116666,0.119278,-0.00261175,False,0.116712,0.119324,-0.00261175,False,0.116722,0.119334,-0.00261165,False,0.116721,0.119333,-0.00261162,False,0.531274,0.502889,0.534256,0.557204,0.152056,0.089561,0.157529,0.362721,0.335986,0.335985,1.1401,1.1401,,,,,,,,,
30,initial_eval,30,0,False,False,0.139069,0.142655,-0.00358639,0.173924,0.177615,0.000855444,0.00082018,0.139178,0.142764,False,0.4866560000000001,0.139069,0.142655,-0.00358639,False,0.139126,0.142712,-0.00358643,False,0.139172,0.142759,-0.00358646,False,0.139182,0.142768,-0.00358642,False,0.13918,0.142767,-0.00358638,False,0.743989,0.637715,0.708511,0.703339,0.198008,0.152937,0.1903,0.558449,0.336099,0.3361,1.13993,1.13991,,,,,,,,,
31,initial_eval,31,0,False,False,0.0891167,0.0919095,-0.00279282,0.122484,0.125361,0.00128009,0.0012343,0.0892254,0.092018,False,0.315127875,0.0891167,0.0919095,-0.00279282,False,0.0891722,0.091965,-0.00279285,False,0.0892177,0.0920106,-0.00279287,False,0.0892277,0.0920205,-0.00279276,False,0.0892268,0.0920196,-0.00279273,False,0.291619,0.360851,0.342939,0.426903,0.444661,0.192956,0.107367,0.353727,0.336029,0.336025,1.14036,1.14036,,,,,,,,,
32,initial_eval,32,1,False,False,0.0961318,0.0939291,0.00220265,0.127442,0.129711,0.00153042,0.00158637,0.094038,0.0962405,True,0.3103241375,0.0961318,0.0939291,0.00220265,True,0.0961875,0.0939848,0.00220265,True,0.0962332,0.0940305,0.00220265,True,0.096243,0.0940405,0.00220257,True,0.0962421,0.0940395,0.00220255,True,0.0938811,0.456305,0.374484,0.163556,0.490971,0.26999,0.367252,0.266154,0.336116,0.336137,1.14018,1.14018,,,,,,,,,
33,initial_eval,33,1,False,False,0.0891874,0.085458,0.00372936,0.118713,0.122556,0.00383452,0.00377464,0.0855663,0.0892956,True,0.2686391125,0.0891874,0.085458,0.00372936,True,0.0892428,0.0855133,0.00372946,True,0.0892882,0.0855587,0.00372953,True,0.089298,0.0855685,0.00372943,True,0.0892971,0.0855677,0.00372939,True,0.361298,0.0966629,0.122031,0.492813,0.349183,0.300039,0.218776,0.20831,0.336575,0.336566,1.14032,1.1403,,,,,,,,,
34,initial_eval,34,1,False,False,0.0897749,0.0883712,0.00140364,0.121715,0.123161,0.00354923,0.00357763,0.0884795,0.0898829,True,0.247402075,0.0897749,0.0883712,0.00140364,True,0.0898302,0.0884266,0.00140359,True,0.0898756,0.088472,0.00140355,True,0.0898853,0.0884818,0.00140349,True,0.0898844,0.0884809,0.00140347,True,0.0838406,0.400537,0.39741,0.10904,0.266488,0.131902,0.385266,0.204733,0.336501,0.33652,1.14021,1.14023,,,,,,,,,
35,initial_eval,35,1,False,False,0.109193,0.104369,0.0048237,0.138197,0.143165,0.000442203,0.000344516,0.104478,0.109302,True,0.28502317499999996,0.109193,0.104369,0.0048237,True,0.109249,0.104425,0.00482378,True,0.109295,0.104471,0.00482383,True,0.109305,0.104481,0.00482372,True,0.109304,0.10448,0.00482367,True,0.497202,0.08,0.0873754,0.571344,0.284368,0.089561,0.410277,0.260058,0.336046,0.336045,1.14006,1.14002,,,,,,,,,
36,initial_eval,36,1,False,False,0.138282,0.139339,-0.0010564,0.17422,0.173109,-0.000205125,-0.000175024,0.139455,0.138389,False,0.466907525,0.138282,0.139339,-0.0010564,False,0.138338,0.139399,-0.0010612,False,0.138383,0.139449,-0.00106515,False,0.138393,0.139459,-0.00106608,False,0.138392,0.139458,-0.00106607,False,0.16197,0.684524,0.770109,0.221052,0.0829502,0.459844,0.75628,0.598531,0.335958,0.335963,1.13981,1.13987,,,,,,,,,
37,initial_eval,37,1,False,False,0.127947,0.123988,0.00395831,0.158394,0.162479,0.00178749,0.00178235,0.124095,0.128058,True,0.33589074999999996,0.127947,0.123988,0.00395831,True,0.128004,0.124044,0.00396027,True,0.128051,0.124089,0.00396186,True,0.128061,0.124099,0.00396218,True,0.12806,0.124097,0.00396214,True,0.102989,0.509698,0.564957,0.103372,0.107356,0.134907,0.770113,0.393734,0.3361,0.336111,1.1403,1.14025,,,,,,,,,
38,initial_eval,38,1,False,False,0.0995728,0.0971825,0.00239037,0.130794,0.133256,-0.000802405,-0.00078264,0.0972918,0.099682,True,0.382305125,0.0995728,0.0971825,0.00239037,True,0.0996287,0.0972383,0.00239039,True,0.0996745,0.0972841,0.0023904,True,0.0996846,0.0972943,0.00239028,True,0.0996836,0.0972933,0.00239026,True,0.370735,0.363315,0.391723,0.528047,0.377254,0.374888,0.202841,0.449638,0.335712,0.335722,1.14036,1.14036,,,,,,,,,
39,initial_eval,39,1,False,False,0.0866523,0.0843822,0.00227015,0.117603,0.119942,0.00457441,0.00461421,0.0844897,0.0867597,True,0.20175882499999997,0.0866523,0.0843822,0.00227015,True,0.0867073,0.0844371,0.00227013,True,0.0867524,0.0844823,0.00227012,True,0.086762,0.0844919,0.00227006,True,0.0867611,0.0844911,0.00227003,True,0.0808779,0.279686,0.34867,0.0841486,0.0901021,0.181483,0.39448,0.154623,0.337015,0.337037,1.14036,1.14035,,,,,,,,,
40,initial_eval,40,1,False,False,0.0793964,0.0782642,0.00113219,0.111297,0.112463,0.00623346,0.00631078,0.0783711,0.0795029,True,0.21241474999999999,0.0793964,0.0782642,0.00113219,True,0.0794508,0.0783187,0.00113204,True,0.0794955,0.0783635,0.00113192,True,0.079505,0.0783731,0.00113185,True,0.0795042,0.0783724,0.00113184,True,0.133549,0.283897,0.37404,0.08,0.19023,0.105815,0.336074,0.195713,0.337351,0.337404,1.14031,1.14032,,,,,,,,,
41,initial_eval,41,1,False,False,0.0799165,0.0777967,0.00211982,0.110816,0.113,0.00542824,0.00541812,0.0779039,0.0800235,True,0.24675849999999996,0.0799165,0.0777967,0.00211982,True,0.0799711,0.0778513,0.0021198,True,0.080016,0.0778962,0.00211979,True,0.0800256,0.0779059,0.00211973,True,0.0800248,0.0779051,0.00211971,True,0.105732,0.36215,0.325922,0.165835,0.384943,0.156351,0.267067,0.206068,0.337005,0.337009,1.14027,1.14025,,,,,,,,,
42,initial_eval,42,1,False,False,0.0637572,0.0608895,0.00286775,0.0933482,0.0963088,0.0112449,0.0112475,0.0609827,0.0638518,True,0.18587850000000003,0.0637572,0.0608895,0.00286775,True,0.0638051,0.0609366,0.00286851,True,0.063845,0.0609759,0.00286908,True,0.0638535,0.0609843,0.00286913,True,0.0638528,0.0609837,0.0028691,True,0.212831,0.207436,0.26523,0.224674,0.113793,0.145288,0.128915,0.188861,0.339751,0.339724,1.14036,1.14036,,,,,,,,,
43,initial_eval,43,1,False,False,0.113504,0.105076,0.00842786,0.138947,0.147638,0.00552121,0.0053535,0.105194,0.113626,True,0.2728295,0.113504,0.105076,0.00842786,True,0.113567,0.105137,0.00843037,True,0.113618,0.105186,0.00843241,True,0.113629,0.105196,0.00843278,True,0.113628,0.105195,0.0084327,True,0.11078,0.257738,0.13034,0.399908,0.770111,0.240898,0.097806,0.175055,0.337013,0.33696,1.13979,1.13973,,,,,,,,,
44,initial_eval,44,1,False,False,0.111685,0.105875,0.00581022,0.139748,0.145731,0.0013365,0.00126566,0.105984,0.111794,True,0.32688025,0.111685,0.105875,0.00581022,True,0.111741,0.105931,0.00581032,True,0.111787,0.105977,0.00581039,True,0.111797,0.105987,0.00581027,True,0.111796,0.105986,0.00581022,True,0.463514,0.106965,0.08,0.646135,0.52235,0.243356,0.304203,0.248519,0.336148,0.336145,1.1402,1.14021,,,,,,,,,
45,initial_eval,45,1,False,False,0.0670309,0.0630152,0.00401566,0.0955472,0.0996954,0.0114418,0.0113595,0.0631109,0.0671293,True,0.16899925000000002,0.0670309,0.0630152,0.00401566,True,0.0670809,0.0630637,0.00401724,True,0.0671224,0.063104,0.00401843,True,0.0671311,0.0631125,0.00401857,True,0.0671304,0.0631119,0.00401853,True,0.229949,0.132228,0.173526,0.267329,0.185581,0.149795,0.08,0.133586,0.340151,0.340038,1.14036,1.14036,,,,,,,,,
46,initial_eval,46,1,False,False,0.0951986,0.093964,0.00123462,0.127478,0.12875,0.00173842,0.00173467,0.0940729,0.0953074,True,0.31425375,0.0951986,0.093964,0.00123462,True,0.0952543,0.0940197,0.00123458,True,0.0953,0.0940655,0.00123456,True,0.0953099,0.0940754,0.00123447,True,0.0953089,0.0940745,0.00123446,True,0.099258,0.348219,0.354446,0.303381,0.520741,0.456976,0.180046,0.250963,0.336157,0.336157,1.13995,1.13996,,,,,,,,,
47,initial_eval,47,1,False,False,0.116674,0.10741,0.00926408,0.141353,0.150905,0.00652028,0.006322,0.107528,0.116797,True,0.26820795,0.116674,0.10741,0.00926408,True,0.116737,0.107471,0.00926677,True,0.116789,0.10752,0.00926897,True,0.1168,0.107531,0.00926938,True,0.116799,0.10753,0.00926929,True,0.162354,0.228891,0.0978166,0.426085,0.77011,0.161678,0.13612,0.162609,0.337313,0.337248,1.14008,1.13998,,,,,,,,,
48,initial_eval,48,1,False,False,0.0913907,0.0881871,0.00320363,0.121526,0.124827,0.00468951,0.00467005,0.0882956,0.0914992,True,0.253805,0.0913907,0.0881871,0.00320363,True,0.0914463,0.0882426,0.00320369,True,0.0914919,0.0882881,0.00320373,True,0.0915016,0.0882979,0.00320369,True,0.0915007,0.088297,0.00320365,True,0.08,0.351668,0.279981,0.202821,0.554981,0.115102,0.24642,0.199467,0.336901,0.336906,1.14036,1.14036,,,,,,,,,
49,initial_eval,49,1,False,False,0.129327,0.130648,-0.00132115,0.165273,0.163896,-0.0011939,-0.00117128,0.130764,0.129436,False,0.49324362499999996,0.129327,0.130648,-0.00132115,False,0.129383,0.130708,-0.00132446,False,0.12943,0.130757,-0.00132718,False,0.129439,0.130767,-0.00132787,False,0.129438,0.130766,-0.00132786,False,0.437398,0.585711,0.328765,0.48025,0.766049,0.77011,0.148938,0.428728,0.335727,0.335731,1.13976,1.1398,,,,,,,,,
50,initial_eval,50,1,False,False,0.103193,0.10321,-1.73184e-05,0.137003,0.136985,0.0030043,0.00298103,0.103319,0.103302,False,0.25741375,0.103193,0.10321,-1.73184e-05,False,0.103249,0.103266,-1.73947e-05,False,0.103294,0.103312,-1.74516e-05,False,0.103304,0.103322,-1.74904e-05,False,0.103303,0.103321,-1.74902e-05,False,0.121863,0.439552,0.500355,0.112137,0.08,0.123707,0.406674,0.275022,0.336307,0.336307,1.14036,1.14036,,,,,,,,,
51,initial_eval,51,1,False,False,0.118904,0.111513,0.00739127,0.145555,0.153166,0.00638424,0.00622219,0.111622,0.119014,True,0.208235925,0.118904,0.111513,0.00739127,True,0.118961,0.11157,0.00739136,True,0.119007,0.111616,0.00739143,True,0.119017,0.111625,0.00739137,True,0.119015,0.111624,0.00739129,True,0.0934422,0.186428,0.10577,0.280885,0.673256,0.147746,0.0947575,0.0836027,0.337522,0.337463,1.14012,1.14003,,,,,,,,,
52,initial_eval,52,1,False,False,0.0700928,0.0674129,0.00267991,0.100101,0.102864,0.00879602,0.00880362,0.0675156,0.0701956,True,0.19452275,0.0700928,0.0674129,0.00267991,True,0.0701451,0.067465,0.00268003,True,0.0701882,0.0675081,0.00268012,True,0.0701974,0.0675173,0.00268006,True,0.0701967,0.0675167,0.00268003,True,0.08,0.25617,0.274205,0.152513,0.299029,0.186263,0.182402,0.1256,0.338495,0.338493,1.14036,1.14036,,,,,,,,,
53,initial_eval,53,1,False,False,0.101474,0.0972341,0.00423986,0.130848,0.135215,0.00115634,0.00115297,0.0973434,0.101583,True,0.36896112499999995,0.101474,0.0972341,0.00423986,True,0.10153,0.09729,0.00423994,True,0.101576,0.0973359,0.00423999,True,0.101586,0.0973459,0.00423987,True,0.101585,0.097345,0.00423983,True,0.490344,0.306697,0.332631,0.596352,0.292771,0.227785,0.206721,0.498388,0.336088,0.336097,1.13994,1.13992,,,,,,,,,
54,initial_eval,54,1,False,False,0.0929013,0.0919757,0.000925584,0.125429,0.126382,0.00389331,0.00390286,0.0920842,0.0930096,True,0.2491034375,0.0929013,0.0919757,0.000925584,True,0.0929568,0.0920313,0.000925518,True,0.0930023,0.0920769,0.000925468,True,0.0930121,0.0920866,0.000925417,True,0.0930111,0.0920857,0.000925407,True,0.0908635,0.402777,0.436154,0.113948,0.189068,0.119883,0.402171,0.237963,0.336518,0.336532,1.14028,1.14031,,,,,,,,,
