cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10
12,initial_eval,12,0,False,False,0.201534,0.197744,0.00378969,0.238064,0.234168,0.0216824,0.020873,0.201533,0.197744,True,0.3154485,0.201534,0.197744,0.00378969,True,0.315887,0.316287,0.311309,0.318311,0.3364,0.336367,1.13941,1.1395
13,initial_eval,13,0,False,False,0.183351,0.193287,-0.00993578,0.21937,0.229585,0.0172633,0.0165099,0.183352,0.193287,False,0.2813505,0.183351,0.193287,-0.00993578,False,0.281628,0.284912,0.27955,0.279312,0.336746,0.336662,1.13972,1.13958
14,initial_eval,14,0,False,False,0.202525,0.1979,0.00462492,0.239083,0.234328,0.0238801,0.0230098,0.202524,0.1979,True,0.317381,0.202525,0.1979,0.00462492,True,0.319163,0.312581,0.318617,0.319163,0.335964,0.33598,1.13934,1.13948
15,initial_eval,15,0,False,False,0.19267,0.195663,-0.00299299,0.228952,0.232029,0.0173227,0.0165634,0.19267,0.195663,False,0.29868325,0.19267,0.195663,-0.00299299,False,0.307991,0.281749,0.297009,0.307984,0.336754,0.336666,1.13963,1.13955
16,initial_eval,16,1,False,False,0.174864,0.140998,0.0338659,0.1758,0.210641,0.0168511,0.0160667,0.141001,0.174865,True,0.20824475,0.174864,0.140998,0.0338659,True,0.163816,0.237914,0.24435,0.186899,0.336748,0.336666,1.13993,1.13977
17,initial_eval,17,1,False,False,0.181689,0.157101,0.0245879,0.19237,0.21766,0.0169922,0.0162002,0.157103,0.18169,True,0.23582025,0.181689,0.157101,0.0245879,True,0.170541,0.2821,0.286012,0.204628,0.336766,0.336676,1.13947,1.1395
18,initial_eval,18,1,False,False,0.175648,0.143324,0.0323235,0.178195,0.211447,0.0169414,0.0161462,0.143327,0.175648,True,0.2123195,0.175648,0.143324,0.0323235,True,0.159278,0.249911,0.248949,0.19114,0.336763,0.336676,1.13978,1.13963
19,initial_eval,19,1,False,False,0.169385,0.128493,0.0408921,0.16293,0.205006,0.0164503,0.0156937,0.128497,0.169387,True,0.18742599999999998,0.169385,0.128493,0.0408921,True,0.177112,0.189788,0.19285,0.189954,0.336695,0.336633,1.13982,1.13965
20,initial_eval,20,1,False,False,0.174168,0.137799,0.0363691,0.172508,0.209925,0.0166491,0.0158882,0.137802,0.174169,True,0.20263499999999998,0.174168,0.137799,0.0363691,True,0.212912,0.179631,0.18536,0.232637,0.336714,0.336643,1.13958,1.13954
21,initial_eval,21,1,False,False,0.174091,0.141807,0.0322839,0.176633,0.209846,0.0170073,0.0161912,0.141809,0.174092,True,0.2100935,0.174091,0.141807,0.0322839,True,0.161518,0.253616,0.257594,0.167646,0.336786,0.336693,1.13962,1.13958
22,initial_eval,22,1,False,False,0.170146,0.130565,0.0395812,0.165062,0.205789,0.0165585,0.0157911,0.130568,0.170147,True,0.19087274999999998,0.170146,0.130565,0.0395812,True,0.177673,0.194625,0.173371,0.217822,0.336711,0.336643,1.13979,1.13963
23,initial_eval,23,1,False,False,0.171025,0.13155,0.0394747,0.166077,0.206692,0.0165621,0.0157987,0.131553,0.171026,True,0.19245375,0.171025,0.13155,0.0394747,True,0.200971,0.170991,0.194121,0.203732,0.336708,0.336641,1.13968,1.13958
24,initial_eval,24,1,False,False,0.177373,0.149068,0.0283054,0.184105,0.213222,0.01702,0.0162052,0.14907,0.177374,True,0.22240825,0.177373,0.149068,0.0283054,True,0.168817,0.27383,0.274887,0.172099,0.336785,0.336691,1.13948,1.13952
25,initial_eval,25,1,False,False,0.166178,0.126565,0.039613,0.160946,0.201708,0.0169114,0.0160884,0.126569,0.16618,True,0.18511299999999997,0.166178,0.126565,0.039613,True,0.154814,0.212017,0.224566,0.149055,0.336783,0.336694,1.13989,1.1397
26,initial_eval,26,1,False,False,0.174843,0.143249,0.0315943,0.178117,0.210619,0.0170063,0.0161917,0.143251,0.174844,True,0.21251825000000002,0.174843,0.143249,0.0315943,True,0.15902,0.257112,0.258517,0.175424,0.336783,0.33669,1.1395,1.1395
27,initial_eval,27,1,False,False,0.15521,0.10911,0.0461,0.142974,0.190424,0.0167021,0.0158806,0.109115,0.155212,True,0.15761575,0.15521,0.10911,0.0461,True,0.170274,0.138081,0.138081,0.184027,0.336791,0.336696,1.13993,1.1398
28,initial_eval,28,1,False,False,0.177568,0.144888,0.0326793,0.179804,0.213422,0.01675,0.0159887,0.144891,0.177568,True,0.2144905,0.177568,0.144888,0.0326793,True,0.181651,0.230839,0.197445,0.248027,0.336721,0.336645,1.13932,1.13937
29,initial_eval,29,1,False,False,0.175958,0.145797,0.0301613,0.180739,0.211766,0.0170045,0.0161898,0.145799,0.175959,True,0.21683799999999998,0.175958,0.145797,0.0301613,True,0.166871,0.263943,0.266255,0.170283,0.336782,0.336689,1.13964,1.13959
30,initial_eval,30,1,False,False,0.158781,0.113501,0.0452804,0.147495,0.194098,0.0165346,0.0157309,0.113505,0.158783,True,0.1641685,0.158781,0.113501,0.0452804,True,0.141042,0.176715,0.175441,0.163476,0.336741,0.336667,1.13993,1.13977
31,initial_eval,31,1,False,False,0.175343,0.142251,0.0330919,0.17709,0.211134,0.0168443,0.0160569,0.142254,0.175344,True,0.21044925,0.175343,0.142251,0.0330919,True,0.166484,0.254294,0.234438,0.186581,0.336747,0.336664,1.13939,1.13943
32,final_eval,0,0,False,False,0.186096,0.19374,-0.0076436,0.222192,0.230051,0.0172933,0.0165326,0.186096,0.19374,False,0.286611,0.186096,0.19374,-0.0076436,False,0.287649,0.284989,0.288232,0.285574,0.33675,0.336663,1.13915,1.13936
33,final_eval,1,0,False,False,0.189155,0.194402,-0.0052465,0.225338,0.230732,0.0172826,0.0165222,0.189156,0.194402,False,0.29235875,0.189155,0.194402,-0.0052465,False,0.306738,0.270468,0.28431,0.307919,0.33675,0.336663,1.13952,1.13953
34,final_eval,2,0,False,False,0.193381,0.195415,-0.00203442,0.229683,0.231774,0.0207089,0.0199228,0.193381,0.195415,False,0.30028225,0.193381,0.195415,-0.00203442,False,0.273848,0.313293,0.313199,0.300789,0.336524,0.336476,1.1395,1.13952
35,final_eval,3,0,False,False,0.201317,0.197248,0.00406874,0.237841,0.233658,0.022111,0.0212832,0.201316,0.197248,True,0.31532024999999997,0.201317,0.197248,0.00406874,True,0.314239,0.314083,0.315953,0.317006,0.33633,0.336305,1.13944,1.13951
36,final_eval,4,0,False,False,0.197657,0.196429,0.00122771,0.234079,0.232816,0.0215254,0.0207151,0.197657,0.196429,True,0.30835575000000004,0.197657,0.196429,0.00122771,True,0.292718,0.314544,0.316116,0.310045,0.336419,0.336384,1.13956,1.13954
37,final_eval,5,0,False,False,0.173691,0.189926,-0.016235,0.209436,0.22613,0.0171542,0.0164082,0.173692,0.189926,False,0.26413775,0.173691,0.189926,-0.016235,False,0.247359,0.272792,0.267333,0.269067,0.336735,0.336645,1.1398,1.1396
38,final_eval,6,0,False,False,0.192928,0.195338,-0.0024104,0.229217,0.231694,0.0173361,0.0165701,0.192928,0.195338,False,0.29942575,0.192928,0.195338,-0.0024104,False,0.307567,0.291147,0.306648,0.292341,0.336755,0.336666,1.13936,1.13948
39,final_eval,7,0,False,False,0.172524,0.1895,-0.0169757,0.208236,0.225692,0.0171361,0.0163897,0.172526,0.1895,False,0.26208125,0.172524,0.1895,-0.0169757,False,0.24459,0.263112,0.276954,0.263669,0.336734,0.336644,1.13977,1.1396
40,final_eval,8,0,False,False,0.191259,0.194898,-0.00363872,0.227501,0.231242,0.0173265,0.0165609,0.191259,0.194898,False,0.29632000000000003,0.191259,0.194898,-0.00363872,False,0.291063,0.285904,0.304562,0.303751,0.336754,0.336665,1.13937,1.13948
41,final_eval,9,0,False,False,0.194169,0.195537,-0.00136822,0.230493,0.231899,0.0200595,0.0192868,0.194169,0.195537,False,0.30181775,0.194169,0.195537,-0.00136822,False,0.285359,0.310736,0.31376,0.297416,0.336602,0.336541,1.13951,1.13952
42,final_eval,10,0,False,False,0.173648,0.189855,-0.0162066,0.209391,0.226057,0.0171597,0.016413,0.173649,0.189855,False,0.26410575000000003,0.173648,0.189855,-0.0162066,False,0.263328,0.252666,0.265898,0.274531,0.336735,0.336644,1.13977,1.1396
43,final_eval,11,0,False,False,0.189861,0.194449,-0.00458751,0.226064,0.23078,0.0173019,0.0165376,0.189862,0.194449,False,0.2937685,0.189861,0.194449,-0.00458751,False,0.305113,0.279871,0.282405,0.307685,0.336751,0.336663,1.13939,1.13949
44,final_eval,12,0,False,False,0.201334,0.197069,0.00426472,0.237859,0.233474,0.0217709,0.0209496,0.201334,0.197069,True,0.31546875,0.201334,0.197069,0.00426472,True,0.315909,0.316311,0.311311,0.318344,0.336386,0.336355,1.13941,1.1395
45,final_eval,13,0,False,False,0.183114,0.1927,-0.00958638,0.219126,0.228982,0.0172673,0.0165058,0.183115,0.192701,False,0.2812715,0.183114,0.1927,-0.00958638,False,0.28155,0.284847,0.279464,0.279225,0.336747,0.33666,1.13973,1.13958
46,final_eval,14,0,False,False,0.202328,0.19722,0.00510798,0.23888,0.233629,0.0239464,0.0230643,0.202327,0.197219,True,0.31740825,0.202328,0.19722,0.00510798,True,0.319198,0.312587,0.31865,0.319198,0.335948,0.335966,1.13934,1.13948
47,final_eval,15,0,False,False,0.192452,0.195033,-0.00258035,0.228728,0.23138,0.0173269,0.0165595,0.192452,0.195033,False,0.29865375,0.192452,0.195033,-0.00258035,False,0.308,0.281651,0.296971,0.307993,0.336754,0.336665,1.13963,1.13955
48,final_eval,16,1,False,False,0.174406,0.140694,0.033712,0.175488,0.21017,0.0168555,0.0160616,0.140697,0.174407,True,0.20802150000000003,0.174406,0.140694,0.033712,True,0.163471,0.237774,0.244232,0.186609,0.336749,0.336665,1.13993,1.13977
49,final_eval,17,1,False,False,0.18118,0.156824,0.0243555,0.192085,0.217136,0.016997,0.0161953,0.156826,0.18118,True,0.23565850000000002,0.18118,0.156824,0.0243555,True,0.170183,0.282085,0.286012,0.204354,0.336767,0.336675,1.13947,1.1395
50,final_eval,18,1,False,False,0.175181,0.143024,0.0321567,0.177886,0.210967,0.016946,0.0161411,0.143027,0.175182,True,0.21210574999999998,0.175181,0.143024,0.0321567,True,0.158919,0.249806,0.248841,0.190857,0.336764,0.336675,1.13978,1.13964
51,final_eval,19,1,False,False,0.168966,0.128171,0.0407957,0.162598,0.204575,0.016454,0.0156881,0.128174,0.168968,True,0.18716225,0.168966,0.128171,0.0407957,True,0.176821,0.18953,0.192601,0.189697,0.336695,0.336632,1.13983,1.13965
52,final_eval,20,1,False,False,0.173726,0.13749,0.0362363,0.17219,0.209471,0.0166532,0.0158828,0.137493,0.173727,True,0.20239725,0.173726,0.13749,0.0362363,True,0.212701,0.179329,0.185072,0.232487,0.336714,0.336642,1.13958,1.13954
53,final_eval,21,1,False,False,0.173621,0.141506,0.0321152,0.176323,0.209363,0.0170121,0.0161863,0.141509,0.173622,True,0.20988075,0.173621,0.141506,0.0321152,True,0.161167,0.253528,0.25752,0.167308,0.336786,0.336692,1.13962,1.13958
54,final_eval,22,1,False,False,0.169718,0.130246,0.039473,0.164734,0.205349,0.0165624,0.0157856,0.130249,0.16972,True,0.19061574999999997,0.169718,0.130246,0.039473,True,0.17738,0.194376,0.173067,0.21764,0.336711,0.336642,1.13979,1.13963
55,final_eval,23,1,False,False,0.170599,0.131232,0.0393665,0.165749,0.206254,0.016566,0.0157932,0.131235,0.1706,True,0.19219875,0.170599,0.131232,0.0393665,True,0.200738,0.17068,0.19387,0.203507,0.336708,0.33664,1.13968,1.13958
56,final_eval,24,1,False,False,0.176883,0.148779,0.0281032,0.183808,0.212717,0.0170248,0.0162004,0.148782,0.176883,True,0.22222275000000002,0.176883,0.148779,0.0281032,True,0.168469,0.273801,0.274862,0.171759,0.336786,0.33669,1.13948,1.13952
57,final_eval,25,1,False,False,0.165741,0.126241,0.0395,0.160612,0.201258,0.0169155,0.0160833,0.126245,0.165743,True,0.18485274999999998,0.165741,0.126241,0.0395,True,0.154473,0.211824,0.224412,0.148702,0.336784,0.336693,1.13989,1.1397
58,final_eval,26,1,False,False,0.17437,0.14295,0.0314201,0.17781,0.210133,0.0170111,0.0161868,0.142953,0.174371,True,0.21231025,0.17437,0.14295,0.0314201,True,0.158661,0.257034,0.258444,0.175102,0.336784,0.336689,1.1395,1.1395
59,final_eval,27,1,False,False,0.154797,0.108763,0.0460342,0.142616,0.189999,0.0167306,0.0158755,0.108767,0.154799,True,0.157312,0.154797,0.108763,0.0460342,True,0.169999,0.137731,0.137731,0.183787,0.336775,0.336695,1.13993,1.1398
60,final_eval,28,1,False,False,0.177107,0.14459,0.0325169,0.179497,0.212948,0.0167542,0.0159833,0.144593,0.177108,True,0.21427524999999997,0.177107,0.14459,0.0325169,True,0.181341,0.230669,0.197177,0.247914,0.336721,0.336644,1.13932,1.13937
61,final_eval,29,1,False,False,0.175478,0.145503,0.029975,0.180437,0.211272,0.0170093,0.0161849,0.145505,0.175479,True,0.21664,0.175478,0.145503,0.029975,True,0.166525,0.263885,0.266205,0.169945,0.336783,0.336689,1.13964,1.13959
62,final_eval,30,1,False,False,0.158371,0.113159,0.0452117,0.147143,0.193676,0.0165371,0.0157256,0.113163,0.158373,True,0.16387275,0.158371,0.113159,0.0452117,True,0.140693,0.176449,0.175172,0.163177,0.336743,0.336666,1.13993,1.13977
63,final_eval,31,1,False,False,0.174881,0.14195,0.0329312,0.17678,0.210659,0.0168487,0.0160517,0.141953,0.174882,True,0.2102315,0.174881,0.14195,0.0329312,True,0.166144,0.254208,0.234285,0.186289,0.336747,0.336664,1.13939,1.13943
