cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,max_abs_output_delta_signal,max_output_delta_node
23,train,7,1,True,True,0.011162,0.0615634,-0.0504014,0.155414,0.0909912,0.155414,0.0909914,0.0615634,0.011162,False,0.41637175,0.011162,0.0615634,-0.0504014,False,0.382294,0.132693,0.253017,0.607964,0.767895,0.770218,0.291115,0.125778,0.335744,0.339993,1.2,-3.64767e-05,1.04533,1.04306,1.04386
24,train,0,0,True,True,0.112971,0.00364001,0.109331,0.181213,0.0646008,0.181213,0.0646008,0.112971,0.00364001,True,0.3398395,0.112971,0.00364001,0.109331,True,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.33499,0.350223,1.2,3.76148e-08,0.036619,1.04306,1.04386
25,train,4,1,True,True,0.0285167,0.024083,0.00443371,0.115931,0.122523,0.115931,0.122523,0.0240831,0.0285166,True,0.33221950000000006,0.0285167,0.024083,0.00443371,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.770219,0.304066,0.336443,0.337287,0.0282734,1.19996,0.0177539,1.04306,1.04386
26,train,1,0,True,True,0.0808507,0.00517557,0.0756751,0.152289,0.0687204,0.152289,0.0687204,0.0808507,0.00517558,True,0.388285,0.0808507,0.00517557,0.0756751,True,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.335376,0.344066,1.2,3.76244e-08,0.0238714,1.04306,1.04386
27,train,5,1,True,True,0.0886383,0.00646305,0.0821752,0.0761142,0.16794,0.0761145,0.16794,0.00646312,0.088638,True,0.21034650000000002,0.0886383,0.00646305,0.0821752,True,0.093642,0.137216,0.08,0.254774,0.77022,0.08,0.18692,0.08,0.34446,0.336346,3.76578e-08,1.2,0.0199212,1.04306,1.04386
28,train,2,0,True,True,0.0679339,0.0074552,0.0604787,0.147431,0.0769637,0.147432,0.0769639,0.0679339,0.00745525,True,0.5824015,0.0679339,0.0074552,0.0604787,True,0.505352,0.770217,0.770218,0.552175,0.224418,0.770217,0.31515,0.751465,0.335732,0.339857,1.2,3.76352e-08,0.0198933,1.04306,1.04386
29,train,6,1,True,True,0.0283176,0.0140081,0.0143095,0.0881689,0.108807,0.088169,0.108807,0.0140081,0.0283176,True,0.22852887500000002,0.0283176,0.0140081,0.0143095,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.339029,0.338194,-1.48795e-05,1.2,0.0198925,1.04306,1.04386
30,train,3,0,True,True,0.0678713,0.00824728,0.0596241,0.15089,0.0803703,0.15089,0.0803709,0.0678708,0.00824746,True,0.62287,0.0678713,0.00824728,0.0596241,True,0.770217,0.770217,0.770217,0.770217,0.418377,0.633498,0.08,0.770217,0.33554,0.339406,1.2,3.76296e-08,0.0240097,1.04306,1.04386
31,train,7,1,True,True,0.0392495,0.0109609,0.0282885,0.0834512,0.122126,0.0834514,0.122126,0.010961,0.0392494,True,0.416371875,0.0392495,0.0109609,0.0282885,True,0.382294,0.132693,0.253017,0.607964,0.767895,0.770219,0.291115,0.125778,0.338937,0.337115,-4.03012e-08,1.2,0.0199212,1.04306,1.04386
32,train,0,0,True,True,0.109767,0.00329155,0.106475,0.175468,0.0622119,0.175468,0.0622119,0.109767,0.00329155,True,0.3398395,0.109767,0.00329155,0.106475,True,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.334981,0.352541,1.2,3.76141e-08,0.024338,1.04306,1.04386
33,train,4,1,True,True,0.0273104,0.0231222,0.00418824,0.112447,0.118664,0.112448,0.118664,0.0231223,0.0273104,True,0.33221950000000006,0.0273104,0.0231222,0.00418824,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.770219,0.304066,0.336536,0.337334,0.0193505,1.19997,0.0199178,1.04306,1.04386
34,train,1,0,True,True,0.0770818,0.00489195,0.0721898,0.146392,0.0667605,0.146392,0.0667605,0.0770818,0.00489195,True,0.388285,0.0770818,0.00489195,0.0721898,True,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.335418,0.345023,1.2,3.76248e-08,0.0239131,1.04306,1.04386
35,train,5,1,True,True,0.0831034,0.00613753,0.0769659,0.073692,0.159725,0.0736922,0.159725,0.0061376,0.0831032,True,0.21034650000000002,0.0831034,0.00613753,0.0769659,True,0.093642,0.137216,0.08,0.254774,0.77022,0.08,0.18692,0.08,0.345127,0.336348,3.76564e-08,1.2,0.0199203,1.04306,1.04386
36,train,2,0,True,True,0.0621214,0.00728086,0.0548405,0.139446,0.0750436,0.139446,0.0750438,0.0621214,0.00728091,True,0.582401875,0.0621214,0.00728086,0.0548405,True,0.505352,0.770218,0.770219,0.552175,0.224418,0.770218,0.31515,0.751465,0.332798,0.337507,1.2,3.53421e-08,0.0198926,1.04306,1.04386
37,train,6,1,True,True,0.0273323,0.0135585,0.0137738,0.0862658,0.106115,0.0862658,0.106115,0.0135585,0.0273323,True,0.22852887500000002,0.0273323,0.0135585,0.0137738,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.336585,0.337165,3.97375e-08,1.2,0.0198925,1.04306,1.04386
38,train,3,0,True,True,0.0623097,0.00801491,0.0542948,0.142917,0.0782196,0.142918,0.0782202,0.0623091,0.00801508,True,0.6228705,0.0623097,0.00801491,0.0542948,True,0.770218,0.770218,0.770217,0.770218,0.418377,0.633498,0.08,0.770218,0.335576,0.339749,1.2,3.76297e-08,0.0240381,1.04306,1.04386
39,train,7,1,True,True,0.0372381,0.0105293,0.0267087,0.0811921,0.117718,0.0811923,0.117718,0.0105294,0.037238,True,0.416372,0.0372381,0.0105293,0.0267087,True,0.382294,0.132693,0.253017,0.607964,0.767895,0.77022,0.291115,0.125778,0.337285,0.335543,3.60057e-08,1.2,0.0199189,1.04306,1.04386
40,final_eval,0,0,False,False,0.105504,0.00298089,0.102523,0.168725,0.0599084,0.168725,0.0599084,0.105504,0.00298089,True,0.3398395,0.105504,0.00298089,0.102523,True,0.534385,0.434152,0.56148,0.369637,0.08,0.113643,0.105398,0.520021,0.33499,0.355418,1.14629,1.19767,,,
41,final_eval,1,0,False,False,0.0740219,0.00473167,0.0692903,0.141955,0.0655087,0.141955,0.0655088,0.0740219,0.00473168,True,0.388285,0.0740219,0.00473167,0.0692903,True,0.687875,0.374298,0.562134,0.509049,0.150053,0.282932,0.121009,0.41893,0.335473,0.34571,1.14051,1.18757,,,
42,final_eval,2,0,False,False,0.058747,0.00724438,0.0515026,0.135079,0.0741882,0.135079,0.0741884,0.058747,0.00724443,True,0.582402125,0.058747,0.00724438,0.0515026,True,0.505352,0.770219,0.770219,0.552175,0.224418,0.770219,0.31515,0.751465,0.335824,0.340355,1.14033,1.17749,,,
43,final_eval,3,0,False,False,0.0609905,0.00793109,0.0530595,0.140897,0.0775834,0.140897,0.077584,0.06099,0.00793126,True,0.62287,0.0609905,0.00793109,0.0530595,True,0.770217,0.770217,0.770217,0.770217,0.418377,0.633498,0.08,0.770217,0.335592,0.339863,1.14036,1.16739,,,
44,final_eval,4,1,False,False,0.0254228,0.0228447,0.00257806,0.110105,0.113928,0.110105,0.113928,0.0228448,0.0254227,True,0.332219625,0.0254228,0.0228447,0.00257806,True,0.08,0.398873,0.519875,0.08,0.149316,0.355407,0.77022,0.304066,0.33659,0.337435,1.14016,1.15741,,,
45,final_eval,5,1,False,False,0.0769222,0.00617909,0.0707431,0.0728685,0.152494,0.0728688,0.152494,0.00617915,0.076922,True,0.21034650000000002,0.0769222,0.00617909,0.0707431,True,0.093642,0.137216,0.08,0.254774,0.77022,0.08,0.18692,0.08,0.346575,0.335021,1.14027,1.14765,,,
46,final_eval,6,1,False,False,0.0261524,0.0138422,0.0123103,0.0863991,0.104202,0.0863992,0.104203,0.0138422,0.0261525,True,0.22852887500000002,0.0261524,0.0138422,0.0123103,True,0.278824,0.08,0.17984,0.307098,0.461292,0.168223,0.152354,0.2006,0.339071,0.338353,1.14048,1.14038,,,
47,final_eval,7,1,False,False,0.0352425,0.0109441,0.0242984,0.0818352,0.115443,0.0818353,0.115443,0.0109442,0.0352425,True,0.416371875,0.0352425,0.0109441,0.0242984,True,0.382294,0.132693,0.253017,0.607964,0.767895,0.770219,0.291115,0.125778,0.337171,0.335625,1.14033,1.1404,,,
