cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,lose0,lose1,lead01,lead10,bwd_signal
14,train,2,0,True,True,0.0528975,0.0533571,-0.000459598,0.0850527,0.0855266,0.0253631,0.0253424,0.0529056,0.0533651,False,0.08672531875000002,0.0528975,0.0533571,-0.000459598,False,0.0904762,0.0862149,0.0864045,0.087543,0.0854771,0.0864126,0.0866943,0.0872995,0.0853024,0.0862673,0.0864403,0.085289,0.087358,0.0863144,0.0865066,0.087605,0.339136,0.339112,1.2,4.82444e-07,1.04498
15,train,3,0,True,True,0.0437362,0.0440941,-0.000357934,0.0756052,0.0759743,0.0262824,0.0262379,0.043745,0.0441029,False,0.07579055,0.0437362,0.0440941,-0.000357934,False,0.0758063,0.0757771,0.0757788,0.0758075,0.0757761,0.075778,0.0758089,0.0758062,0.0757772,0.0757789,0.0758074,0.0757762,0.0757781,0.0758088,0.0758061,0.0757772,0.339566,0.339513,1.2,4.82684e-07,1.04498
16,train,4,0,True,True,0.0400664,0.0404052,-0.000338767,0.0718203,0.0721697,0.0275012,0.0274425,0.0400754,0.0404141,False,0.07200144375,0.0400664,0.0404052,-0.000338767,False,0.0720114,0.0719823,0.0720755,0.0720126,0.0719813,0.0719833,0.072014,0.0720113,0.0719824,0.0719841,0.0720125,0.0719814,0.0719833,0.0720139,0.0720113,0.0719825,0.340114,0.340035,1.2,4.82899e-07,1.04498
17,train,5,0,True,True,0.0364906,0.0368119,-0.000321309,0.068132,0.0684634,0.0288111,0.0287433,0.0364999,0.0368212,False,0.06829847500000001,0.0364906,0.0368119,-0.000321309,False,0.0683141,0.0682851,0.0682868,0.0683154,0.068284,0.068286,0.0683168,0.068314,0.0682851,0.0682869,0.0683153,0.0682841,0.0682861,0.0683167,0.068314,0.0682852,0.340891,0.340781,1.2,4.83333e-07,1.04498
18,train,6,1,True,True,0.062661,0.0620896,0.000571338,0.0945483,0.0951371,0.00712865,0.00700869,0.0620983,0.0626696,True,0.1071644375,0.062661,0.0620896,0.000571338,True,0.109076,0.108195,0.101312,0.11257,0.106491,0.103545,0.110765,0.107144,0.102054,0.111067,0.1055,0.10463,0.109292,0.108603,0.101507,0.11288,0.336998,0.336951,1.2,4.8234e-07,0.0182637
19,train,7,1,True,True,0.0626414,0.0620701,0.000571299,0.094528,0.0951169,0.0199314,0.0198676,0.0620788,0.06265,True,0.10713743750000002,0.0626414,0.0620701,0.000571299,True,0.109052,0.108163,0.10129,0.112539,0.106468,0.103517,0.110742,0.107114,0.102031,0.111034,0.105477,0.1046,0.109269,0.108572,0.101485,0.112846,0.333512,0.333475,1.2,4.8234e-07,0.00404937
20,train,8,1,True,True,0.0336313,0.0333181,0.000313236,0.0648594,0.0651825,0.0368037,0.0367106,0.0333274,0.0336406,True,0.0650849125,0.0336313,0.0333181,0.000313236,True,0.0651425,0.0650414,0.0651061,0.0650392,0.0650068,0.0650089,0.0653401,0.0652232,0.065008,0.0650098,0.0650391,0.0650069,0.065009,0.0653318,0.0650377,0.0650081,0.319547,0.319983,1.19999,0.708142,0.00913435
21,train,9,1,True,True,0.0626008,0.0620296,0.000571178,0.0944865,0.0950752,0.00714572,0.00702563,0.0620382,0.0626094,True,0.10708150000000001,0.0626008,0.0620296,0.000571178,True,0.109004,0.108099,0.101245,0.112469,0.106421,0.103456,0.110693,0.107051,0.101986,0.110968,0.10543,0.104538,0.10922,0.108506,0.10144,0.112778,0.337002,0.336954,1.2,4.8234e-07,0.00527132
22,train,10,1,True,True,0.0625814,0.0620102,0.000571129,0.0944663,0.0950549,0.00715128,0.00703114,0.0620189,0.06259,True,0.10705425000000002,0.0625814,0.0620102,0.000571129,True,0.10898,0.108067,0.101222,0.112437,0.106398,0.103428,0.110669,0.10702,0.101963,0.110936,0.105407,0.104508,0.109197,0.108475,0.101417,0.112744,0.337003,0.336955,1.2,4.8234e-07,0.00386189
23,train,11,1,True,True,0.0625613,0.0619903,0.000571072,0.0944457,0.0950343,0.00715697,0.00703679,0.0619989,0.06257,True,0.1070268125,0.0625613,0.0619903,0.000571072,True,0.108956,0.108035,0.1012,0.112404,0.106374,0.103399,0.110645,0.106989,0.101941,0.110903,0.105384,0.104478,0.109173,0.108443,0.101395,0.11271,0.337004,0.336957,1.2,4.8234e-07,0.0039452
24,train,0,0,True,True,0.0330488,0.0333515,-0.000302752,0.0645816,0.0648939,0.0301305,0.0300567,0.0330584,0.0333611,False,0.06474151875,0.0330488,0.0333515,-0.000302752,False,0.0647541,0.0647734,0.0647269,0.0647553,0.0647241,0.0647261,0.0647568,0.064754,0.0647252,0.064727,0.0647552,0.0647241,0.0647262,0.0647567,0.0647539,0.0647253,0.34204,0.341891,1.19998,0.773004,1.04498
25,train,1,0,True,True,0.0296437,0.0299303,-0.000286583,0.061069,0.0613647,0.0322571,0.0321752,0.0296537,0.0299402,False,0.06200768125,0.0296437,0.0299303,-0.000286583,False,0.0612345,0.0614336,0.0612052,0.0670424,0.0612019,0.0612043,0.0612376,0.0612344,0.0612599,0.0612053,0.0613889,0.061202,0.0612044,0.0612375,0.0612343,0.0675967,0.343064,0.342919,1.197,1.15208,0.031704
26,train,2,0,True,True,0.0310856,0.0314908,-0.000405245,0.0625569,0.062975,0.0319862,0.0319021,0.0310952,0.0315004,False,0.06391255,0.0310856,0.0314908,-0.000405245,False,0.0707533,0.0628368,0.0630828,0.0641754,0.0627445,0.0636311,0.0634635,0.064121,0.0627464,0.0628015,0.0640928,0.0627446,0.0650657,0.062903,0.0631396,0.0642988,0.343015,0.342866,1.14691,1.06704,0.000844389
27,train,3,0,True,True,0.0266702,0.0269398,-0.000269559,0.0580007,0.0582789,0.032413,0.032331,0.0266804,0.02695,False,0.05814056875,0.0266702,0.0269398,-0.000269559,False,0.0581561,0.0581272,0.0581291,0.0581574,0.0581261,0.0581282,0.0581589,0.058156,0.0581273,0.0581291,0.0581573,0.0581261,0.0581283,0.0581588,0.0581559,0.0581273,0.344734,0.344385,1.13993,1.14371,2.81029e-05
28,train,4,0,True,True,0.0266838,0.0269528,-0.000268915,0.0580147,0.0582922,0.0324155,0.0323335,0.0266941,0.026963,False,0.05815861875,0.0266838,0.0269528,-0.000268915,False,0.0581697,0.0581408,0.0582093,0.058171,0.0581397,0.0581419,0.0581767,0.0581696,0.0581409,0.0581428,0.0581709,0.0581398,0.0581419,0.0581724,0.0581695,0.058141,0.344732,0.344384,1.13993,1.13993,6.51387e-06
29,train,5,0,True,True,0.026656,0.0269255,-0.000269478,0.057986,0.058264,0.0324176,0.0323356,0.0266662,0.0269357,False,0.0581257625,0.026656,0.0269255,-0.000269478,False,0.0581413,0.0581124,0.0581143,0.0581426,0.0581112,0.0581134,0.0581441,0.0581412,0.0581125,0.0581143,0.0581425,0.0581113,0.0581135,0.058144,0.0581411,0.0581125,0.344751,0.344399,1.13993,1.13993,5.94289e-06
30,train,6,1,True,True,0.0560702,0.0554155,0.000654711,0.0876695,0.0883445,0.00913487,0.0089766,0.0554247,0.0560794,True,0.10168514999999997,0.0560702,0.0554155,0.000654711,True,0.105023,0.101743,0.095802,0.106579,0.102337,0.0965975,0.107414,0.100497,0.0968426,0.104755,0.100909,0.0978643,0.105331,0.102244,0.096067,0.106957,0.337501,0.337425,1.2,4.82406e-07,0.0075398
31,train,7,1,True,True,0.0560502,0.0553955,0.000654687,0.087649,0.0883241,0.00914214,0.00898385,0.0554047,0.0560594,True,0.10165621875,0.0560502,0.0553955,0.000654687,True,0.104999,0.101709,0.0957791,0.106545,0.102313,0.0965671,0.107389,0.100464,0.0968196,0.104719,0.100886,0.0978318,0.105306,0.102208,0.0960439,0.10692,0.337502,0.337427,1.2,4.82406e-07,0.00622462
32,train,8,1,True,True,0.0271742,0.0268948,0.000279403,0.0582325,0.0585208,0.0324204,0.0323384,0.0269049,0.0271843,True,0.058439687500000004,0.0271742,0.0268948,0.000279403,True,0.0585664,0.0583663,0.0585255,0.0583949,0.0583623,0.0583646,0.05863,0.0586555,0.0583636,0.0583655,0.0583948,0.0583624,0.0583647,0.0585614,0.0583934,0.0583637,0.344596,0.344266,1.19701,1.1509,0.00908927
33,train,9,1,True,True,0.0560128,0.0553583,0.000654506,0.0876109,0.0882857,0.00915565,0.00899735,0.0553675,0.056022,True,0.1016028375,0.0560128,0.0553583,0.000654506,True,0.104952,0.101647,0.0957357,0.106479,0.102267,0.0965117,0.107342,0.100405,0.0967757,0.104656,0.10084,0.0977736,0.105259,0.102147,0.0960007,0.106854,0.337506,0.33743,1.2,4.82406e-07,0.00752903
34,train,10,1,True,True,0.0559942,0.0553398,0.000654451,0.0875915,0.0882663,0.0224153,0.0222645,0.055349,0.0560034,True,0.10157571875000002,0.0559942,0.0553398,0.000654451,True,0.104928,0.101615,0.095714,0.106445,0.102244,0.0964827,0.107318,0.100374,0.0967537,0.104624,0.100818,0.0977433,0.105236,0.102117,0.0959788,0.10682,0.33382,0.333745,1.2,4.82407e-07,0.00624357
35,train,11,1,True,True,0.0559751,0.0553207,0.00065438,0.0875719,0.0882467,0.0224259,0.0222749,0.05533,0.0559843,True,0.1015482375,0.0559751,0.0553207,0.00065438,True,0.104905,0.101583,0.0956919,0.106411,0.102221,0.0964537,0.107294,0.100343,0.0967315,0.104591,0.100795,0.097713,0.105212,0.102084,0.0959567,0.106786,0.333821,0.333745,1.2,4.82407e-07,0.00632361
36,final_eval,0,0,False,False,0.0266249,0.0268933,-0.000268433,0.057954,0.058231,0.0324339,0.0323519,0.0266351,0.0269035,False,0.05809785625,0.0266249,0.0268933,-0.000268433,False,0.0581087,0.0581539,0.0580818,0.05811,0.0580788,0.0580809,0.0581116,0.0581086,0.05808,0.0580818,0.0581099,0.0580788,0.058081,0.0581114,0.0581085,0.05808,0.344759,0.344399,1.19701,1.1509,
37,final_eval,1,0,False,False,0.0295366,0.0298224,-0.000285864,0.0609584,0.0612534,0.0322845,0.0322025,0.0295465,0.0298323,False,0.061890418749999995,0.0295366,0.0298224,-0.000285864,False,0.0611235,0.0613205,0.0610943,0.066891,0.0610909,0.0610933,0.0611266,0.0611234,0.0611477,0.0610943,0.0612665,0.061091,0.0610934,0.0611265,0.0611233,0.0674405,0.343058,0.34291,1.18744,1.1417,
38,final_eval,2,0,False,False,0.0309175,0.0313206,-0.000403095,0.0623836,0.0627994,0.0320088,0.0319245,0.0309272,0.0313303,False,0.063714575,0.0309175,0.0313206,-0.000403095,False,0.0705302,0.0626505,0.0628852,0.0639659,0.0625701,0.063434,0.0632546,0.063901,0.0625721,0.0626175,0.0638896,0.0625703,0.0648467,0.0627152,0.0629411,0.0640892,0.343025,0.342871,1.17795,1.13993,
39,final_eval,3,0,False,False,0.0265844,0.0268534,-0.000269078,0.0579122,0.0581898,0.0324408,0.0323587,0.0265946,0.0268637,False,0.0580517625,0.0265844,0.0268534,-0.000269078,False,0.0580673,0.0580384,0.0580403,0.0580686,0.0580372,0.0580394,0.0580701,0.0580672,0.0580385,0.0580403,0.0580685,0.0580373,0.0580395,0.05807,0.0580671,0.0580385,0.344796,0.34443,1.16854,1.13993,
40,final_eval,4,0,False,False,0.0265963,0.0268648,-0.000268471,0.0579243,0.0582014,0.0324432,0.0323611,0.0266065,0.026875,False,0.05806765624999999,0.0265963,0.0268648,-0.000268471,False,0.0580791,0.0580503,0.0581136,0.0580804,0.0580491,0.0580513,0.0580852,0.058079,0.0580503,0.0580522,0.0580803,0.0580492,0.0580514,0.0580818,0.0580789,0.0580504,0.344795,0.344429,1.1592,1.13993,
41,final_eval,5,0,False,False,0.0265701,0.0268391,-0.000268998,0.0578974,0.058175,0.0324454,0.0323633,0.0265803,0.0268493,False,0.058036968749999994,0.0265701,0.0268391,-0.000268998,False,0.0580525,0.0580236,0.0580255,0.0580538,0.0580225,0.0580246,0.0580553,0.0580524,0.0580237,0.0580255,0.0580537,0.0580225,0.0580247,0.0580552,0.0580523,0.0580237,0.344814,0.344445,1.14994,1.13993,
42,final_eval,6,1,False,False,0.0558409,0.0551871,0.000653841,0.0874349,0.088109,0.00921822,0.00905984,0.0551963,0.0558502,True,0.10135521874999999,0.0558409,0.0551871,0.000653841,True,0.104737,0.10136,0.095537,0.106172,0.102058,0.0962505,0.107124,0.100127,0.0965751,0.104362,0.100632,0.0975015,0.105044,0.101856,0.0958014,0.106546,0.337479,0.337403,1.14046,1.13963,
43,final_eval,7,1,False,False,0.0558215,0.0551678,0.000653769,0.0874152,0.0880893,0.00922524,0.00906683,0.0551771,0.0558308,True,0.10132760624999998,0.0558215,0.0551678,0.000653769,True,0.104713,0.101327,0.0955145,0.10614,0.102034,0.0962215,0.1071,0.100095,0.0965525,0.104329,0.100609,0.0974711,0.10502,0.101824,0.0957791,0.106512,0.337481,0.337404,1.13987,1.13987,
44,final_eval,8,1,False,False,0.0270755,0.0267971,0.000278399,0.0581317,0.058419,0.0324483,0.0323662,0.0268073,0.0270857,True,0.05833543125000001,0.0270755,0.0267971,0.000278399,True,0.0584597,0.0582635,0.0584202,0.0582936,0.0582611,0.0582634,0.0585131,0.0585479,0.0582624,0.0582643,0.0582935,0.0582612,0.0582634,0.0584451,0.0582921,0.0582624,0.344658,0.344312,1.13993,1.13993,
45,final_eval,9,1,False,False,0.0557832,0.0551296,0.000653625,0.087376,0.0880499,0.00923921,0.00908079,0.0551389,0.0557925,True,0.10127245000000001,0.0557832,0.0551296,0.000653625,True,0.104666,0.101264,0.0954704,0.10607,0.101987,0.0961618,0.107051,0.100034,0.0965079,0.104264,0.100563,0.0974105,0.104972,0.10176,0.0957346,0.106443,0.337484,0.337408,1.13974,1.13974,
46,final_eval,10,1,False,False,0.0557635,0.0551099,0.000653593,0.0873558,0.0880297,0.00924643,0.00908799,0.0551192,0.0557727,True,0.10124369999999999,0.0557635,0.0551099,0.000653593,True,0.104641,0.10123,0.0954477,0.106036,0.101963,0.0961324,0.107026,0.100001,0.096485,0.104228,0.100539,0.0973795,0.104947,0.101725,0.0957116,0.106407,0.337486,0.337409,1.13987,1.13987,
47,final_eval,11,1,False,False,0.0557443,0.0550908,0.000653515,0.0873362,0.0880101,0.00925341,0.00909495,0.0551001,0.0557536,True,0.10121622500000002,0.0557443,0.0550908,0.000653515,True,0.104617,0.101198,0.0954255,0.106002,0.10194,0.0961035,0.107001,0.0999704,0.0964626,0.104196,0.100516,0.0973493,0.104923,0.101693,0.0956893,0.106373,0.337487,0.337411,1.13987,1.13987,
