time_s,time_after_load_ns,accuracy,correct,total
5.1725000000000005e-09,4.9725,0.85,85,100
5.22125e-09,5.02125,0.85,85,100
5.27e-09,5.07,0.85,85,100
5.31875e-09,5.11875,0.85,85,100
5.3675e-09,5.1674999999999995,0.85,85,100
5.41625e-09,5.21625,0.85,85,100
5.4650000000000005e-09,5.265000000000001,0.85,85,100
5.51375e-09,5.31375,0.85,85,100
5.5625e-09,5.3625,0.85,85,100
5.61125e-09,5.41125,0.85,85,100
5.66e-09,5.46,0.85,85,100
5.70875e-09,5.50875,0.85,85,100
5.7575000000000004e-09,5.5575,0.85,85,100
5.80625e-09,5.60625,0.85,85,100
5.855e-09,5.655,0.85,85,100
5.90375e-09,5.703749999999999,0.85,85,100
5.9525e-09,5.7524999999999995,0.85,85,100
6.00125e-09,5.80125,0.85,85,100
6.05e-09,5.8500000000000005,0.85,85,100
6.09875e-09,5.89875,0.85,85,100
6.1475e-09,5.9475,0.85,85,100
6.19625e-09,5.99625,0.85,85,100
6.245e-09,6.045,0.85,85,100
6.29375e-09,6.09375,0.85,85,100
6.3425e-09,6.1425,0.85,85,100
6.39125e-09,6.19125,0.85,85,100
6.44e-09,6.24,0.85,85,100
6.48875e-09,6.288749999999999,0.85,85,100
6.5375e-09,6.3374999999999995,0.85,85,100
6.5862500000000005e-09,6.38625,0.85,85,100
6.635e-09,6.4350000000000005,0.85,85,100
6.68375e-09,6.48375,0.85,85,100
6.7325e-09,6.5325,0.85,85,100
6.78125e-09,6.58125,0.85,85,100
6.83e-09,6.63,0.85,85,100
6.8787500000000005e-09,6.67875,0.85,85,100
6.9275e-09,6.7275,0.85,85,100
6.97625e-09,6.77625,0.85,85,100
7.025e-09,6.825,0.85,85,100
7.07375e-09,6.873749999999999,0.85,85,100
7.1225e-09,6.922499999999999,0.85,85,100
7.1712500000000004e-09,6.97125,0.85,85,100
7.22e-09,7.0200000000000005,0.85,85,100
7.26875e-09,7.06875,0.85,85,100
7.3175e-09,7.1175,0.85,85,100
7.36625e-09,7.16625,0.85,85,100
7.415e-09,7.215,0.85,85,100
7.46375e-09,7.263749999999999,0.85,85,100
7.5125e-09,7.3125,0.85,85,100
7.56125e-09,7.361249999999999,0.85,85,100
7.61e-09,7.41,0.85,85,100
7.65875e-09,7.45875,0.85,85,100
7.7075e-09,7.507499999999999,0.85,85,100
7.75625e-09,7.55625,0.85,85,100
7.805e-09,7.6049999999999995,0.85,85,100
7.85375e-09,7.65375,0.85,85,100
7.9025e-09,7.702500000000001,0.85,85,100
7.95125e-09,7.75125,0.85,85,100
8e-09,7.800000000000001,0.85,85,100
