cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,act0,act1,act2,act3,lose0,lose1,lead01,lead10
20,initial_eval,20,1,False,False,0.143613,0.128005,0.0156085,0.162428,0.17849,0.0206249,0.0169093,0.128008,0.143616,True,0.19644275,0.143613,0.128005,0.0156085,True,0.208967,0.166047,0.172846,0.237911,0.337669,0.336364,1.1395,1.1399
21,initial_eval,21,1,False,False,0.176624,0.11627,0.0603541,0.150347,0.21245,0.0216551,0.0172331,0.116274,0.176625,True,0.19928175,0.176624,0.11627,0.0603541,True,0.127803,0.263994,0.269454,0.135876,0.337973,0.336404,1.13983,1.13927
22,initial_eval,22,1,False,False,0.160299,0.112901,0.0473978,0.146879,0.195659,0.0205641,0.0167299,0.112906,0.160301,True,0.1789,0.160299,0.112901,0.0473978,True,0.156476,0.187462,0.158401,0.213261,0.33768,0.336395,1.13976,1.13976
23,initial_eval,23,1,False,False,0.155688,0.116168,0.0395204,0.150242,0.190915,0.0204961,0.0167531,0.116172,0.15569,True,0.18171750000000003,0.155688,0.116168,0.0395204,True,0.189911,0.156983,0.185428,0.194548,0.337656,0.336396,1.13969,1.13967
24,initial_eval,24,1,False,False,0.169293,0.125379,0.0439133,0.159726,0.204909,0.0216628,0.017276,0.125383,0.169385,True,0.21592925,0.169293,0.125379,0.0439133,True,0.137679,0.290708,0.293494,0.141836,0.337965,0.336403,1.13961,1.13947
25,initial_eval,25,1,False,False,0.188745,0.0980115,0.0907336,0.131544,0.224915,0.0215705,0.0170616,0.0980166,0.188745,True,0.16760750000000002,0.188745,0.0980115,0.0907336,True,0.119639,0.212209,0.226742,0.11184,0.33798,0.336415,1.13993,1.13937
26,initial_eval,26,1,False,False,0.174796,0.118332,0.0564637,0.152471,0.21057,0.0216514,0.0172382,0.118336,0.174798,True,0.20255075,0.174796,0.118332,0.0564637,True,0.12455,0.268515,0.27042,0.146718,0.337964,0.336396,1.13953,1.13971
27,initial_eval,27,1,False,False,0.153545,0.087438,0.0661072,0.120652,0.18871,0.0209765,0.0169226,0.0874437,0.153547,True,0.13969375,0.153545,0.087438,0.0661072,True,0.149501,0.121196,0.118678,0.1694,0.337894,0.336452,1.13993,1.13982
28,initial_eval,28,1,False,False,0.153162,0.131695,0.0214664,0.166227,0.188315,0.0208589,0.0170218,0.131699,0.153164,True,0.20890350000000002,0.153162,0.131695,0.0214664,True,0.161917,0.231665,0.186416,0.255616,0.337697,0.336361,1.13927,1.13964
29,initial_eval,29,1,False,False,0.172323,0.1215,0.0508233,0.155732,0.208026,0.0216357,0.0172515,0.121504,0.172344,True,0.2083955,0.172323,0.1215,0.0508233,True,0.135188,0.277476,0.281367,0.139551,0.337957,0.336402,1.1398,1.13941
30,initial_eval,30,1,False,False,0.184473,0.0848191,0.099654,0.117954,0.220523,0.0209501,0.0165524,0.084825,0.184474,True,0.143058,0.184473,0.0848191,0.099654,True,0.103505,0.169756,0.164607,0.134364,0.337859,0.336417,1.13993,1.13944
31,initial_eval,31,1,False,False,0.174114,0.119262,0.0548524,0.153428,0.209869,0.0212007,0.0170547,0.119266,0.174115,True,0.2001615,0.174114,0.119262,0.0548524,True,0.135749,0.265446,0.236137,0.163314,0.33781,0.336397,1.1394,1.13968
32,final_eval,0,0,False,False,0.205379,0.119683,0.0856966,0.242018,0.153852,0.0217528,0.0180906,0.205379,0.121307,True,0.31758,0.205379,0.119683,0.0856966,True,0.325018,0.303883,0.317424,0.323995,0.337749,0.336244,1.13871,1.13993
33,final_eval,1,0,False,False,0.217727,0.115684,0.102043,0.254709,0.149733,0.0349543,0.0280838,0.217726,0.119888,True,0.33019200000000004,0.217727,0.115684,0.102043,True,0.358625,0.284372,0.314766,0.363005,0.323961,0.333345,1.13936,1.13973
34,final_eval,2,0,False,False,0.21419,0.116015,0.0981744,0.251074,0.150073,0.0356834,0.0285184,0.214189,0.120199,True,0.33849799999999997,0.21419,0.116015,0.0981744,True,0.30534,0.346614,0.356035,0.346003,0.320061,0.333179,1.13952,1.13971
35,final_eval,3,0,False,False,0.236015,0.10999,0.126025,0.273501,0.143861,0.0377044,0.0298193,0.236013,0.116915,True,0.36696549999999994,0.236015,0.10999,0.126025,True,0.372042,0.351516,0.365689,0.378615,0.307175,0.332806,1.13923,1.13976
36,final_eval,4,0,False,False,0.22554,0.112613,0.112927,0.262738,0.146566,0.0368494,0.0291414,0.225538,0.118113,True,0.35360899999999995,0.22554,0.112613,0.112927,True,0.33675,0.350489,0.363155,0.364042,0.312934,0.332893,1.13955,1.13971
37,final_eval,5,0,False,False,0.178762,0.12983,0.0489325,0.214652,0.164301,0.0213751,0.0177782,0.178763,0.130185,True,0.2797755,0.178762,0.12983,0.0489325,True,0.260029,0.28504,0.281825,0.292208,0.337692,0.336284,1.13993,1.13958
38,final_eval,6,0,False,False,0.219708,0.114716,0.104992,0.256745,0.148735,0.0345838,0.0278717,0.219707,0.119291,True,0.33976175000000003,0.219708,0.114716,0.104992,True,0.357821,0.313686,0.349404,0.338136,0.325802,0.333451,1.13909,1.13981
39,final_eval,7,0,False,False,0.176384,0.130196,0.0461878,0.212206,0.164678,0.0213405,0.0177439,0.176385,0.13057,True,0.27666925000000003,0.176384,0.130196,0.0461878,True,0.255517,0.270552,0.296789,0.283819,0.337689,0.336288,1.13993,1.13958
40,final_eval,8,0,False,False,0.216629,0.115497,0.101132,0.253581,0.14954,0.0334056,0.0271575,0.216628,0.119581,True,0.33477275,0.216629,0.115497,0.101132,True,0.333571,0.305518,0.345855,0.354147,0.330592,0.333839,1.1391,1.13981
41,final_eval,9,0,False,False,0.217314,0.114926,0.102388,0.254285,0.14895,0.0354997,0.0284198,0.217313,0.119322,True,0.34188275,0.217314,0.114926,0.102388,True,0.323325,0.343433,0.358095,0.342678,0.321125,0.333213,1.13947,1.13972
42,final_eval,10,0,False,False,0.183518,0.126381,0.0571363,0.219542,0.160751,0.021426,0.0178115,0.183518,0.126872,True,0.28215324999999997,0.183518,0.126381,0.0571363,True,0.285919,0.257244,0.281838,0.303612,0.337701,0.336266,1.13985,1.13963
43,final_eval,11,0,False,False,0.218135,0.115669,0.102466,0.255129,0.149717,0.0341886,0.0276265,0.218134,0.119752,True,0.332025,0.218135,0.115669,0.102466,True,0.356021,0.298459,0.311282,0.362338,0.327543,0.333574,1.13915,1.13978
44,final_eval,12,0,False,False,0.236544,0.109655,0.126888,0.274044,0.143516,0.0376397,0.0297899,0.236541,0.116587,True,0.367397,0.236544,0.109655,0.126888,True,0.374781,0.355807,0.358291,0.380709,0.307679,0.332824,1.13926,1.13975
45,final_eval,13,0,False,False,0.199197,0.12171,0.0774866,0.235663,0.155941,0.0216904,0.0180387,0.199197,0.122851,True,0.308551,0.199197,0.12171,0.0774866,True,0.314547,0.303874,0.302751,0.313032,0.33774,0.336247,1.13985,1.13965
46,final_eval,14,0,False,False,0.238664,0.10903,0.129633,0.276222,0.142871,0.0370634,0.0295631,0.238661,0.116234,True,0.37063650000000004,0.238664,0.10903,0.129633,True,0.379776,0.349418,0.370765,0.382587,0.311915,0.332971,1.13906,1.13978
47,final_eval,15,0,False,False,0.222499,0.113871,0.108628,0.259613,0.147864,0.0337248,0.0273374,0.222497,0.118654,True,0.34019525,0.222499,0.113871,0.108628,True,0.361037,0.300634,0.335426,0.363684,0.329447,0.333726,1.13961,1.1397
48,final_eval,16,1,False,False,0.173511,0.117764,0.0557474,0.151886,0.209249,0.0212599,0.0170719,0.117768,0.173512,True,0.19730099999999998,0.173511,0.117764,0.0557474,True,0.132071,0.242396,0.250917,0.16382,0.337828,0.336389,1.13993,1.13907
49,final_eval,17,1,False,False,0.15758,0.137918,0.0196624,0.172632,0.192859,0.0313791,0.0248341,0.137921,0.15811,True,0.2347535,0.15758,0.137918,0.0196624,True,0.141189,0.300292,0.309392,0.188141,0.33578,0.335037,1.13948,1.13976
50,final_eval,18,1,False,False,0.17202,0.120005,0.0520147,0.154193,0.207715,0.0214779,0.0171882,0.120009,0.172021,True,0.20250649999999998,0.17202,0.120005,0.0520147,True,0.125551,0.258436,0.25671,0.169329,0.337889,0.336379,1.13987,1.13946
51,final_eval,19,1,False,False,0.17108,0.107334,0.0637463,0.141146,0.206749,0.0204283,0.0165736,0.107338,0.171081,True,0.172983,0.17108,0.107334,0.0637463,True,0.153745,0.182132,0.184008,0.172047,0.337651,0.33641,1.13986,1.1396
52,final_eval,20,1,False,False,0.142911,0.127962,0.0149489,0.162384,0.177767,0.0206793,0.0169318,0.127965,0.142913,True,0.19641850000000002,0.142911,0.127962,0.0149489,True,0.209038,0.165863,0.172715,0.238058,0.337685,0.336356,1.1395,1.1399
53,final_eval,21,1,False,False,0.175613,0.116149,0.0594633,0.150223,0.21141,0.0217198,0.0172579,0.116154,0.175615,True,0.19933025,0.175613,0.116149,0.0594633,True,0.127685,0.264154,0.26971,0.135772,0.337993,0.336395,1.13983,1.13927
54,final_eval,22,1,False,False,0.159641,0.112792,0.0468494,0.146766,0.194982,0.0206188,0.0167517,0.112796,0.159643,True,0.17882450000000003,0.159641,0.112792,0.0468494,True,0.156423,0.187343,0.158198,0.213334,0.337697,0.336388,1.13976,1.13976
55,final_eval,23,1,False,False,0.154995,0.116076,0.0389191,0.150147,0.190202,0.0205499,0.0167751,0.11608,0.154997,True,0.18164950000000002,0.154995,0.116076,0.0389191,True,0.189932,0.156753,0.185331,0.194582,0.337673,0.336389,1.13969,1.13967
56,final_eval,24,1,False,False,0.16815,0.125283,0.0428668,0.159628,0.203733,0.0217273,0.0173014,0.125287,0.168261,True,0.21606175,0.16815,0.125283,0.0428668,True,0.137577,0.291023,0.293906,0.141741,0.337985,0.336394,1.13962,1.13947
57,final_eval,25,1,False,False,0.188085,0.0978467,0.090238,0.131374,0.224236,0.0216336,0.0170851,0.0978517,0.188085,True,0.16753174999999998,0.188085,0.0978467,0.090238,True,0.119512,0.212153,0.22679,0.111672,0.338002,0.336407,1.13993,1.13936
58,final_eval,26,1,False,False,0.173769,0.118217,0.0555525,0.152352,0.209514,0.0217154,0.0172632,0.118221,0.173773,True,0.2026105,0.173769,0.118217,0.0555525,True,0.124426,0.268702,0.270681,0.146633,0.337984,0.336387,1.13953,1.13971
59,final_eval,27,1,False,False,0.153036,0.0872831,0.0657524,0.120492,0.188186,0.0210354,0.0169455,0.0872888,0.153038,True,0.1395435,0.153036,0.0872831,0.0657524,True,0.149454,0.120917,0.118407,0.169396,0.337914,0.336445,1.13993,1.13982
60,final_eval,28,1,False,False,0.152367,0.131636,0.0207318,0.166166,0.187498,0.0209153,0.0170444,0.131639,0.15237,True,0.208918,0.152367,0.131636,0.0207318,True,0.16187,0.231716,0.186295,0.255791,0.337714,0.336359,1.13927,1.13964
61,final_eval,29,1,False,False,0.171245,0.121394,0.049851,0.155623,0.206917,0.0216999,0.0172766,0.121398,0.17127,True,0.20848625,0.171245,0.121394,0.049851,True,0.135082,0.277712,0.281699,0.139452,0.337977,0.336393,1.1398,1.13941
62,final_eval,30,1,False,False,0.184039,0.0846432,0.0993956,0.117772,0.220076,0.0210092,0.0165736,0.0846491,0.184039,True,0.1429195,0.184039,0.0846432,0.0993956,True,0.103368,0.169591,0.164437,0.134282,0.33788,0.336409,1.13993,1.13944
63,final_eval,31,1,False,False,0.173172,0.119146,0.0540257,0.153309,0.208899,0.0212595,0.0170787,0.11915,0.173173,True,0.20018249999999999,0.173172,0.119146,0.0540257,True,0.135642,0.26563,0.236198,0.16326,0.337828,0.336388,1.1394,1.13968
