cycle,phase,pattern,label,reset_gradient,applied_update,target_out,other_out,margin,score0,score1,score0_cmp,score1_cmp,out0_cmp,out1_cmp,correct,mean_hidden_act,target_out_2550ps,other_out_2550ps,margin_2550ps,correct_2550ps,target_out_2950ps,other_out_2950ps,margin_2950ps,correct_2950ps,target_out_3350ps,other_out_3350ps,margin_3350ps,correct_3350ps,act0,act1,act2,act3,act4,act5,act6,act7,lose0,lose1,lead01,lead10,bwd_signal,dp0,dn0,output_delta_net_0,dp1,dn1,output_delta_net_1,max_abs_output_delta_signal,max_output_delta_node,post_update_margin,d_margin_after_update,max_abs_readout_weight_signed_delta,max_abs_output_bias_signed_delta,max_abs_readout_signed_delta,max_abs_hidden_signed_delta,sum_d_readout_out0_signed,sum_d_readout_out1_signed,d_output_bias_out0_signed,d_output_bias_out1_signed
10,initial_eval,10,0,False,False,0.269971,0.269506,0.00046487,0.308482,0.308005,0.24495,0.228458,0.270077,0.269612,True,0.34533500000000006,0.269971,0.269506,0.00046487,True,0.270073,0.269608,0.000464882,True,0.270081,0.269616,0.000465017,True,0.460057,0.36972,0.432466,0.52793,0.162337,0.257971,0.106189,0.44601,0.00161412,0.00174919,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
11,initial_eval,11,0,False,False,0.270404,0.270882,-0.000478366,0.308926,0.309417,0.245562,0.229943,0.270509,0.270988,False,0.40108024999999997,0.270404,0.270882,-0.000478366,False,0.270506,0.270984,-0.000478381,False,0.270514,0.270992,-0.000478127,False,0.521068,0.418723,0.488581,0.608506,0.171098,0.317522,0.128222,0.554922,0.00160951,0.00173611,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
12,initial_eval,12,0,False,False,0.272328,0.271011,0.00131741,0.310902,0.309549,0.248816,0.231797,0.272434,0.271116,True,0.49262754999999997,0.272328,0.271011,0.00131741,True,0.27243,0.271113,0.00131743,True,0.272438,0.271121,0.00131775,True,0.685667,0.646988,0.616585,0.599858,0.0876884,0.560507,0.109723,0.634004,0.00158543,0.00172004,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
13,initial_eval,13,0,False,False,0.270414,0.270887,-0.000473573,0.308937,0.309423,0.258836,0.24684,0.27052,0.270993,False,0.41943698749999997,0.270414,0.270887,-0.000473573,False,0.270516,0.27099,-0.000473575,False,0.270524,0.270997,-0.000473371,False,0.599362,0.50374,0.580641,0.650401,0.0920689,0.244312,0.18933,0.495641,0.00151563,0.00159997,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
14,initial_eval,14,0,False,False,0.272971,0.272578,0.000392862,0.311562,0.311159,0.248819,0.23238,0.273077,0.272684,True,0.5126675,0.272971,0.272578,0.000392862,True,0.273073,0.27268,0.000392851,True,0.273082,0.272688,0.000393252,True,0.423736,0.592923,0.632225,0.63737,0.432503,0.537697,0.160092,0.684794,0.00158541,0.00171505,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
15,initial_eval,15,0,False,False,0.270424,0.270899,-0.000474911,0.308947,0.309435,0.259697,0.247661,0.270529,0.271004,False,0.456683375,0.270424,0.270899,-0.000474911,False,0.270526,0.271001,-0.000474919,False,0.270534,0.271009,-0.000474714,False,0.618181,0.572318,0.6045,0.673188,0.185134,0.114966,0.123926,0.761254,0.00150992,0.00159389,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
16,initial_eval,16,0,False,False,0.267892,0.264566,0.00332602,0.306347,0.302931,0.255903,0.239634,0.267997,0.264672,True,0.30304525,0.267892,0.264566,0.00332602,True,0.267994,0.264668,0.00332608,True,0.268002,0.264676,0.00332589,True,0.22759,0.408197,0.427667,0.31717,0.305109,0.211941,0.203672,0.323016,0.00153541,0.00165531,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
17,initial_eval,17,0,False,False,0.270431,0.270899,-0.000468229,0.308954,0.309435,0.245442,0.230009,0.270537,0.271005,False,0.489279625,0.270431,0.270899,-0.000468229,False,0.270533,0.271001,-0.000468216,False,0.270541,0.271009,-0.000467963,False,0.640951,0.717267,0.770113,0.685167,0.108697,0.284195,0.178522,0.529325,0.00161041,0.00173553,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
18,initial_eval,18,0,False,False,0.273005,0.272908,9.6316e-05,0.311597,0.311498,0.262642,0.250231,0.273111,0.273014,True,0.65041625,0.273005,0.272908,9.6316e-05,True,0.273107,0.27301,9.63083e-05,True,0.273115,0.273019,9.65201e-05,True,0.396961,0.770114,0.770114,0.710292,0.629719,0.710614,0.445404,0.770112,0.0014907,0.00157519,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
19,initial_eval,19,0,False,False,0.270429,0.2709,-0.000470626,0.308953,0.309436,0.259134,0.247116,0.270535,0.271005,False,0.5311511250000001,0.270429,0.2709,-0.000470626,False,0.270531,0.271002,-0.000470646,False,0.270539,0.27101,-0.000470444,False,0.770114,0.613438,0.73708,0.770113,0.288301,0.178341,0.121709,0.770113,0.00151364,0.00159792,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
20,initial_eval,20,0,False,False,0.272311,0.27099,0.0013205,0.310885,0.309529,0.261239,0.247026,0.272417,0.271096,True,0.529248625,0.272311,0.27099,0.0013205,True,0.272413,0.271093,0.00132052,True,0.272421,0.2711,0.00132078,True,0.75562,0.482195,0.633557,0.770113,0.106731,0.619649,0.159538,0.706586,0.00149979,0.00159859,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
21,initial_eval,21,0,False,False,0.271836,0.269468,0.00236768,0.310397,0.307966,0.247109,0.228337,0.271942,0.269574,True,0.3978995,0.271836,0.269468,0.00236768,True,0.271938,0.26957,0.00236772,True,0.271946,0.269578,0.00236803,True,0.618181,0.473595,0.444862,0.551244,0.122733,0.505327,0.128291,0.338963,0.00159797,0.00175027,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
22,initial_eval,22,0,False,False,0.271858,0.269467,0.00239016,0.31042,0.307965,0.247461,0.229123,0.271964,0.269573,True,0.512520375,0.271858,0.269467,0.00239016,True,0.27196,0.26957,0.00239018,True,0.271968,0.269578,0.00239048,True,0.572917,0.476237,0.588594,0.770112,0.330766,0.770112,0.260624,0.330801,0.00159537,0.00174331,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
23,initial_eval,23,0,False,False,0.271353,0.272527,-0.00117412,0.309901,0.311107,0.24666,0.232359,0.271459,0.272633,False,0.49321425,0.271353,0.272527,-0.00117412,False,0.271455,0.272629,-0.00117415,False,0.271463,0.272637,-0.00117384,False,0.770113,0.473998,0.604056,0.755224,0.421596,0.138322,0.137644,0.644761,0.0016013,0.00171523,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
24,initial_eval,24,0,False,False,0.27032,0.265887,0.00443289,0.308841,0.304288,0.245369,0.22471,0.270426,0.265993,True,0.35681999999999997,0.27032,0.265887,0.00443289,True,0.270422,0.265989,0.00443301,True,0.27043,0.265997,0.00443308,True,0.516789,0.262486,0.42709,0.516068,0.296973,0.399473,0.14388,0.291801,0.00161096,0.00178312,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
25,initial_eval,25,0,False,False,0.272309,0.270969,0.00134039,0.310883,0.309506,0.248003,0.23082,0.272415,0.271074,True,0.560572625,0.272309,0.270969,0.00134039,True,0.272411,0.271071,0.00134041,True,0.27242,0.271079,0.00134074,True,0.50609,0.566316,0.698648,0.753646,0.289464,0.770115,0.251963,0.648339,0.00159138,0.00172847,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
26,initial_eval,26,0,False,False,0.271367,0.272543,-0.00117605,0.309915,0.311123,0.246737,0.23262,0.271473,0.272648,False,0.5604003750000001,0.271367,0.272543,-0.00117605,False,0.271469,0.272645,-0.00117608,False,0.271477,0.272653,-0.00117577,False,0.436849,0.770113,0.681453,0.713739,0.770114,0.151298,0.22418,0.735457,0.00160073,0.00171301,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
27,initial_eval,27,0,False,False,0.270424,0.270895,-0.000471503,0.308947,0.309431,0.259848,0.247897,0.27053,0.271001,False,0.5420535000000001,0.270424,0.270895,-0.000471503,False,0.270526,0.270998,-0.000471518,False,0.270534,0.271006,-0.000471315,False,0.770114,0.770115,0.770115,0.770115,0.241903,0.12439,0.119561,0.770115,0.00150892,0.00159216,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
28,initial_eval,28,0,False,False,0.269656,0.269117,0.000538272,0.308158,0.307605,0.244871,0.228217,0.269761,0.269223,True,0.36707737499999993,0.269656,0.269117,0.000538272,True,0.269758,0.269219,0.000538289,True,0.269766,0.269227,0.000538424,True,0.52447,0.365733,0.453304,0.600734,0.118889,0.344019,0.136189,0.393281,0.00161472,0.00175133,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
29,initial_eval,29,0,False,False,0.270223,0.27,0.000223498,0.308741,0.308511,0.244992,0.229205,0.270329,0.270105,True,0.36093624999999996,0.270223,0.27,0.000223498,True,0.270325,0.270102,0.000223493,True,0.270333,0.27011,0.000223737,True,0.531274,0.502889,0.534256,0.557204,0.152056,0.089561,0.157529,0.362721,0.0016138,0.00174259,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
30,initial_eval,30,0,False,False,0.270401,0.270868,-0.000467364,0.308923,0.309403,0.245452,0.230369,0.270507,0.270974,False,0.4866560000000001,0.270401,0.270868,-0.000467364,False,0.270503,0.27097,-0.000467369,False,0.270511,0.270978,-0.000467115,False,0.743989,0.637715,0.708511,0.703339,0.198008,0.152937,0.1903,0.558449,0.00161033,0.00173239,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
31,initial_eval,31,0,False,False,0.264628,0.266828,-0.00220048,0.302995,0.305255,0.239465,0.225862,0.264734,0.266934,False,0.315127875,0.264628,0.266828,-0.00220048,False,0.26473,0.26693,-0.00220054,False,0.264738,0.266938,-0.00220014,False,0.291619,0.360851,0.342939,0.426903,0.444661,0.192956,0.107367,0.353727,0.00165666,0.00177255,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
32,initial_eval,32,1,False,False,0.26941,0.268561,0.000849039,0.307035,0.307906,0.249619,0.236013,0.268667,0.269516,True,0.3103241375,0.26941,0.268561,0.000849039,True,0.269512,0.268663,0.000849045,True,0.26952,0.268671,0.000848694,True,0.0938811,0.456305,0.374484,0.163556,0.490971,0.26999,0.367252,0.266154,0.0015796,0.00168461,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
33,initial_eval,33,1,False,False,0.261728,0.260361,0.0013667,0.298613,0.300017,0.248113,0.236616,0.260467,0.261834,True,0.2686391125,0.261728,0.260361,0.0013667,True,0.26183,0.260463,0.00136674,True,0.261838,0.260471,0.0013667,True,0.361298,0.0966629,0.122031,0.492813,0.349183,0.300039,0.218776,0.20831,0.00159057,0.00167965,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
34,initial_eval,34,1,False,False,0.266413,0.268298,-0.00188517,0.306764,0.304828,0.255524,0.241898,0.268404,0.266518,False,0.247402075,0.266413,0.268298,-0.00188517,False,0.266515,0.2684,-0.00188522,False,0.266523,0.268408,-0.00188521,False,0.0838406,0.400537,0.39741,0.10904,0.266488,0.131902,0.385266,0.204733,0.00153801,0.00163752,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
35,initial_eval,35,1,False,False,0.265798,0.262543,0.00325542,0.300854,0.304197,0.237194,0.225954,0.262649,0.265904,True,0.28502317499999996,0.265798,0.262543,0.00325542,True,0.265901,0.262645,0.0032555,True,0.265908,0.262653,0.00325529,True,0.497202,0.08,0.0873754,0.571344,0.284368,0.089561,0.410277,0.260058,0.00167494,0.00177171,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
36,initial_eval,36,1,False,False,0.269093,0.271704,-0.00261089,0.310261,0.30758,0.247636,0.229818,0.271809,0.269198,False,0.466908025,0.269093,0.271704,-0.00261089,False,0.269195,0.271806,-0.00261094,False,0.269203,0.271814,-0.00261118,False,0.16197,0.684524,0.770113,0.221052,0.0829502,0.459844,0.75628,0.598531,0.00159408,0.0017372,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
37,initial_eval,37,1,False,False,0.268821,0.269382,-0.000560357,0.307877,0.307302,0.257184,0.244832,0.269487,0.268927,False,0.335890875,0.268821,0.269382,-0.000560357,False,0.268924,0.269484,-0.000560345,False,0.268931,0.269492,-0.000560472,False,0.102989,0.509698,0.564957,0.103372,0.107356,0.134907,0.770114,0.393734,0.00152671,0.00161502,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
38,initial_eval,38,1,False,False,0.270494,0.272067,-0.0015727,0.310635,0.30902,0.249412,0.232437,0.272174,0.270601,False,0.382305125,0.270494,0.272067,-0.0015727,False,0.270597,0.272169,-0.00157273,False,0.270605,0.272178,-0.00157294,False,0.370735,0.363315,0.391723,0.528047,0.377254,0.374888,0.202841,0.449638,0.0015811,0.00171457,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
39,initial_eval,39,1,False,False,0.257866,0.256704,0.00116199,0.294856,0.29605,0.228681,0.214603,0.25681,0.257972,True,0.20175882499999997,0.257866,0.256704,0.00116199,True,0.257968,0.256806,0.00116205,True,0.257976,0.256814,0.00116204,True,0.0808779,0.279686,0.34867,0.0841486,0.0901021,0.181483,0.39448,0.154623,0.00174722,0.00188156,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
40,initial_eval,40,1,False,False,0.255128,0.25942,-0.00429215,0.297647,0.293238,0.230724,0.211022,0.259526,0.255234,False,0.21241474999999999,0.255128,0.25942,-0.00429215,False,0.25523,0.259522,-0.00429233,False,0.255238,0.25953,-0.00429262,False,0.133549,0.283897,0.37404,0.08,0.19023,0.105815,0.336074,0.195713,0.0017293,0.00191912,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
41,initial_eval,41,1,False,False,0.263247,0.262128,0.00111926,0.300428,0.301578,0.236779,0.223067,0.262234,0.263354,True,0.24675849999999996,0.263247,0.262128,0.00111926,True,0.26335,0.26223,0.00111932,True,0.263358,0.262238,0.00111961,True,0.105732,0.36215,0.325922,0.165835,0.384943,0.156351,0.267067,0.206068,0.00167832,0.00179841,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
42,initial_eval,42,1,False,False,0.245576,0.246322,-0.000745413,0.28419,0.283425,0.221959,0.206211,0.246426,0.245681,False,0.18587850000000003,0.245576,0.246322,-0.000745413,False,0.245678,0.246423,-0.000745414,False,0.245685,0.24643,-0.000745471,False,0.212831,0.207436,0.26523,0.224674,0.113793,0.145288,0.128915,0.188861,0.00180888,0.00197201,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
43,initial_eval,43,1,False,False,0.264965,0.262075,0.00288954,0.300373,0.303341,0.241806,0.229741,0.262181,0.26507,True,0.27282999999999996,0.264965,0.262075,0.00288954,True,0.265067,0.262177,0.00288962,True,0.265075,0.262185,0.00288972,True,0.11078,0.257738,0.13034,0.399908,0.770115,0.240898,0.097806,0.175055,0.00163823,0.00173788,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
44,initial_eval,44,1,False,False,0.267864,0.264536,0.00332845,0.3029,0.306318,0.238343,0.22633,0.264641,0.26797,True,0.32688025,0.267864,0.264536,0.00332845,True,0.267966,0.264638,0.00332852,True,0.267974,0.264646,0.00332828,True,0.463514,0.106965,0.08,0.646135,0.52235,0.243356,0.304203,0.248519,0.00166564,0.0017683,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
45,initial_eval,45,1,False,False,0.245592,0.246335,-0.000743075,0.284205,0.283442,0.222234,0.206473,0.24644,0.245697,False,0.16899925000000002,0.245592,0.246335,-0.000743075,False,0.245694,0.246437,-0.000743087,False,0.245701,0.246444,-0.000743148,False,0.229949,0.132228,0.173526,0.267329,0.185581,0.149795,0.08,0.133586,0.00180627,0.00196905,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
46,initial_eval,46,1,False,False,0.263901,0.266717,-0.00281662,0.305141,0.302249,0.241252,0.22226,0.266823,0.264007,False,0.31425375,0.263901,0.266717,-0.00281662,False,0.264003,0.26682,-0.00281666,False,0.264011,0.266827,-0.00281664,False,0.099258,0.348219,0.354446,0.303381,0.520741,0.456976,0.180046,0.250963,0.00164255,0.00180602,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
47,initial_eval,47,1,False,False,0.264959,0.262076,0.00288298,0.300374,0.303335,0.234995,0.22233,0.262182,0.265065,True,0.26820845,0.264959,0.262076,0.00288298,True,0.265061,0.262178,0.00288305,True,0.265069,0.262186,0.00288329,True,0.162354,0.228891,0.0978166,0.426085,0.770114,0.161678,0.13612,0.162609,0.00169303,0.00180536,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
48,initial_eval,48,1,False,False,0.262196,0.260501,0.00169479,0.298757,0.300498,0.233389,0.219848,0.260607,0.262302,True,0.253805,0.262196,0.260501,0.00169479,True,0.262298,0.260603,0.00169483,True,0.262306,0.260611,0.00169487,True,0.08,0.351668,0.279981,0.202821,0.554981,0.115102,0.24642,0.199467,0.00170649,0.00182915,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
49,initial_eval,49,1,False,False,0.272352,0.270697,0.00165418,0.309228,0.310927,0.246719,0.232406,0.270804,0.272458,True,0.493244125,0.272352,0.270697,0.00165418,True,0.272454,0.2708,0.00165419,True,0.272462,0.270808,0.00165367,True,0.437398,0.585711,0.328765,0.48025,0.766049,0.770114,0.148938,0.428728,0.00160087,0.00171483,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
50,initial_eval,50,1,False,False,0.266393,0.268284,-0.0018916,0.30675,0.304808,0.242925,0.226423,0.26839,0.266499,False,0.25741375,0.266393,0.268284,-0.0018916,False,0.266495,0.268387,-0.00189162,False,0.266503,0.268394,-0.00189157,False,0.121863,0.439552,0.500355,0.112137,0.08,0.123707,0.406674,0.275022,0.00162957,0.00176745,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
51,initial_eval,51,1,False,False,0.261124,0.259051,0.0020734,0.297267,0.299397,0.236971,0.224115,0.259157,0.26123,True,0.208235925,0.261124,0.259051,0.0020734,True,0.261227,0.259153,0.00207344,True,0.261234,0.259161,0.00207314,True,0.0934422,0.186428,0.10577,0.280885,0.673256,0.147746,0.0947575,0.0836027,0.00167675,0.00178863,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
52,initial_eval,52,1,False,False,0.245598,0.246338,-0.000739196,0.284208,0.283449,0.222037,0.206508,0.246443,0.245704,False,0.19452275,0.245598,0.246338,-0.000739196,False,0.2457,0.246439,-0.000739224,False,0.245708,0.246447,-0.000739288,False,0.08,0.25617,0.274205,0.152513,0.299029,0.186263,0.182402,0.1256,0.00180813,0.00196865,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
53,initial_eval,53,1,False,False,0.26708,0.263764,0.00331649,0.302107,0.305513,0.238666,0.226511,0.26387,0.267186,True,0.36896112499999995,0.26708,0.263764,0.00331649,True,0.267183,0.263866,0.00331656,True,0.26719,0.263874,0.0033163,True,0.490344,0.306697,0.332631,0.596352,0.292771,0.227785,0.206721,0.498388,0.00166305,0.00176665,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
54,initial_eval,54,1,False,False,0.26638,0.268268,-0.00188782,0.306733,0.304795,0.251944,0.238334,0.268374,0.266486,False,0.2491034375,0.26638,0.268268,-0.00188782,False,0.266482,0.26837,-0.00188785,False,0.26649,0.268378,-0.00188784,False,0.0908635,0.402777,0.436154,0.113948,0.189068,0.119883,0.402171,0.237963,0.00156296,0.00166571,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
55,initial_eval,55,1,False,False,0.266383,0.268272,-0.00188876,0.306738,0.304798,0.255305,0.241499,0.268378,0.266489,False,0.288436375,0.266383,0.268272,-0.00188876,False,0.266486,0.268374,-0.00188879,False,0.266493,0.268382,-0.00188878,False,0.10672,0.473012,0.469743,0.127738,0.256922,0.143785,0.435427,0.294144,0.00153951,0.00164062,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
56,initial_eval,56,1,False,False,0.269408,0.269804,-0.000396228,0.308311,0.307904,0.24432,0.22879,0.26991,0.269514,False,0.3319903,0.269408,0.269804,-0.000396228,False,0.26951,0.269907,-0.000396238,False,0.269518,0.269915,-0.000396428,False,0.0835114,0.48009,0.460324,0.210826,0.454942,0.2032,0.440416,0.322613,0.00161889,0.00174625,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
57,initial_eval,57,1,False,False,0.269547,0.27004,-0.000493262,0.308553,0.308047,0.245086,0.229033,0.270146,0.269653,False,0.36300319999999997,0.269547,0.27004,-0.000493262,False,0.269649,0.270143,-0.000493268,False,0.269657,0.270151,-0.000493531,False,0.0818106,0.48645,0.483783,0.251085,0.484802,0.354263,0.420878,0.340954,0.00161309,0.00174411,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
58,initial_eval,58,1,False,False,0.269007,0.269803,-0.000795856,0.30831,0.307493,0.258233,0.245847,0.269909,0.269113,False,0.30504495000000004,0.269007,0.269803,-0.000795856,False,0.26911,0.269906,-0.000795853,False,0.269117,0.269913,-0.000795991,False,0.0908086,0.483583,0.467344,0.172846,0.377791,0.10718,0.425727,0.31508,0.00151966,0.00160737,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
59,initial_eval,59,1,False,False,0.261129,0.259053,0.00207599,0.297269,0.299401,0.244302,0.233737,0.259158,0.261234,True,0.235791625,0.261129,0.259053,0.00207599,True,0.261231,0.259155,0.00207604,True,0.261238,0.259163,0.00207573,True,0.082853,0.247884,0.142691,0.288773,0.750944,0.118654,0.138684,0.11585,0.00161903,0.00170355,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
60,initial_eval,60,1,False,False,0.24563,0.246362,-0.000732295,0.284232,0.28348,0.22162,0.20552,0.246467,0.245735,False,0.1511760125,0.24563,0.246362,-0.000732295,False,0.245731,0.246463,-0.000732313,False,0.245739,0.246471,-0.000732376,False,0.209429,0.0830459,0.168639,0.236886,0.0841124,0.264663,0.0826328,0.08,0.0018121,0.00197985,1.2,7.76471e-10,,,,,,,,,,,,,,,,,,,
61,initial_eval,61,1,False,False,0.245611,0.24635,-0.000739052,0.28422,0.283461,0.222084,0.206578,0.246455,0.245716,False,0.19387995,0.245611,0.24635,-0.000739052,False,0.245712,0.246451,-0.000739083,False,0.24572,0.246459,-0.000739148,False,0.0863096,0.241792,0.27736,0.148773,0.247982,0.215356,0.199654,0.133813,0.00180769,0.00196787,7.76471e-10,1.2,,,,,,,,,,,,,,,,,,,
